ID TIME pos
3 0.1 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 5.107 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 10.113 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 15.12 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 20.128 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 25.135 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 30.141 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 35.148 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 40.153 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 45.161 [0, 0] [-0.33315163095909894, -0.18747637176775783]
3 50.168 [-0.231665, -0.16132000000000002] [-0.33315163095909894, -0.18747637176775783]
3 55.175 [-0.24360000000000004, -0.16545666666666667] [-0.33315163095909894, -0.18747637176775783]
3 60.181 [-0.2714091281067187, -0.16466217041236283] [-0.33315163095909894, -0.18747637176775783]
3 65.186 [-0.26733927342226566, -0.16649347534363568] [-0.33315163095909894, -0.18747637176775783]
3 70.193 [-0.2731309400889323, -0.16706014201030236] [-0.33315163095909894, -0.18747637176775783]
3 75.199 [-0.273132606755599, -0.16706014201030236] [-0.33315163095909894, -0.18747637176775783]
3 80.206 [-0.2696465200762277, -0.16685012172311628] [-0.33315163095909894, -0.18747637176775783]
3 85.214 [-0.2745336629333705, -0.1673658360088306] [-0.33315163095909894, -0.18747637176775783]
3 90.22 [-0.2746293772190848, -0.16737583600883058] [-0.33315163095909894, -0.18747637176775783]
3 95.226 [-0.27423794864765627, -0.16723297886597344] [-0.33315163095909894, -0.18747637176775783]
3 100.233 [-0.27423366293337054, -0.16720726458025914] [-0.33315163095909894, -0.18747637176775783]
3 105.241 [-0.27417652007622767, -0.1673301217231163] [-0.33315163095909894, -0.18747637176775783]
3 110.244 [-0.2743093772190848, -0.1673301217231163] [-0.33315163095909894, -0.18747637176775783]
3 115.25 [-0.27386223436194196, -0.1676386931516877] [-0.33315163095909894, -0.18747637176775783]
3 120.256 [-0.2739293772190848, -0.16845726458025914] [-0.33315163095909894, -0.18747637176775783]
3 125.263 [-0.2739293772190848, -0.16845726458025914] [-0.33315163095909894, -0.18747637176775783]
3 130.273 [-0.2738836629333705, -0.17127155029454486] [-0.33315163095909894, -0.18747637176775783]
3 135.277 [-0.27366652007622766, -0.17126155029454487] [-0.33315163095909894, -0.18747637176775783]
3 140.281 [-0.27366366293337047, -0.17126726458025915] [-0.33315163095909894, -0.18747637176775783]
3 145.287 [-0.27366366293337047, -0.17127297886597345] [-0.33315163095909894, -0.18747637176775783]
3 150.295 [-0.27366366293337047, -0.17127297886597345] [-0.33315163095909894, -0.18747637176775783]
3 155.302 [-0.27366366293337047, -0.17127297886597345] [-0.33315163095909894, -0.18747637176775783]
3 160.308 [-0.27335509150479903, -0.17016440743740202] [-0.33315163095909894, -0.18747637176775783]
3 165.315 [-0.26696956405335937, -0.17062708520618142] [-0.33315163095909894, -0.18747637176775783]
3 170.321 [-0.2661335640533593, -0.16979908520618142] [-0.33315163095909894, -0.18747637176775783]
3 175.327 [-0.2661335640533593, -0.16979908520618142] [-0.33315163095909894, -0.18747637176775783]
3 180.334 [-0.2661335640533593, -0.16979908520618142] [-0.33315163095909894, -0.18747637176775783]
3 185.341 [-0.26613456405335933, -0.16979708520618145] [-0.33315163095909894, -0.18747637176775783]
3 190.348 [-0.2661375640533593, -0.16978908520618144] [-0.33315163095909894, -0.18747637176775783]
3 195.355 [-0.2661375640533593, -0.16978908520618144] [-0.33315163095909894, -0.18747637176775783]
3 200.361 [-0.2661375640533593, -0.16978908520618144] [-0.33315163095909894, -0.18747637176775783]
3 205.367 [-0.26735051277578126, -0.16894825927834675] [-0.33315163095909894, -0.18747637176775783]
3 210.374 [-0.26740869459396305, -0.168860986551074] [-0.33315163095909894, -0.18747637176775783]
3 215.381 [-0.26716960368487214, -0.16762553200561947] [-0.33315163095909894, -0.18747637176775783]
3 220.388 [-0.26710233095759944, -0.16724007746016492] [-0.33315163095909894, -0.18747637176775783]
3 225.395 [-0.26710233095759944, -0.16723735018743763] [-0.33315163095909894, -0.18747637176775783]
3 230.403 [-0.26729960368487216, -0.16721735018743764] [-0.33315163095909894, -0.18747637176775783]
3 235.408 [-0.2671871367111328, -0.16661173767181783] [-0.33315163095909894, -0.18747637176775783]
3 240.414 [-0.26714963671113284, -0.16650923767181783] [-0.33315163095909894, -0.18747637176775783]
3 245.421 [-0.26618812619489174, -0.16574083477398568] [-0.33315163095909894, -0.18747637176775783]
3 250.427 [-0.2662542800410457, -0.16576314246629337] [-0.33315163095909894, -0.18747637176775783]
3 255.435 [-0.2662542800410457, -0.16576468092783184] [-0.33315163095909894, -0.18747637176775783]
3 260.441 [-0.2662473569641226, -0.1658508347739857] [-0.33315163095909894, -0.18747637176775783]
3 265.448 [-0.2662665877333533, -0.16580237323552416] [-0.33315163095909894, -0.18747637176775783]
3 270.454 [-0.2662673569641226, -0.16580006554321647] [-0.33315163095909894, -0.18747637176775783]
3 275.458 [-0.2620332600381138, -0.16715863229012956] [-0.33315163095909894, -0.18747637176775783]
3 280.466 [-0.2622146886095424, -0.1669464894329867] [-0.33315163095909894, -0.18747637176775783]
3 285.473 [-0.2621789743238281, -0.16693006086155812] [-0.33315163095909894, -0.18747637176775783]
3 290.48 [-0.26215468860954233, -0.1669486322901296] [-0.33315163095909894, -0.18747637176775783]
3 295.486 [-0.26215468860954233, -0.1669486322901296] [-0.33315163095909894, -0.18747637176775783]
3 300.494 [-0.26215468860954233, -0.1669486322901296] [-0.33315163095909894, -0.18747637176775783]
3 305.498 [-0.2622204028952566, -0.1667279180044153] [-0.33315163095909894, -0.18747637176775783]
3 310.505 [-0.2622204028952566, -0.16672577514727244] [-0.33315163095909894, -0.18747637176775783]
3 315.511 [-0.2622482600381138, -0.1666629180044153] [-0.33315163095909894, -0.18747637176775783]
3 320.519 [-0.26226254575239943, -0.16665648943298672] [-0.33315163095909894, -0.18747637176775783]
3 325.525 [-0.26226254575239943, -0.16665577514727245] [-0.33315163095909894, -0.18747637176775783]
3 330.532 [-0.26252468860954237, -0.16625077514727243] [-0.33315163095909894, -0.18747637176775783]
3 335.539 [-0.2627475457523995, -0.16608434657584387] [-0.33315163095909894, -0.18747637176775783]
3 340.545 [-0.26272397432382805, -0.16607863229012956] [-0.33315163095909894, -0.18747637176775783]
3 345.552 [-0.26272397432382805, -0.16607863229012956] [-0.33315163095909894, -0.18747637176775783]
3 350.558 [-0.26272397432382805, -0.16607863229012956] [-0.33315163095909894, -0.18747637176775783]
3 355.565 [-0.26272397432382805, -0.16607863229012956] [-0.33315163095909894, -0.18747637176775783]
3 360.572 [-0.26272397432382805, -0.16607863229012956] [-0.33315163095909894, -0.18747637176775783]
3 365.579 [-0.26272397432382805, -0.16607863229012956] [-0.33315163095909894, -0.18747637176775783]
3 370.586 [-0.26272397432382805, -0.16607434657584388] [-0.33315163095909894, -0.18747637176775783]
3 375.593 [-0.26272397432382805, -0.16607434657584388] [-0.33315163095909894, -0.18747637176775783]
3 380.599 [-0.26272397432382805, -0.16607434657584388] [-0.33315163095909894, -0.18747637176775783]
3 385.605 [-0.2627875457523995, -0.16601577514727245] [-0.33315163095909894, -0.18747637176775783]
3 390.613 [-0.26279183146668517, -0.16600934657584387] [-0.33315163095909894, -0.18747637176775783]
3 395.619 [-0.26279183146668517, -0.16600934657584387] [-0.33315163095909894, -0.18747637176775783]
3 400.626 [-0.26279183146668517, -0.16600934657584387] [-0.33315163095909894, -0.18747637176775783]
3 405.633 [-0.26279183146668517, -0.16600934657584387] [-0.33315163095909894, -0.18747637176775783]
3 410.64 [-0.2630346886095423, -0.16583577514727246] [-0.33315163095909894, -0.18747637176775783]
3 415.646 [-0.26304826003811377, -0.16582220371870102] [-0.33315163095909894, -0.18747637176775783]
3 420.653 [-0.26299897432382807, -0.16542720371870104] [-0.33315163095909894, -0.18747637176775783]
3 425.66 [-0.2630332600381137, -0.16532934657584386] [-0.33315163095909894, -0.18747637176775783]
3 430.667 [-0.2630332600381137, -0.16532934657584386] [-0.33315163095909894, -0.18747637176775783]
