ID TIME pos
1 5.046 [0.3019989530025341, -0.4101108368971562] []
1 15.06 [0.3019989530025341, -0.4101108368971562] []
1 20.08 [0.3019989530025341, -0.4101108368971562] []
1 25.156 [0.3019989530025341, -0.4101108368971562] []
1 65.917 [0.3019989530025341, -0.4101108368971562] [(25175, -45390, 1674844429, 0, 2, 20000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25175, -45390), (81757, -27366, 1674844437, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 81757, -27366)]
