ID TIME pos
15 0.004 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 5.039 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 10.153 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 15.236 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 20.245 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 25.248 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 30.346 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 35.44 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 40.453 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 45.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 50.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 55.642 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 60.739 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 65.833 [0, 0] [0.46328539902163157, 0.18742737993338576]
15 70.848 [0, 0] [0.46328539902163157, 0.18742737993338576]
