ID TIME pos
13 0.094 [0, 0] [-0.20516337734552093, -0.5546109849808732]
13 5.097 [0, 0] [-0.20516337734552093, -0.5546109849808732]
13 10.123 [0, 0] [-0.20516337734552093, -0.5546109849808732]
13 15.22 [-0.2153400000000001, -0.55931] [-0.20516337734552093, -0.5546109849808732]
13 20.221 [-0.2153400000000001, -0.55931] [-0.20516337734552093, -0.5546109849808732]
13 25.231 [-0.17681499999999994, -0.6619700000000001] [-0.20516337734552093, -0.5546109849808732]
13 30.237 [-0.16398000000000001, -0.696165] [-0.20516337734552093, -0.5546109849808732]
13 35.243 [-0.16397499999999998, -0.696195] [-0.20516337734552093, -0.5546109849808732]
13 40.254 [-0.16397499999999998, -0.696195] [-0.20516337734552093, -0.5546109849808732]
13 45.256 [-0.16061, -0.6935866666666666] [-0.20516337734552093, -0.5546109849808732]
13 50.262 [-0.15421106267611204, -0.6501904615640086] [-0.20516337734552093, -0.5546109849808732]
13 55.268 [-0.15421106267611204, -0.6501904615640086] [-0.20516337734552093, -0.5546109849808732]
13 60.279 [-0.151766062676112, -0.6501554615640086] [-0.20516337734552093, -0.5546109849808732]
13 65.286 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 70.296 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 75.306 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 80.405 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 85.408 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 90.422 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 95.424 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 100.435 [-0.15221356267611205, -0.6418229615640085] [-0.20516337734552093, -0.5546109849808732]
13 105.441 [-0.15304570845074136, -0.6483119743760057] [-0.20516337734552093, -0.5546109849808732]
13 110.538 [-0.15332904178407467, -0.6444919743760057] [-0.20516337734552093, -0.5546109849808732]
13 115.548 [-0.15338237511740802, -0.6445936410426724] [-0.20516337734552093, -0.5546109849808732]
13 120.557 [-0.15334070845074135, -0.6443669743760058] [-0.20516337734552093, -0.5546109849808732]
13 125.561 [-0.15334070845074135, -0.6443669743760058] [-0.20516337734552093, -0.5546109849808732]
13 130.57 [-0.15457632152920686, -0.6409674066080049] [-0.20516337734552093, -0.5546109849808732]
13 135.573 [-0.15523346438634972, -0.6388374066080049] [-0.20516337734552093, -0.5546109849808732]
13 140.579 [-0.15563917867206398, -0.638097406608005] [-0.20516337734552093, -0.5546109849808732]
13 145.589 [-0.15460060724349262, -0.6370145494651477] [-0.20516337734552093, -0.5546109849808732]
13 150.593 [-0.15500178133805598, -0.6393002307820043] [-0.20516337734552093, -0.5546109849808732]
13 155.599 [-0.1552115834116053, -0.6419846495840038] [-0.20516337734552093, -0.5546109849808732]
13 160.613 [-0.15813442507044478, -0.6411681846256034] [-0.20516337734552093, -0.5546109849808732]
13 165.712 [-0.158261187558704, -0.6429401538546695] [-0.20516337734552093, -0.5546109849808732]
13 170.714 [-0.15831285422537064, -0.6427959871880028] [-0.20516337734552093, -0.5546109849808732]
13 175.723 [-0.15831285422537064, -0.6427959871880028] [-0.20516337734552093, -0.5546109849808732]
13 180.729 [-0.15831285422537064, -0.6427959871880028] [-0.20516337734552093, -0.5546109849808732]
13 185.735 [-0.15831285422537064, -0.6427959871880028] [-0.20516337734552093, -0.5546109849808732]
13 190.746 [-0.15831285422537064, -0.6427959871880028] [-0.20516337734552093, -0.5546109849808732]
13 195.751 [-0.15831285422537064, -0.6427959871880028] [-0.20516337734552093, -0.5546109849808732]
13 200.754 [-0.15841952089203729, -0.6429551538546695] [-0.20516337734552093, -0.5546109849808732]
