1, (0.24761462211608887, -0.9497268199920654), (-0.037280726287530645, 0.19649464992074014), (-0.0, 0.0), (-0.037280726287530645, 0.19649464992074014)
11, (0.4668845534324646, -0.19758008420467377), (0.1996452290687647, -0.011907246116566149), (0.0, -0.0), (0.1996452290687647, -0.011907246116566149)
12, (-0.9158872961997986, 0.9352619647979736), (0.15145340379556738, -0.13062107976409024), (0.0, -0.0), (0.15145340379556738, -0.13062107976409024)
14, (-0.4514758288860321, -0.478240966796875), (0.13437476199799, 0.1481331270782587), (0.0, 0.0), (0.13437476199799, 0.1481331270782587)
15, (-0.6053912043571472, -0.20047476887702942), (0.1744637673833572, 0.09778749342531408), (0.0, 0.0), (0.1744637673833572, 0.09778749342531408)
16, (0.3327883183956146, 0.6027520895004272), (-0.09038936225179141, -0.17840897732937777), (-0.0, -0.0), (-0.09038936225179141, -0.17840897732937777)
17, (-0.022096289321780205, 0.4612199366092682), (0.03722779841836757, -0.19650468448594652), (0.041688477379822314, 0.005511059604211311), (0.07891627579818988, -0.1909936248817352)
19, (0.6145764589309692, 0.7321343421936035), (0.1496682020409878, 0.1326628406820013), (0.0, 0.0), (0.1496682020409878, 0.1326628406820013)
20, (0.5254020690917969, 0.6399800181388855), (0.12733475353148793, 0.15422665315397086), (0.0, 0.0), (0.12733475353148793, 0.15422665315397086)
21, (0.07512827217578888, -0.2259570211172104), (-0.1585221767732329, 0.1219455594561602), (-0.0, 0.0), (-0.1585221767732329, 0.1219455594561602)
22, (-0.12487960606813431, 0.4558797776699066), (-0.001980490228940843, 0.19999019390573397), (-0.0, 0.0), (-0.001980490228940843, 0.19999019390573397)
23, (0.9960231781005859, -0.05186271294951439), (-0.19857442976882086, 0.02383685889515723), (0.09505305861863614, 0.0986292666864981), (-0.10352137115018471, 0.12246612558165534)
25, (0.1647682934999466, 0.48503151535987854), (-0.12907102766374318, -0.15277653556035772), (-0.0, -0.0), (-0.12907102766374318, -0.15277653556035772)
5, (0.32101568579673767, 0.31679657101631165), (0.13700248212211338, 0.14570627952281262), (0.0, 0.0), (0.13700248212211338, 0.14570627952281262)
6, (1.1229684352874756, 0.466485857963562), (0.1756801816691236, 0.09558490345605695), (0.0, 0.0), (0.1756801816691236, 0.09558490345605695)
7, (0.9010631442070007, -0.03686153143644333), (0.1989678603265363, -0.02029262321830153), (-0.04687829527128322, -0.07914802232746311), (0.1520895650552531, -0.09944064554576462)
9, (0.3796651065349579, -0.050358910113573074), (-0.18757629606196005, 0.06939116050100279), (-0.0, 0.0), (-0.18757629606196005, 0.06939116050100279)
10, (0.42474403977394104, 0.219610795378685), (0.14790730095637536, 0.1346232904210865), (0.0, 0.0), (0.14790730095637536, 0.1346232904210865)
