ID TIME VOTE
2 161.132 2632508
2 187.103 2531055
2 211.132 2541208
2 242.037 2686746
2 384.265 2290132
2 507.065 2390326
2 512.077 2366369
2 677.142 2502124
2 732.055 2539370
2 745.122 2515455
2 779.154 2431532
2 784.072 2420781
2 1027.138 2248303
2 1076.261 2292116
2 1093.239 2298087
2 1097.202 2322563
2 1246.143 2294967
2 1248.258 2302509
2 1320.214 2315998
2 1395.21 2334866
2 1620.306 2340770
2 1630.244 2361458
2 1834.217 2330670
2 1883.269 2336027
2 1932.21 2339296
2 1945.314 2322396
2 2034.286 2295859
2 2262.273 2349818
2 2355.291 2376274
2 2359.252 2372734
2 2366.328 2375588
2 2460.312 2450606
2 2475.282 2446153
2 2527.344 2436848
2 2549.344 2419614
2 2688.353 2424407
2 2709.377 2440681
2 2776.3 2442178
2 2806.363 2427799
2 2974.38 2435420
2 3070.342 2450236
2 3075.317 2446063
2 3096.427 2426774
2 3161.35 2440618
2 3235.414 2444304
2 3271.408 2463987
2 3365.443 2472717
2 3381.403 2476724
2 3397.382 2478141
2 3415.39 2473989
2 3437.461 2472890
2 3459.369 2457898
2 3514.386 2469739
2 3612.453 2463686
2 3634.413 2481546
2 3644.394 2481991
2 3830.451 2526275
2 3890.511 2534841
2 3918.487 2533105
2 3922.51 2529717
2 3928.48 2526339
2 3964.542 2511016
2 3968.501 2507701
2 4106.52 2572499
2 4157.434 2572286
2 4224.459 2579026
2 4230.433 2583013
2 4246.431 2578947
2 4407.491 2551356
2 4493.532 2541967
2 4500.552 2545771
2 4524.461 2535906
2 4546.578 2533494
2 4588.533 2542340
2 4766.569 2521279
2 4771.495 2519737
2 4828.555 2521003
2 4900.548 2511823
2 4909.612 2514457
2 4932.662 2517922
2 5028.778 2515857
2 5091.639 2519079
2 5107.55 2529525
2 5161.62 2526380
2 5181.601 2527122
2 5212.612 2534185
2 5252.626 2530073
2 5306.74 2542030
2 5318.609 2545761
2 5380.666 2553523
2 5385.65 2551053
2 5399.702 2556032
2 5506.708 2540742
2 5735.884 2539401
2 5749.686 2538298
2 5884.689 2524601
2 5889.674 2523111
2 5893.657 2520880
2 5924.699 2519304
2 6071.728 2538189
2 6193.759 2546161
2 6265.712 2552411
2 6270.65 2552136
2 6315.65 Value Error
2 6335.725 2544327
2 6417.765 2527896
2 6507.773 2523301
2 6521.711 2522139
2 6553.754 2516918
2 6619.839 2511900
2 6694.775 2522667
2 6704.776 2523726
2 6751.77 2523998
2 6756.85 2521382
2 6769.784 2519403
2 6947.792 2533204
2 6972.854 2540207
2 7107.767 2539062
2 7161.804 2533860
2 7166.901 2532816
2 7216.903 2529969
2 7230.799 2527485
2 7358.82 2531590
2 7516.908 2538503
2 7566.864 2530525
2 7603.891 2525955
2 7645.86 2520067
2 7654.81 2524816
2 7693.884 2527535
2 7742.819 2520015
2 7839.855 2520691
2 7888.844 2512229
2 7908.946 2520688
2 7930.841 2516588
2 7965.871 2512110
2 8008.829 2504927
2 8063.926 2501993
2 8155.906 2498745
2 8161.882 2498566
2 8200.957 2495363
2 8207.905 2493762
2 8261.893 2491681
2 8267.958 2491867
2 8432.972 2501040
2 8478.972 2497240
2 8544.931 2501540
2 8569.958 2501194
2 8602.925 2496088
2 8608.932 2494052
2 8637.996 2495767
2 8642.02 2496784
2 8743.034 2506688
2 8805.024 2517930
2 8849.001 2521971
2 8910.986 2520503
2 8923.978 2519001
2 9013.061 2521403
2 9024.074 2522350
2 9029.075 2524765
2 9095.04 2534699
2 9100.993 2533234
2 9171.035 2528190
2 9209.051 2528870
2 9363.089 2525425
2 9471.217 2516493
2 9486.03 2518931
2 9549.074 2521401
2 9555.094 2524292
2 9607.211 2519897
2 9612.037 2518979
2 9691.11 2521841
2 9745.085 2519772
2 9802.118 2510568
2 9844.089 2512603
2 9861.185 2513468
2 9912.057 2507948
2 9987.145 2517235
