ID TIME VOTE
4 91.048 2542857
4 109.016 2560975
4 131.014 2449392
4 151.043 2314487
4 169.982 Value Error
4 303.008 2370304
4 371.034 2463017
4 389.051 2485835
4 430.019 2400768
4 659.033 2497907
4 675.074 Value Error
4 700.064 2523622
4 715.036 2476816
4 791.051 2655703
4 858.055 2644974
4 875.109 2683312
4 930.055 2715645
4 951.063 2751892
4 1013.123 2782632
4 1063.082 2842573
4 1118.115 2892254
4 1140.088 2900633
4 1158.087 2921860
4 1202.109 2877249
4 1236.097 2893435
4 1257.111 2861246
4 1308.128 2811304
4 1363.101 2763747
4 1391.115 2734718
4 1427.121 2749415
4 1488.218 2821615
