ID TIME pos
8 1.198 [0, 0] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 6.313 [-0.4253800000000001, -0.4502999999999999] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.4253800000000001, -0.4502999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 11.517 [-0.4253800000000001, -0.4502999999999999] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.4253800000000001, -0.4502999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 16.522 [-0.39512792256603785, -0.4554517684659956] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.3701700000000001, -0.4606300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [-0.4560900000000001, -0.4430400000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 21.53 [-0.4065273084029816, -0.4393561165693395] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40525999999999995, -0.44240999999999997], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.42100000000000004, -0.40571], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 26.539 [-0.4028258860433623, -0.44796657823883723] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40525999999999995, -0.44240999999999997], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40303, -0.4475199999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 31.643 [-0.40272676356058923, -0.44819644197093633] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40525999999999995, -0.44240999999999997], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40303, -0.4475199999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 36.853 [-0.40373706672722537, -0.44820466652623187] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40525999999999995, -0.44240999999999997], [0, 0], [0, 0], [0, 0], [-0.4065000000000001, -0.44835], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40303, -0.4475199999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 41.954 [-0.4034245302613527, -0.4483366286932884] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40525999999999995, -0.44240999999999997], [0, 0], [0, 0], [0, 0], [-0.40551000000000004, -0.44876000000000005], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40303, -0.4475199999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 47.061 [-0.4034175054496836, -0.44833999892118176] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40525999999999995, -0.44240999999999997], [0, 0], [0, 0], [0, 0], [-0.4054899999999999, -0.4487699999999999], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40303, -0.4475199999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 52.07 [-0.4035610840017439, -0.4505724479996548] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40507000000000004, -0.44937000000000005], [0, 0], [0, 0], [0, 0], [-0.4054899999999999, -0.4487699999999999], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40386999999999995, -0.4497], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 57.172 [-0.40358254434688057, -0.45078013838335984] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40497000000000005, -0.4497199999999999], [0, 0], [0, 0], [0, 0], [-0.4054899999999999, -0.4487699999999999], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40396999999999994, -0.44998000000000005], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 62.286 [-0.40357750161419104, -0.4507849984442827] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40496, -0.44972999999999996], [0, 0], [0, 0], [0, 0], [-0.4054899999999999, -0.4487699999999999], [-0.3998900000000001, -0.45466000000000006], [0, 0], [0, 0], [-0.40396999999999994, -0.44998000000000005], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 67.493 [-0.4054689400005165, -0.4491770799995021] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [-0.40496, -0.44972999999999996], [0, 0], [0, 0], [0, 0], [-0.4054899999999999, -0.4487699999999999], [-0.4076200000000001, -0.44808000000000003], [0, 0], [0, 0], [-0.40396999999999994, -0.44998000000000005], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
