ID TIME pos
10 0.095 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 5.115 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 10.117 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 15.119 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 20.127 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 25.129 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 30.136 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 35.142 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 40.149 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 45.156 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 50.167 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 55.168 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 60.175 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 65.183 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 70.188 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 75.195 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 80.203 [0, 0] [0.0625990228316881, -0.3801812478121904]
10 85.207 [0.11253000000000002, -0.1979599999999999] [0.0625990228316881, -0.3801812478121904]
10 90.211 [0.11253000000000002, -0.1979599999999999] [0.0625990228316881, -0.3801812478121904]
10 95.214 [0.11253000000000002, -0.1979599999999999] [0.0625990228316881, -0.3801812478121904]
10 100.223 [0.10329499999999991, -0.2178549999999999] [0.0625990228316881, -0.3801812478121904]
10 105.234 [0.10106000000000004, -0.22327749999999996] [0.0625990228316881, -0.3801812478121904]
10 110.329 [0.097884, -0.22769] [0.0625990228316881, -0.3801812478121904]
10 115.339 [0.09215500000000014, -0.23550166666666664] [0.0625990228316881, -0.3801812478121904]
10 120.349 [0.09247142857142857, -0.23690571428571428] [0.0625990228316881, -0.3801812478121904]
10 125.36 [0.08718857142857132, -0.2361842857142857] [0.0625990228316881, -0.3801812478121904]
10 130.365 [0.08620714285714286, -0.23763999999999993] [0.0625990228316881, -0.3801812478121904]
10 135.369 [0.08691499999999996, -0.23753249999999998] [0.0625990228316881, -0.3801812478121904]
10 140.374 [0.08712750000000002, -0.23710624999999996] [0.0625990228316881, -0.3801812478121904]
10 145.382 [0.08713875000000004, -0.23709999999999995] [0.0625990228316881, -0.3801812478121904]
10 150.491 [0.0867175, -0.23843499999999995] [0.0625990228316881, -0.3801812478121904]
10 155.492 [0.08667125000000003, -0.23848374999999994] [0.0625990228316881, -0.3801812478121904]
10 160.501 [0.08667125000000003, -0.23848374999999994] [0.0625990228316881, -0.3801812478121904]
10 165.506 [0.08667125000000003, -0.23848374999999994] [0.0625990228316881, -0.3801812478121904]
10 170.516 [0.08667125000000003, -0.23848374999999994] [0.0625990228316881, -0.3801812478121904]
10 175.522 [0.08667125000000003, -0.23848374999999994] [0.0625990228316881, -0.3801812478121904]
10 180.523 [0.08744333333333337, -0.23926777777777775] [0.0625990228316881, -0.3801812478121904]
10 185.533 [0.08738888888888896, -0.2392144444444444] [0.0625990228316881, -0.3801812478121904]
10 190.539 [0.08438666666666671, -0.24315111111111104] [0.0625990228316881, -0.3801812478121904]
10 195.544 [0.08431000000000008, -0.24337555555555548] [0.0625990228316881, -0.3801812478121904]
10 200.559 [0.08552800000000009, -0.24273499999999998] [0.0625990228316881, -0.3801812478121904]
10 205.562 [0.08502400000000003, -0.24386699999999992] [0.0625990228316881, -0.3801812478121904]
10 210.565 [0.0852645454545455, -0.2435981818181818] [0.0625990228316881, -0.3801812478121904]
10 215.575 [0.0852645454545455, -0.2435981818181818] [0.0625990228316881, -0.3801812478121904]
10 220.58 [0.0852645454545455, -0.2435981818181818] [0.0625990228316881, -0.3801812478121904]
10 225.587 [0.08493818181818182, -0.24391181818181823] [0.0625990228316881, -0.3801812478121904]
10 230.588 [0.08453909090909092, -0.24430363636363636] [0.0625990228316881, -0.3801812478121904]
10 235.594 [0.08451454545454551, -0.24450090909090913] [0.0625990228316881, -0.3801812478121904]
10 240.6 [0.10452436859260517, -0.2579661154354795] [0.0625990228316881, -0.3801812478121904]
10 245.608 [0.10435403254702016, -0.2560341065558272] [0.0625990228316881, -0.3801812478121904]
10 250.613 [0.10435403254702016, -0.2560341065558272] [0.0625990228316881, -0.3801812478121904]
10 255.624 [0.10434710947009708, -0.2560410296327502] [0.0625990228316881, -0.3801812478121904]
10 260.724 [0.10434710947009708, -0.2560410296327502] [0.0625990228316881, -0.3801812478121904]
10 265.731 [0.10434710947009708, -0.2560410296327502] [0.0625990228316881, -0.3801812478121904]
10 270.737 [0.10434710947009708, -0.2560410296327502] [0.0625990228316881, -0.3801812478121904]
10 275.744 [0.10434710947009708, -0.2560410296327502] [0.0625990228316881, -0.3801812478121904]
10 280.751 [0.10443787870086628, -0.2562348757865964] [0.0625990228316881, -0.3801812478121904]
10 285.754 [0.10443864793163551, -0.2562364142481348] [0.0625990228316881, -0.3801812478121904]
10 290.762 [0.10443864793163551, -0.2562364142481348] [0.0625990228316881, -0.3801812478121904]
10 295.774 [0.10443864793163551, -0.2562364142481348] [0.0625990228316881, -0.3801812478121904]
10 300.776 [0.10443864793163551, -0.2562364142481348] [0.0625990228316881, -0.3801812478121904]
10 305.781 [0.10443864793163551, -0.2562364142481348] [0.0625990228316881, -0.3801812478121904]
10 310.797 [0.10441941716240476, -0.25639102963275023] [0.0625990228316881, -0.3801812478121904]
10 315.889 [0.10429634023932782, -0.2564048757865964] [0.0625990228316881, -0.3801812478121904]
10 320.895 [0.1042155710085586, -0.2571610296327502] [0.0625990228316881, -0.3801812478121904]
10 325.901 [0.10403095562394321, -0.25737410655582715] [0.0625990228316881, -0.3801812478121904]
10 330.911 [0.10398864793163551, -0.25745718347890406] [0.0625990228316881, -0.3801812478121904]
10 335.926 [0.1039278787008663, -0.25756949117121175] [0.0625990228316881, -0.3801812478121904]
10 341.025 [0.101983030222233, -0.2575766703732681] [0.0625990228316881, -0.3801812478121904]
10 346.033 [0.10177088736509012, -0.2579223846589823] [0.0625990228316881, -0.3801812478121904]
10 351.037 [0.10174660165080443, -0.25797309894469667] [0.0625990228316881, -0.3801812478121904]
10 356.046 [0.10174660165080443, -0.25797309894469667] [0.0625990228316881, -0.3801812478121904]
10 361.153 [0.10095160165080443, -0.2588038132304109] [0.0625990228316881, -0.3801812478121904]
10 366.157 [0.10095160165080443, -0.2588038132304109] [0.0625990228316881, -0.3801812478121904]
10 371.165 [0.10066374450794727, -0.25914738465898235] [0.0625990228316881, -0.3801812478121904]
10 376.17 [0.09969517307937588, -0.26021381323041093] [0.0625990228316881, -0.3801812478121904]
10 381.175 [0.09967231593651871, -0.26024238465898236] [0.0625990228316881, -0.3801812478121904]
10 386.183 [0.09956017307937584, -0.2606345275161252] [0.0625990228316881, -0.3801812478121904]
10 391.191 [0.0995323159365187, -0.260663813230411] [0.0625990228316881, -0.3801812478121904]
10 396.196 [0.09944303022223298, -0.26081524180183946] [0.0625990228316881, -0.3801812478121904]
10 401.206 [0.09927874450794727, -0.26090167037326806] [0.0625990228316881, -0.3801812478121904]
10 406.208 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 411.218 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 416.221 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 421.23 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 426.235 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 431.244 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 436.249 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 441.255 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 446.263 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 451.27 [0.09927517307937585, -0.26090738465898233] [0.0625990228316881, -0.3801812478121904]
10 456.275 [0.09918803022223299, -0.26108667037326805] [0.0625990228316881, -0.3801812478121904]
10 461.28 [0.09918803022223299, -0.26108667037326805] [0.0625990228316881, -0.3801812478121904]
10 466.292 [0.099023030222233, -0.2613916703732681] [0.0625990228316881, -0.3801812478121904]
10 471.397 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 476.403 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 481.407 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 486.415 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 491.417 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 496.423 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 501.424 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 506.439 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
10 511.444 [0.09898731593651873, -0.261518813230411] [0.0625990228316881, -0.3801812478121904]
