ID TIME ESTIMATE W B S1 S2 S3
1 0.002 0.125 0 3 0 0 0
1 1.003 0.071 0 6 0.0 0.0 0.0
1 3.002 0.05 0 9 0.0 0.0 0.0
1 5.004 0.038 0 12 0.0 0.0 0.0
1 7.004 0.031 0 15 0.0 0.0 0.0
1 9.002 0.184 3 15 1.0 1.0 1.0
1 11.004 0.25 5 16 1.0 1.0 0.0
1 13.005 0.34 8 16 1.0 1.0 0.7490196078431373
1 15.002 0.304 8 19 0.0 0.0 0.0
1 16.005 0.274 8 22 0.0 0.0 0.0
1 18.008 0.25 8 25 0.0 0.0 0.0
1 20.007 0.23 8 28 0.0 0.0 0.0
1 22.003 0.212 8 31 0.0 0.0 0.0
1 24.003 0.198 8 34 0.0 0.0 0.0
1 26.006 0.185 8 37 0.0 0.0 0.0
1 28.004 0.173 8 40 0.0 0.0 0.0
1 29.005 0.163 8 43 0.0 0.0 0.0
1 31.004 0.209 11 43 1.0 1.0 1.0
1 32.005 0.25 14 43 1.0 1.0 0.24313725490196078
1 34.007 0.254 15 45 0.7490196078431373 0.0 0.0
1 36.007 0.289 18 45 0.24313725490196078 1.0 1.0
1 38.006 0.291 19 47 0.0 0.0 1.0
1 39.007 0.321 22 47 0.24313725490196078 1.0 1.0
1 41.006 0.322 23 49 0.0 0.0 0.7490196078431373
1 43.006 0.309 23 52 0.0 0.0 0.0
1 45.006 0.297 23 55 0.0 0.0 0.0
1 47.008 0.287 23 58 0.0 0.0 0.0
1 49.004 0.276 23 61 0.0 0.0 0.0
1 50.007 0.267 23 64 0.0 0.0 0.0
1 52.012 0.258 23 67 0.0 0.0 0.0
1 54.009 0.25 23 70 0.0 0.0 0.0
1 56.006 0.242 23 73 0.0 0.0 0.0
1 57.012 0.235 23 76 0.0 0.0 0.0
1 59.006 0.228 23 79 0.0 0.0 0.0
1 61.006 0.222 23 82 0.0 0.0 0.0
1 63.013 0.216 23 85 0.0 0.0 0.0
1 65.006 0.219 24 87 1.0 0.0 0.0
1 66.009 0.222 25 89 0.0 0.0 1.0
