ID TIME pos
3 111.387 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0, 0], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 116.396 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0, 0], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 121.405 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0, 0], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 126.414 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0, 0], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 131.423 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0, 0], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 136.432 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0, 0], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 141.441 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 146.45 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 151.458 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 156.467 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 161.477 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
