ID TIME pos
1 0.101 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 5.106 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 10.113 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 15.118 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 20.125 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 25.132 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 30.139 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 35.144 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 40.15 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 45.157 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 50.164 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 55.171 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 60.177 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 65.183 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 70.189 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 75.196 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 80.202 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 85.209 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 90.216 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 95.222 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 100.229 [-0.3830100000000001, -0.4212499999999999] [-0.3627042145495745, -0.3886294839370129]
1 105.235 [-0.3830100000000001, -0.4212499999999999] [-0.3627042145495745, -0.3886294839370129]
1 110.24 [-0.36658999999999997, -0.428515] [-0.3627042145495745, -0.3886294839370129]
1 115.246 [-0.35931, -0.43616000000000005] [-0.3627042145495745, -0.3886294839370129]
1 120.253 [-0.35958666666666667, -0.4359633333333334] [-0.3627042145495745, -0.3886294839370129]
1 125.258 [-0.3508675, -0.4343175] [-0.3627042145495745, -0.3886294839370129]
1 130.265 [-0.34080345128623896, -0.43670589128496956] [-0.3627042145495745, -0.3886294839370129]
1 135.271 [-0.3405184512862389, -0.43630922461830285] [-0.3627042145495745, -0.3886294839370129]
1 140.277 [-0.3400129582453476, -0.43583076395854536] [-0.3627042145495745, -0.3886294839370129]
1 145.283 [-0.34038152967391905, -0.4353479068156882] [-0.3627042145495745, -0.3886294839370129]
1 150.29 [-0.34038295824534764, -0.4353464782442597] [-0.3627042145495745, -0.3886294839370129]
1 155.297 [-0.34038295824534764, -0.4353464782442597] [-0.3627042145495745, -0.3886294839370129]
1 160.303 [-0.34004724395963326, -0.4356579068156883] [-0.3627042145495745, -0.3886294839370129]
1 165.31 [-0.34031867253106196, -0.43545790681568824] [-0.3627042145495745, -0.3886294839370129]
1 170.317 [-0.34031867253106196, -0.43545790681568824] [-0.3627042145495745, -0.3886294839370129]
1 175.324 [-0.3408701011024905, -0.43473504967283105] [-0.3627042145495745, -0.3886294839370129]
1 180.331 [-0.3408701011024905, -0.43473504967283105] [-0.3627042145495745, -0.3886294839370129]
1 185.337 [-0.3408701011024905, -0.43473504967283105] [-0.3627042145495745, -0.3886294839370129]
1 190.344 [-0.3408701011024905, -0.43473504967283105] [-0.3627042145495745, -0.3886294839370129]
1 195.351 [-0.34209896752415925, -0.4307494830788687] [-0.3627042145495745, -0.3886294839370129]
1 200.357 [-0.34331507077174334, -0.43044053477098176] [-0.3627042145495745, -0.3886294839370129]
1 205.364 [-0.3431210707717433, -0.43044953477098175] [-0.3627042145495745, -0.3886294839370129]
1 210.369 [-0.3431660707717434, -0.43032953477098185] [-0.3627042145495745, -0.3886294839370129]
1 215.375 [-0.3430230707717434, -0.4309475347709818] [-0.3627042145495745, -0.3886294839370129]
1 220.382 [-0.34370607077174337, -0.43066253477098176] [-0.3627042145495745, -0.3886294839370129]
1 225.388 [-0.34371907077174335, -0.4306725347709818] [-0.3627042145495745, -0.3886294839370129]
1 230.394 [-0.3449191552470394, -0.42871957706452885] [-0.3627042145495745, -0.3886294839370129]
1 235.401 [-0.34515097342885764, -0.42846957706452893] [-0.3627042145495745, -0.3886294839370129]
1 240.407 [-0.3448742256431195, -0.4315321123091514] [-0.3627042145495745, -0.3886294839370129]
1 245.414 [-0.34499339230978615, -0.4309962789758181] [-0.3627042145495745, -0.3886294839370129]
1 250.42 [-0.3454407648369595, -0.4305375248364155] [-0.3627042145495745, -0.3886294839370129]
1 255.427 [-0.3454229076941024, -0.43050323912212984] [-0.3627042145495745, -0.3886294839370129]
1 260.433 [-0.3455007648369595, -0.43044823912212976] [-0.3627042145495745, -0.3886294839370129]
1 265.44 [-0.34632290769410234, -0.4298196676935584] [-0.3627042145495745, -0.3886294839370129]
1 270.446 [-0.34636647912267376, -0.4297810962649869] [-0.3627042145495745, -0.3886294839370129]
1 275.453 [-0.3464300505512452, -0.429906096264987] [-0.3627042145495745, -0.3886294839370129]
1 280.46 [-0.3464300505512452, -0.429906096264987] [-0.3627042145495745, -0.3886294839370129]
