ID TIME #RESOURCES
0 24.738 1
0 44.566 2
0 44.664 3
0 46.767 4
0 54.274 5
0 54.876 6
0 63.988 7
0 66.492 8
0 67.69 9
0 71.898 10
0 72.096 11
0 78.505 12
0 78.702 13
0 89.818 14
0 92.221 15
0 94.124 16
0 98.13 17
0 98.63 18
0 99.932 19
0 102.532 20
0 102.534 21
0 106.158 22
0 111.063 23
0 111.146 24
0 115.164 25
0 118.857 26
0 119.153 27
0 121.158 28
0 122.159 29
0 127.47 30
0 129.967 31
0 133.271 32
0 134.171 33
0 137.877 34
0 144.984 35
0 145.585 36
0 146.891 37
0 156.997 38
0 162.406 39
0 162.506 40
0 177.427 41
0 180.328 42
0 181.73 43
0 183.233 44
0 183.43 45
0 184.333 46
0 186.838 47
0 190.243 48
0 191.543 49
0 193.645 50
0 195.448 51
0 211.564 52
0 213.069 53
0 214.67 54
0 215.971 55
0 217.575 56
0 220.579 57
0 221.478 58
0 222.877 59
0 225.984 60
0 227.504 61
0 230.188 62
0 230.89 63
0 237.701 64
0 250.112 65
0 251.512 66
0 256.422 67
0 264.927 68
0 265.235 69
0 265.425 70
0 270.132 71
0 280.158 72
0 303.675 73
0 304.077 74
0 308.578 75
0 310.383 76
0 311.582 77
0 322.095 78
0 322.997 79
0 326.399 80
0 332.305 81
0 338.014 82
0 338.015 83
0 338.613 84
0 344.621 85
0 345.725 86
0 350.131 87
0 359.641 88
0 362.442 89
0 364.445 90
0 364.847 91
0 369.853 92
0 372.656 93
0 382.167 94
0 383.468 95
0 396.089 96
0 396.384 97
0 400.791 98
0 404.295 99
0 409.8 100
0 412.101 101
0 413.203 102
0 416.111 103
0 417.109 104
0 421.416 105
0 422.42 106
0 423.916 107
0 433.229 108
0 433.831 109
0 436.232 110
0 441.837 111
0 443.742 112
0 449.547 113
0 450.047 114
0 451.35 115
0 455.456 116
0 455.755 117
0 472.976 118
0 480.786 119
0 488.595 120
0 490.197 121
0 491.2 122
0 498.205 123
0 499.906 124
0 504.727 125
0 506.414 126
0 512.421 127
0 515.725 128
0 517.328 129
0 525.539 130
0 535.85 131
0 535.947 132
0 551.469 133
0 552.673 134
0 552.969 135
0 558.577 136
0 567.386 137
0 568.889 138
0 572.793 139
0 577.298 140
0 578.501 141
0 596.923 142
0 599.43 143
