ID TIME %RAM %CPU
1 0.003 55.5 14.2
1 5.015 55.5 8.0
1 10.026 55.7 10.7
1 16.03 55.7 8.7
1 21.035 55.6 8.0
1 26.062 55.7 9.2
1 31.093 55.8 12.0
1 37.006 55.6 9.6
1 42.011 55.5 6.4
1 47.065 55.6 6.5
1 54.031 55.5 7.7
1 60.025 55.6 9.6
1 66.01 55.5 6.8
1 72.014 55.6 8.6
1 78.027 55.5 7.5
1 84.015 55.6 8.6
1 90.019 55.6 6.7
1 95.021 55.5 8.7
1 100.074 55.3 9.6
1 106.019 55.3 11.2
1 113.032 55.4 8.5
1 121.056 55.4 8.5
1 128.022 55.4 8.2
1 133.03 55.4 7.4
1 139.02 55.4 7.0
1 145.022 55.4 8.3
1 152.026 55.4 7.7
1 157.039 55.5 8.3
1 163.099 55.5 10.5
1 169.048 55.5 7.8
1 176.034 55.5 9.4
1 181.044 55.5 7.8
1 187.033 55.5 9.7
1 193.025 55.5 8.1
1 198.068 55.6 11.5
1 204.058 55.5 6.3
1 211.033 55.6 9.8
1 216.066 55.5 6.1
1 221.074 55.5 10.1
1 228.071 55.5 7.1
1 235.025 55.5 8.7
1 240.035 55.5 7.7
1 246.112 55.6 13.5
1 252.056 55.6 7.5
1 259.035 55.7 7.8
1 265.048 55.7 8.7
1 271.04 55.7 8.1
1 277.071 55.8 10.7
1 283.045 55.8 6.3
1 288.051 55.8 8.8
1 294.043 55.9 11.3
1 300.075 55.9 7.7
1 307.041 55.9 8.9
1 313.033 55.9 9.1
1 318.049 55.9 9.3
1 325.045 55.9 9.0
1 332.06 55.5 9.5
1 340.036 55.4 9.7
1 345.067 55.5 8.4
1 352.07 55.5 11.0
1 358.103 55.5 7.6
1 364.045 55.5 8.7
1 371.058 55.5 9.4
1 377.068 55.5 8.1
1 384.062 55.4 9.5
1 389.103 55.5 8.2
1 396.062 55.4 7.9
1 402.093 55.4 7.3
1 408.098 55.5 10.5
1 414.087 55.5 8.1
1 421.055 55.5 9.1
1 428.062 55.5 8.6
1 436.046 55.6 9.0
1 443.058 55.7 10.5
1 449.107 55.6 9.4
1 456.074 55.5 10.5
1 462.069 55.5 10.8
1 468.111 55.5 7.3
1 475.085 55.6 7.4
1 480.131 55.6 9.6
1 487.053 55.6 8.1
1 492.073 55.6 8.5
1 498.053 55.9 10.7
1 503.058 55.9 8.9
1 509.127 55.8 13.1
1 515.094 55.8 8.5
1 520.113 55.8 7.6
1 526.071 55.8 11.6
1 532.089 55.8 8.1
1 537.122 55.8 6.9
1 543.103 55.8 9.9
1 549.069 55.8 8.9
1 554.129 55.9 8.8
1 561.077 55.9 9.5
1 566.113 55.9 8.6
1 572.128 55.9 13.4
1 578.125 55.9 9.1
1 583.131 55.9 10.7
1 589.062 55.9 8.4
1 594.08 55.9 7.8
1 599.096 55.9 7.6
1 605.068 55.9 10.1
1 611.13 55.9 7.9
1 617.072 55.9 10.0
1 623.082 56.0 8.5
1 628.104 56.0 8.4
1 635.072 56.0 7.8
1 640.098 56.0 10.4
1 645.104 56.0 9.1
1 650.121 56.0 8.7
1 656.079 56.0 9.4
1 662.075 56.0 8.3
1 668.084 56.1 9.9
1 674.102 56.2 7.8
1 679.133 56.2 11.8
1 686.072 56.2 8.8
1 691.076 56.2 10.1
1 698.08 56.3 10.7
1 705.124 56.3 10.0
1 711.08 56.3 9.2
1 718.076 56.3 7.7
1 723.093 56.3 7.7
1 728.112 56.4 8.6
1 735.108 56.4 8.6
1 741.132 56.4 10.2
1 747.153 56.4 9.7
1 754.096 56.4 7.8
1 760.131 56.4 10.0
1 766.08 56.5 11.3
1 771.097 56.1 8.5
1 777.088 56.1 10.3
1 782.135 56.1 11.2
1 788.135 56.1 9.3
1 793.137 56.1 9.6
1 800.101 56.2 10.1
1 807.105 56.2 9.3
1 813.103 56.2 9.9
1 819.104 56.2 7.9
1 825.159 56.2 11.8
1 831.153 56.2 9.5
1 837.114 56.2 11.2
1 843.104 56.2 8.6
1 848.157 56.2 11.3
1 854.1 56.3 10.4
1 860.153 56.2 11.2
1 867.161 56.2 8.9
1 875.091 56.3 10.1
1 881.164 56.3 9.4
1 888.122 56.3 9.2
1 895.098 56.3 9.4
1 900.107 56.2 8.0
1 906.115 56.3 8.6
1 912.137 56.3 9.3
1 917.159 56.3 7.0
1 923.097 56.3 6.3
1 929.129 56.3 9.3
1 934.16 56.3 45.8
1 939.164 56.3 12.5
1 944.179 56.3 11.5
1 950.162 56.3 9.0
1 955.164 56.4 9.3
1 963.108 56.3 10.5
1 970.129 56.3 9.5
1 976.143 56.4 8.3
1 982.115 56.4 9.9
1 987.156 56.4 13.0
1 993.152 56.4 9.4
1 999.116 56.4 9.6
1 1006.137 56.4 10.2
1 1012.125 56.4 8.8
1 1018.129 56.4 8.9
1 1023.192 56.4 11.4
1 1029.15 56.4 8.6
1 1034.15 56.4 8.6
1 1040.111 56.4 9.6
1 1045.114 56.5 9.6
1 1050.134 56.5 7.3
1 1057.113 56.5 10.0
1 1062.129 56.5 9.2
1 1070.136 56.5 8.3
1 1079.164 56.5 9.4
1 1088.132 56.6 9.4
1 1095.129 56.7 9.9
1 1102.117 56.5 9.3
1 1107.149 56.6 10.9
1 1112.173 56.6 9.2
1 1118.126 56.6 9.3
1 1124.138 56.6 8.5
1 1130.125 56.6 8.9
1 1135.182 56.6 10.7
1 1142.144 56.7 9.8
1 1148.137 56.7 9.3
1 1155.154 56.7 10.4
1 1161.134 56.7 10.8
1 1166.139 56.7 10.3
1 1171.171 56.7 9.7
1 1178.146 56.7 9.6
1 1185.135 56.8 9.8
1 1191.175 56.8 10.2
1 1198.175 56.8 8.9
1 1205.135 56.8 8.5
1 1210.155 56.8 8.4
1 1217.143 56.9 6.7
1 1222.15 57.1 21.4
1 1227.176 56.7 19.6
1 1232.177 58.5 24.4
1 1237.19 58.3 22.0
1 1243.146 58.5 27.6
1 1249.16 57.0 20.1
1 1255.133 56.9 20.1
1 1261.181 58.1 34.4
1 1266.195 57.8 17.9
1 1273.159 57.8 11.8
1 1279.143 57.7 15.7
1 1284.187 57.6 13.7
1 1290.174 57.7 19.5
1 1297.134 57.7 18.8
1 1303.166 57.7 18.4
1 1309.147 58.0 22.2
1 1315.162 58.0 16.2
1 1322.181 59.5 17.3
1 1327.216 59.0 26.9
1 1333.166 59.0 22.2
1 1340.157 58.7 22.5
1 1347.177 58.7 13.7
1 1354.156 58.3 18.5
1 1360.156 58.3 17.1
1 1366.173 59.1 30.5
1 1371.2 59.2 37.4
1 1376.25 59.1 30.4
1 1382.161 59.3 31.8
1 1388.196 59.3 22.5
1 1394.194 59.1 19.5
1 1399.229 59.1 32.5
1 1405.146 58.7 11.1
1 1410.154 58.7 9.4
1 1415.204 58.7 12.3
1 1422.179 58.7 10.0
1 1427.187 58.7 9.3
1 1434.164 58.5 9.2
1 1439.215 58.5 8.6
1 1446.172 58.6 10.7
1 1451.207 58.6 9.9
1 1457.157 58.7 11.8
1 1463.22 58.5 12.1
1 1470.167 58.6 9.5
1 1478.158 58.4 10.8
1 1484.197 58.5 9.7
1 1489.208 58.5 9.0
1 1494.215 58.5 12.7
1 1500.168 58.5 7.4
1 1505.169 58.4 8.8
1 1510.201 58.5 10.1
1 1516.2 58.5 12.4
1 1522.23 58.5 10.1
1 1528.174 58.5 9.6
1 1534.179 58.5 8.9
1 1539.191 58.5 11.3
1 1546.161 58.6 9.9
1 1552.167 58.5 11.9
1 1559.16 58.5 9.8
1 1564.173 58.6 10.4
1 1571.172 58.7 11.0
1 1577.184 58.6 9.8
1 1583.18 58.7 10.5
1 1588.18 58.6 9.5
1 1593.212 58.6 8.5
1 1599.167 58.3 9.2
1 1605.209 58.3 9.1
1 1611.184 58.3 12.7
1 1617.193 58.3 8.5
1 1622.211 58.2 5.8
1 1629.242 58.2 10.1
1 1637.219 58.5 11.3
1 1643.171 58.6 9.2
1 1648.201 58.5 9.3
1 1655.186 58.4 13.3
1 1661.176 58.4 9.2
1 1667.202 58.4 10.1
1 1673.21 58.4 11.7
1 1679.173 58.4 13.6
1 1684.194 58.2 9.4
1 1689.214 58.2 8.5
1 1694.244 58.2 12.1
1 1701.2 58.2 8.9
1 1707.182 58.4 10.0
1 1713.183 57.8 8.8
1 1720.179 57.8 9.4
1 1725.232 57.8 12.6
1 1730.244 57.8 12.4
1 1736.195 57.7 8.2
1 1741.235 57.8 7.5
1 1746.243 57.8 8.3
1 1753.188 57.8 8.9
1 1758.222 57.9 9.7
1 1763.223 57.9 9.2
1 1769.202 58.1 12.0
1 1775.185 58.0 7.6
1 1780.216 58.0 9.1
1 1785.226 58.0 10.5
1 1791.238 58.0 10.8
1 1797.185 58.0 9.3
1 1803.193 58.0 9.6
1 1808.242 58.0 9.2
1 1815.238 58.0 8.5
1 1821.198 58.0 9.2
1 1827.196 58.0 12.1
1 1832.239 58.0 9.0
1 1837.247 58.0 11.1
1 1843.204 58.1 10.7
1 1848.225 58.0 9.4
1 1854.198 58.1 9.8
1 1860.25 58.1 6.3
1 1868.198 58.0 10.1
1 1874.203 58.2 11.8
1 1879.204 58.1 8.8
1 1884.212 58.1 9.8
1 1889.23 58.1 7.4
1 1895.196 58.2 20.6
1 1901.223 58.2 8.6
1 1906.247 58.3 6.5
1 1911.282 58.2 10.0
1 1917.212 58.4 9.7
1 1923.274 58.3 12.2
1 1930.251 58.3 8.9
1 1936.223 58.3 10.5
1 1942.257 58.3 9.8
1 1947.267 58.3 14.0
1 1952.273 58.3 13.4
1 1958.218 58.4 9.9
1 1964.277 58.4 12.8
1 1970.255 58.4 9.9
1 1977.21 58.4 8.4
1 1983.247 58.4 11.1
1 1989.255 58.4 9.5
1 1996.217 58.3 8.4
1 2001.28 58.4 8.0
1 2007.223 58.3 12.7
1 2012.255 58.4 12.8
1 2018.24 58.3 10.2
1 2023.292 58.2 9.4
1 2030.221 58.3 8.2
1 2035.224 58.3 7.9
1 2041.224 58.4 10.7
1 2047.268 58.3 9.7
1 2053.218 58.4 9.7
1 2058.224 58.3 9.3
1 2064.252 58.3 9.9
1 2070.233 58.3 8.2
1 2075.242 58.3 9.7
1 2083.223 58.3 9.3
1 2089.275 58.3 8.2
1 2095.249 58.4 9.6
1 2101.244 58.4 9.5
1 2108.245 58.4 9.7
1 2115.222 58.4 11.3
1 2120.265 58.4 9.8
1 2127.223 58.4 9.5
1 2132.249 58.4 8.9
1 2137.259 58.4 6.5
1 2142.291 58.4 7.9
1 2148.267 58.4 12.4
1 2154.229 58.4 8.0
1 2159.3 58.4 11.5
1 2165.237 58.6 9.5
1 2170.239 58.5 6.0
1 2175.283 58.5 6.3
1 2181.249 58.4 10.0
1 2188.242 58.4 10.3
1 2193.258 58.4 13.9
1 2199.277 58.4 8.8
1 2205.258 58.5 12.9
1 2211.272 58.5 8.9
1 2218.256 58.5 8.5
1 2223.285 58.5 7.2
1 2229.288 58.5 12.3
1 2235.243 58.5 9.0
1 2243.259 58.6 10.5
1 2249.27 58.5 9.6
1 2256.24 58.5 11.5
1 2261.264 58.5 8.9
1 2267.245 58.5 13.8
1 2273.256 58.5 8.9
1 2278.264 58.6 8.9
1 2285.307 58.6 10.8
1 2291.262 58.6 10.3
1 2297.271 58.6 9.7
1 2304.236 58.6 9.3
1 2309.244 58.6 8.2
1 2314.292 58.6 7.2
1 2319.295 58.6 13.1
1 2324.321 58.6 13.7
1 2330.286 58.6 8.6
1 2336.252 58.6 10.4
1 2341.28 58.6 13.5
1 2347.258 58.7 10.3
1 2352.31 58.6 7.6
1 2357.317 58.6 8.2
1 2363.26 58.8 11.1
1 2370.243 58.7 11.0
1 2375.246 58.7 10.8
1 2380.271 58.6 11.2
1 2386.249 58.6 10.9
1 2392.248 58.6 14.8
1 2397.271 58.6 9.0
1 2402.291 58.7 9.4
1 2407.33 58.7 12.2
1 2412.33 58.7 14.3
1 2418.276 58.7 8.2
1 2425.253 58.7 8.4
1 2430.294 58.7 9.4
1 2437.264 58.7 9.2
1 2443.272 58.7 10.2
1 2449.261 58.7 9.7
1 2455.268 58.7 9.4
1 2461.304 58.7 10.3
1 2467.258 58.7 9.9
1 2474.268 58.8 11.0
1 2480.263 58.8 9.6
1 2485.33 58.8 7.7
1 2492.29 58.8 8.6
1 2497.301 58.8 9.6
1 2502.323 58.8 10.5
1 2509.301 58.8 9.7
1 2514.316 58.8 9.6
1 2521.278 58.8 9.2
1 2527.267 58.8 10.2
1 2532.269 58.9 11.2
1 2537.277 58.8 9.0
1 2542.312 58.8 9.3
1 2548.269 58.9 9.6
1 2553.277 58.9 9.7
1 2559.298 58.9 9.8
1 2564.336 58.9 10.6
1 2570.278 58.9 12.2
1 2577.268 58.9 10.9
1 2582.274 58.9 18.9
1 2588.304 58.9 8.1
1 2595.287 58.9 10.5
1 2600.345 58.7 11.9
1 2606.283 58.8 10.5
1 2611.296 58.7 9.3
1 2616.307 58.7 11.2
1 2623.282 58.7 9.3
1 2628.312 58.7 9.0
1 2635.304 58.7 9.5
1 2641.283 58.7 9.5
1 2646.322 58.7 13.0
1 2652.302 58.7 9.4
1 2657.345 58.7 9.5
1 2662.354 58.7 11.2
1 2669.333 58.7 9.7
1 2675.286 58.9 9.1
1 2681.329 58.8 8.1
1 2686.362 58.8 13.9
1 2692.317 58.8 8.1
1 2699.29 58.8 10.8
