ID TIME POS
14 0.373 0.361496i + 1.28068j
14 10.54 0.023738i + -0.130961j
14 20.957 -1.3055i + 0.900579j
14 31.315 -1.03751i + 0.458938j
14 41.478 -1.00406i + 1.09924j
14 51.688 -0.800459i + 0.0142617j
14 61.795 -0.138021i + 0.114515j
14 71.84 0.131393i + 0.603887j
14 81.908 0.172726i + 1.14384j
14 92.01 0.321714i + 0.65898j
14 102.066 0.810254i + 0.312317j
14 112.102 0.600006i + 0.804068j
14 122.192 -0.139098i + 0.0455403j
14 132.289 0.107161i + 0.234266j
14 142.373 -0.313231i + -0.0555508j
14 152.424 0.287615i + -0.541945j
14 162.494 1.33134i + -0.253017j
14 172.669 0.948823i + 0.685977j
14 182.722 0.937074i + -0.0097149j
14 192.801 0.968199i + 0.501865j
14 202.943 -0.0348699i + 0.262874j
14 212.967 0.119117i + -0.527524j
14 223.1 -0.152475i + -0.17284j
14 233.133 0.492117i + -0.289396j
14 243.172 -0.0465713i + -0.52118j
14 253.228 0.534639i + -0.287777j
14 263.336 0.0957197i + -0.0167312j
14 273.442 -0.304459i + -0.336009j
14 283.514 0.154883i + 0.343524j
14 293.631 0.180975i + 0.153208j
14 303.902 0.0236894i + -0.0222348j
14 314.191 -0.0872485i + -0.661666j
14 324.241 0.621204i + -1.18879j
14 334.26 0.474878i + -0.321545j
14 344.531 0.433643i + -1.44375j
14 354.572 1.19722i + -0.186181j
14 364.693 0.337977i + -0.0431359j
14 374.828 0.286161i + -0.687675j
14 384.885 -0.0502107i + -0.809052j
14 394.945 1.09474i + -0.947534j
14 404.951 0.60769i + -0.440034j
14 415.119 0.536026i + 0.818562j
14 425.393 0.516697i + 0.739921j
14 435.811 0.779193i + 0.360598j
14 445.904 0.237772i + 0.169068j
14 455.96 0.185394i + -0.16738j
14 465.976 -0.122674i + -0.417652j
14 476.002 -0.837902i + -0.961472j
14 486.021 -0.327155i + -0.319874j
14 496.154 -0.152199i + 0.270548j
14 506.222 0.257826i + 0.0820778j
14 516.252 -0.117938i + -0.1537j
14 526.312 -0.135732i + 0.132467j
14 536.412 -0.0189565i + -0.782632j
14 546.439 0.46032i + -0.283349j
14 556.576 -0.576945i + -0.775354j
14 566.763 -0.117299i + -1.27451j
14 576.853 -0.435174i + -0.947926j
14 586.873 -0.928236i + -1.02557j
14 596.925 -1.02392i + -0.821883j
14 606.976 -0.63935i + 0.405461j
14 617.01 -0.699284i + -1.02932j
14 627.079 -0.513793i + -1.11464j
14 637.272 0.0154124i + -0.612743j
14 647.484 -0.433241i + -0.837568j
14 657.734 -0.564587i + -0.519026j
14 667.765 -1.01056i + -0.844752j
14 677.822 -1.08368i + 0.505284j
14 687.88 -0.654638i + -0.320621j
14 698.144 -0.253433i + 0.359356j
14 708.262 -1.00435i + 0.0428129j
14 718.548 0.0799881i + 0.277633j
14 728.937 -0.23492i + -0.0715644j
14 739.022 -0.119333i + -0.206137j
14 749.181 -0.121006i + -0.621847j
14 759.459 -0.564025i + -1.66365j
14 769.932 -0.33062i + -0.307879j
14 780.054 0.428036i + -0.311709j
14 790.083 -0.296293i + -1.0418j
14 800.302 -0.208097i + -0.223807j
14 810.408 -0.069375i + -0.0738377j
14 820.5 -0.483535i + -0.24082j
14 830.505 -0.760086i + 0.368432j
14 840.548 0.126282i + -0.158586j
14 850.605 0.0600212i + -0.239732j
14 860.714 -0.0603407i + 0.269602j
14 870.859 1.38592i + -0.0671958j
14 880.89 0.483724i + -0.022476j
14 890.991 0.59124i + 0.564117j
14 901.095 0.949855i + 0.240322j
14 911.124 -0.349137i + 0.335569j
14 921.173 0.694405i + -0.559198j
14 931.239 0.833877i + -0.279308j
14 941.284 0.166478i + 0.0235238j
14 951.53 -0.349368i + 0.172208j
14 961.55 0.728915i + 0.405072j
14 971.779 0.678714i + 1.47513j
14 982.246 1.09069i + -0.34724j
14 992.314 1.27555i + 0.499948j
14 1002.342 0.759362i + 0.349604j
14 1012.395 0.208674i + 0.87804j
14 1022.437 0.159874i + -0.337246j
14 1032.703 -0.0314166i + -0.186635j
14 1043.27 -0.459967i + 0.657935j
14 1053.713 0.222972i + 0.076991j
14 1064.102 0.20723i + -0.0122768j
14 1074.41 0.000687852i + -0.0740066j
14 1084.659 -0.350737i + -0.961755j
14 1094.943 -0.308482i + -1.06521j
14 1104.945 -0.0889427i + -0.707831j
14 1114.955 -0.542805i + -0.911898j
14 1125.05 -0.520072i + -1.12048j
14 1135.097 -0.763303i + -0.538476j
14 1145.188 0.124555i + -0.515867j
14 1155.391 -0.0966775i + -0.176932j
14 1165.419 0.0036811i + 0.539595j
14 1175.518 0.0720814i + 0.256187j
14 1185.539 -0.318737i + 0.134873j
14 1195.559 0.216038i + 0.830105j
14 1205.572 0.65586i + 0.348845j
14 1215.805 0.280791i + 0.732513j
14 1225.837 0.390306i + 0.334173j
14 1236.006 1.46864i + 0.325684j
14 1246.051 0.441609i + 1.36269j
14 1256.196 0.334621i + -0.819177j
14 1266.254 0.215949i + -0.371849j
14 1276.365 1.57765i + -0.099364j
14 1286.553 0.710925i + -0.0367502j
14 1296.743 0.0906441i + 0.381772j
14 1306.773 0.911484i + 0.108726j
14 1316.829 0.404379i + 0.0946766j
14 1326.833 0.717826i + -0.486632j
14 1336.877 0.157726i + -0.00558452j
14 1346.964 0.118656i + 0.342328j
14 1357.072 -0.197502i + 0.329722j
14 1367.225 0.685661i + 0.444225j
14 1377.255 0.91634i + 0.542359j
14 1387.256 -0.331991i + -0.114901j
14 1397.357 0.347849i + 0.00184336j
14 1407.611 0.199458i + -0.175801j
14 1417.889 -0.0539258i + 0.231343j
14 1428.153 -0.293764i + -0.453017j
14 1438.352 -1.00344i + -1.09709j
14 1448.427 -0.55845i + -0.19225j
14 1458.499 -0.137812i + -0.178568j
14 1468.571 -0.638768i + 0.851159j
14 1478.652 -0.272103i + -0.383665j
14 1488.79 0.192231i + -0.244144j
14 1499.138 0.281632i + -1.08122j
14 1509.603 -0.285384i + -0.290586j
14 1519.865 -0.144013i + -0.922502j
14 1530.132 -0.913563i + -1.02791j
14 1540.355 0.123726i + -0.988804j
14 1550.384 -0.769329i + -1.33482j
14 1560.533 -0.45463i + -0.784396j
14 1570.83 0.160707i + -1.61552j
14 1580.937 -1.1825i + -1.75737j
14 1590.944 -0.634348i + -1.28523j
14 1601.05 -0.66717i + -0.348093j
14 1611.123 -0.606052i + -0.45119j
14 1621.222 0.0191144i + -0.4688j
14 1631.284 -0.488592i + -0.399465j
14 1641.285 -0.0500109i + 0.0649414j
14 1651.375 0.0336587i + -0.195402j
14 1661.406 -0.957355i + 0.477943j
14 1671.417 0.0599248i + -0.0886421j
14 1681.964 -0.187039i + -0.103947j
14 1692.464 -0.425068i + -0.203578j
14 1702.73 -0.399826i + 0.08793j
14 1712.935 -0.355587i + -0.187166j
14 1723.255 -0.0773925i + -0.435887j
14 1733.513 0.18896i + -0.526753j
14 1743.631 -0.672752i + -0.0245255j
14 1753.799 -0.35815i + -0.0810789j
14 1763.991 0.0640725i + -0.646154j
14 1774.099 0.416416i + 0.154712j
14 1784.149 -0.671589i + 0.107836j
14 1794.36 0.0744619i + -0.00233636j
