ID TIME pos
3 5.048 [0.28898, 0.3257699999999999] [0.18904350084004962, 0.16931570723919834]
3 35.446 [0.28735250000000007, 0.3117712500000001] [0.18904350084004962, 0.16931570723919834]
3 65.845 [0.28014424297189655, 0.2916849332741708] [0.18904350084004962, 0.16931570723919834]
