[7 INFO main 30] Initialising Python Geth Console...
[7 INFO main 33] Initialising RandB board...
[7 INFO main 33] Initialising navigation...
[7 INFO main 33] Initialising random-walk...
[7 INFO main 33] Initialising odometry...
[7 INFO main 33] Initialising ground-sensors...
[7 INFO main 763] --//-- Starting Experiment --//--
[7 INFO main 1863] Idle.IDLE -> Scout.Query | Duration: 21.58
[7 INFO main 57142] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 71558] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 71659] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 71755] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 72661] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 72757] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 73761] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 73857] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 74763] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 74859] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 75764] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 75861] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 76864] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 76962] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 77865] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 77963] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 78868] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 78965] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 79869] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 81371] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 81872] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 81969] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 82873] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 82970] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 83875] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 83972] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 84877] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 84973] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 85878] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 85974] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 86880] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 86976] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 87980] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 88078] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 88982] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 90881] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 90985] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 91083] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 91987] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 92085] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 93089] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 93185] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 94092] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 94186] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 95186] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 95288] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 96188] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 97091] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 97190] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 97293] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 98191] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 98796] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 99297] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 99394] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 100298] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 100389] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 101398] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 102000] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 102399] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 103602] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 104402] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 104499] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 105503] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 105604] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 106504] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 106604] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 107608] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 107702] Scout.GotoCenter -> Scout.Query | return to random walk
