ID TIME FPS
5 320.026 0.97
5 321.007 0.97
5 322.047 1.04
5 323.005 0.96
5 324.031 1.03
5 325.001 0.96
5 326.024 1.02
5 327.01 0.98
5 328.026 1.02
5 329.044 1.01
5 330.022 0.98
5 331.001 0.98
5 332.025 1.02
5 333.005 0.98
5 334.027 1.02
5 335.033 1.01
5 336.028 1.0
5 337.008 0.98
5 338.003 0.99
5 339.008 1.0
5 339.996 0.99
5 341.032 1.04
5 342.023 0.99
5 343.04 1.01
5 344.017 0.98
5 345.016 1.0
5 346.049 1.03
5 347.0 0.95
5 348.042 1.04
5 349.001 0.96
5 350.038 1.04
5 351.045 1.01
5 352.056 1.01
5 353.034 0.98
5 354.029 0.99
5 355.046 1.01
5 356.052 1.01
5 357.007 0.95
5 358.059 1.05
5 359.03 0.97
5 360.048 1.02
5 361.002 0.95
5 362.017 1.01
5 363.004 0.99
5 364.015 1.01
5 365.052 1.04
5 366.016 0.96
5 367.056 1.04
5 368.034 0.98
5 369.006 0.97
5 370.055 1.05
5 371.016 0.96
5 372.012 1.0
5 373.004 0.99
5 374.036 1.03
5 375.067 1.03
5 376.003 0.94
5 377.046 1.04
5 378.014 0.96
5 379.05 1.03
5 380.058 1.01
5 381.007 0.95
5 382.05 1.04
5 383.004 0.95
5 384.058 1.05
5 385.016 0.96
5 386.008 0.99
5 387.055 1.04
5 388.028 0.97
5 389.05 1.02
5 390.011 0.96
5 391.051 1.04
5 392.01 0.96
5 393.013 1.0
5 394.06 1.05
5 395.003 0.94
5 396.058 1.06
5 397.018 0.96
5 398.008 0.99
5 399.069 1.06
5 400.024 0.95
5 401.01 0.99
5 402.054 1.04
5 403.018 0.96
5 404.048 1.03
5 405.007 0.96
5 406.057 1.05
5 407.009 0.95
5 408.055 1.04
5 409.01 0.95
5 410.045 1.03
5 411.027 0.98
5 412.068 1.04
5 413.026 0.96
5 414.039 1.01
5 415.037 1.0
5 416.051 1.0
5 417.008 0.95
5 418.058 1.05
5 419.005 0.95
5 420.032 1.03
5 421.009 0.97
5 422.022 1.01
5 423.057 1.03
5 424.01 0.95
5 425.044 1.03
5 426.031 0.99
5 427.05 1.02
5 428.03 0.98
5 429.015 0.98
5 430.036 1.02
5 431.019 0.98
5 432.046 1.02
5 433.042 1.0
5 434.048 1.01
5 435.055 1.0
5 436.008 0.95
5 437.062 1.05
5 438.027 0.96
5 439.013 0.99
5 440.026 1.01
5 441.059 1.03
5 442.034 0.97
5 443.01 0.97
5 444.026 1.01
5 445.011 0.98
5 446.048 1.03
5 447.045 1.0
5 448.014 0.97
5 449.057 1.04
5 450.073 1.02
5 451.017 0.94
5 452.02 1.0
5 453.061 1.04
5 454.023 0.96
5 455.024 1.0
5 456.067 1.04
5 457.058 0.99
5 458.051 0.99
5 459.016 0.96
5 460.02 1.0
5 461.054 1.03
5 462.032 0.98
5 463.057 1.02
5 464.039 0.98
5 465.039 1.0
5 466.079 1.04
5 467.019 0.94
5 468.056 1.04
5 469.03 0.97
5 470.056 1.02
5 471.017 0.96
5 472.016 1.0
5 473.055 1.04
5 474.022 0.97
5 475.054 1.03
5 476.034 0.98
5 477.056 1.02
5 478.045 0.99
5 479.022 0.97
5 480.065 1.04
5 481.024 0.96
5 482.054 1.03
5 483.018 0.96
5 484.026 1.01
5 485.067 1.04
5 486.036 0.97
5 487.059 1.02
5 488.063 1.0
5 489.045 0.98
5 490.055 1.0
5 491.018 0.96
5 492.055 1.04
5 493.048 0.99
5 494.021 0.97
5 495.018 1.0
5 496.062 1.04
5 497.044 0.98
5 498.02 0.98
5 499.069 1.05
5 500.039 0.97
5 501.066 1.03
5 502.036 0.97
5 503.019 0.98
5 504.056 1.04
5 505.037 0.98
5 506.021 0.98
5 507.036 1.01
5 508.02 0.98
5 509.078 1.06
5 510.019 0.94
5 511.055 1.04
5 512.044 0.99
5 513.033 0.99
5 514.017 0.98
5 515.053 1.03
5 516.066 1.01
5 517.021 0.95
5 518.06 1.04
5 519.039 0.98
5 520.063 1.02
5 521.021 0.96
5 522.026 1.0
5 523.068 1.04
5 524.056 0.99
5 525.058 1.0
5 526.022 0.96
5 527.044 1.02
5 528.024 0.98
5 529.028 1.0
5 530.065 1.04
5 531.036 0.97
5 532.065 1.03
5 533.031 0.96
5 534.025 0.99
5 535.065 1.04
5 536.071 1.0
5 537.064 0.99
5 538.021 0.96
5 539.041 1.02
5 540.057 1.02
5 541.02 0.96
5 542.065 1.04
5 543.036 0.97
5 544.057 1.02
5 545.037 0.98
5 546.023 0.99
5 547.066 1.04
5 548.059 0.99
5 549.071 1.0
5 550.022 0.95
5 551.061 1.04
5 552.03 0.97
5 553.026 0.99
5 554.083 1.06
5 555.042 0.96
5 556.035 0.99
5 557.056 1.02
5 558.027 0.96
5 559.077 1.05
5 560.051 0.97
5 561.062 1.01
5 562.023 0.96
5 563.052 1.03
5 564.07 1.02
5 565.026 0.96
5 566.055 1.03
5 567.068 1.01
5 568.044 0.97
5 569.061 1.02
5 570.029 0.97
5 571.067 1.04
5 572.078 1.01
5 573.058 0.98
5 574.03 0.97
5 575.076 1.05
5 576.048 0.97
5 577.029 0.98
5 578.076 1.05
5 579.052 0.98
5 580.063 1.01
5 581.035 0.97
5 582.029 0.99
5 583.079 1.05
5 584.05 0.97
5 585.057 1.01
5 586.055 1.0
5 587.066 1.01
5 588.051 0.98
5 589.032 0.98
5 590.069 1.04
5 591.043 0.97
5 592.073 1.03
5 593.032 0.96
5 594.054 1.02
5 595.031 0.98
5 596.03 1.0
5 597.079 1.05
5 598.049 0.97
5 599.057 1.0
5 600.066 1.01
5 601.034 0.97
5 602.066 1.03
5 603.034 0.97
5 604.055 1.01
5 605.027 0.97
5 606.067 1.04
5 607.026 0.96
5 608.029 1.0
5 609.053 1.02
5 610.048 0.99
5 611.066 1.02
5 612.053 0.99
5 613.03 0.98
5 614.065 1.03
5 615.046 0.98
5 616.033 0.98
5 617.029 1.0
5 618.043 1.01
5 619.088 1.04
5 620.038 0.95
5 621.054 1.02
5 622.069 1.01
5 623.039 0.97
5 624.062 1.02
5 625.028 0.97
5 626.076 1.05
5 627.072 1.0
5 628.05 0.97
5 629.033 0.98
5 630.078 1.05
5 631.072 0.99
5 632.038 0.97
5 633.056 1.02
5 634.05 0.98
5 635.039 0.99
5 636.038 1.0
5 637.027 0.99
5 638.064 1.04
5 639.062 1.0
5 640.076 1.01
5 641.034 0.96
5 642.039 1.0
5 643.08 1.04
5 644.035 0.95
5 645.068 1.03
5 646.055 0.99
5 647.053 0.99
5 648.046 0.99
5 649.033 0.98
5 650.065 1.03
5 651.058 0.99
5 652.074 1.01
5 653.034 0.96
5 654.064 1.03
5 655.061 1.0
5 656.034 0.97
5 657.088 1.05
5 658.076 0.99
5 659.043 0.97
5 660.084 1.04
5 661.038 0.95
5 662.045 1.01
5 663.091 1.05
5 664.062 0.97
5 665.043 0.98
5 666.081 1.04
5 667.054 0.97
5 668.045 0.99
5 669.087 1.04
5 670.088 1.0
5 671.066 0.98
5 672.08 1.01
5 673.035 0.95
5 674.073 1.04
5 675.088 1.01
5 676.053 0.96
5 677.039 0.99
5 678.043 1.0
5 679.089 1.05
5 680.037 0.95
5 681.072 1.03
5 682.086 1.01
5 683.07 0.98
5 684.048 0.98
5 685.087 1.04
5 686.065 0.98
5 687.049 0.98
5 688.093 1.04
5 689.061 0.96
5 690.07 1.01
5 691.043 0.97
5 692.075 1.03
5 693.076 1.0
5 694.041 0.96
5 695.091 1.05
5 696.062 0.97
5 697.045 0.98
5 698.042 0.99
5 699.076 1.03
5 700.067 0.99
5 701.072 1.0
5 702.083 1.01
5 703.054 0.97
5 704.045 0.99
5 705.079 1.03
5 706.037 0.96
5 707.07 1.03
5 708.07 1.0
5 709.075 1.0
5 710.045 0.97
5 711.075 1.03
5 712.066 0.99
5 713.047 0.98
5 714.09 1.04
5 715.082 0.99
5 716.044 0.96
5 717.071 1.03
5 718.044 0.97
5 719.075 1.03
5 720.07 0.99
5 721.046 0.97
5 722.043 1.0
5 723.079 1.04
5 724.071 0.99
5 725.05 0.98
5 726.08 1.03
5 727.093 1.0
5 728.065 0.97
5 729.078 1.01
5 730.043 0.97
5 731.085 1.04
5 732.057 0.97
5 733.068 1.01
5 734.049 0.98
5 735.09 1.04
5 736.084 0.99
5 737.046 0.96
5 738.044 1.0
5 739.073 1.03
5 740.065 0.99
5 741.087 1.02
5 742.041 0.95
5 743.08 1.04
5 744.071 0.99
5 745.079 1.01
5 746.042 0.96
5 747.088 1.05
5 748.056 0.96
5 749.048 0.99
5 750.087 1.04
5 751.063 0.98
5 752.092 1.03
5 753.045 0.95
5 754.05 1.0
5 755.099 1.05
5 756.082 0.98
5 757.059 0.98
5 758.106 1.05
5 759.08 0.97
5 760.073 0.99
5 761.044 0.97
5 762.099 1.05
5 763.077 0.98
5 764.061 0.98
5 765.068 1.0
5 766.054 0.99
5 767.049 0.99
5 768.053 1.0
5 769.084 1.03
5 770.066 0.98
5 771.088 1.02
5 772.059 0.97
5 773.059 1.0
5 774.089 1.03
5 775.044 0.95
5 776.092 1.04
5 777.045 0.95
5 778.087 1.04
5 779.042 0.96
5 780.048 1.01
5 781.08 1.03
5 782.095 1.01
5 783.06 0.96
5 784.097 1.04
5 785.056 0.96
5 786.084 1.03
5 787.059 0.97
5 788.084 1.02
5 789.048 0.96
5 790.088 1.04
5 791.093 1.0
5 792.048 0.95
5 793.098 1.05
5 794.105 1.01
5 795.065 0.96
5 796.056 0.99
5 797.088 1.03
5 798.058 0.97
5 799.055 0.99
5 800.088 1.03
5 801.058 0.97
5 802.084 1.02
5 803.048 0.96
5 804.089 1.04
5 805.08 0.99
5 806.055 0.97
5 807.11 1.05
5 808.084 0.97
5 809.099 1.01
5 810.054 0.95
5 811.06 1.0
5 812.097 1.04
5 813.082 0.98
5 814.062 0.98
5 815.07 1.01
5 816.065 0.99
5 817.06 1.0
5 818.048 0.99
5 819.088 1.04
5 820.098 1.01
5 821.076 0.98
5 822.09 1.01
5 823.049 0.96
5 824.057 1.01
5 825.097 1.04
5 826.066 0.97
5 827.063 1.0
5 828.058 0.99
5 829.109 1.04
5 830.052 0.94
5 831.088 1.04
5 832.068 0.98
5 833.078 1.01
5 834.052 0.97
5 835.078 1.02
5 836.063 0.98
5 837.083 1.02
5 838.077 0.99
5 839.095 1.01
5 840.068 0.97
5 841.084 1.01
5 842.054 0.97
5 843.096 1.04
5 844.07 0.97
5 845.092 1.02
5 846.057 0.96
5 847.057 1.0
5 848.105 1.05
5 849.072 0.97
5 850.083 1.01
5 851.062 0.98
5 852.089 1.03
5 853.075 0.99
5 854.061 0.98
5 855.099 1.04
5 856.08 0.98
5 857.1 1.02
5 858.084 0.98
5 859.067 0.98
5 860.105 1.04
5 861.078 0.97
5 862.083 1.01
5 863.056 0.97
5 864.096 1.04
5 865.079 0.98
5 866.058 0.98
5 867.083 1.02
5 868.107 1.02
5 869.098 0.99
5 870.061 0.96
5 871.064 1.0
5 872.099 1.03
5 873.083 0.98
5 874.088 1.01
5 875.057 0.97
5 876.085 1.03
5 877.096 1.01
5 878.058 0.96
5 879.091 1.03
5 880.103 1.01
5 881.125 1.02
5 882.077 0.95
5 883.061 0.98
5 884.104 1.04
5 885.069 0.96
5 886.087 1.01
5 887.059 0.97
5 888.07 1.01
5 889.061 0.99
5 890.066 1.0
5 891.07 1.0
5 892.105 1.03
5 893.113 1.01
5 894.084 0.97
5 895.058 0.97
5 896.113 1.05
5 897.077 0.96
5 898.104 1.03
5 899.065 0.96
5 900.093 1.03
5 901.064 0.97
5 902.07 1.01
5 903.114 1.04
5 904.109 0.99
