ID TIME pos
15 0.094 [0, 0] [-0.443937911857729, -0.544249679978258]
15 5.112 [0, 0] [-0.443937911857729, -0.544249679978258]
15 10.116 [0, 0] [-0.443937911857729, -0.544249679978258]
15 15.118 [0, 0] [-0.443937911857729, -0.544249679978258]
15 20.126 [0, 0] [-0.443937911857729, -0.544249679978258]
15 25.135 [0, 0] [-0.443937911857729, -0.544249679978258]
15 30.14 [0, 0] [-0.443937911857729, -0.544249679978258]
15 35.149 [0, 0] [-0.443937911857729, -0.544249679978258]
15 40.152 [0, 0] [-0.443937911857729, -0.544249679978258]
15 45.158 [0, 0] [-0.443937911857729, -0.544249679978258]
15 50.168 [0, 0] [-0.443937911857729, -0.544249679978258]
15 55.176 [0, 0] [-0.443937911857729, -0.544249679978258]
15 60.178 [0, 0] [-0.443937911857729, -0.544249679978258]
15 65.186 [0, 0] [-0.443937911857729, -0.544249679978258]
15 70.2 [-0.34846, -0.7972600000000001] [-0.443937911857729, -0.544249679978258]
15 75.2 [-0.34846, -0.7972600000000001] [-0.443937911857729, -0.544249679978258]
15 80.206 [-0.34846, -0.7972600000000001] [-0.443937911857729, -0.544249679978258]
15 85.211 [-0.34846, -0.7972600000000001] [-0.443937911857729, -0.544249679978258]
15 90.226 [-0.37965000000000004, -0.8093250000000001] [-0.443937911857729, -0.544249679978258]
15 95.324 [-0.37965000000000004, -0.8093250000000001] [-0.443937911857729, -0.544249679978258]
15 100.328 [-0.37965000000000004, -0.8093250000000001] [-0.443937911857729, -0.544249679978258]
15 105.337 [-0.4459071913127026, -0.8307404446746595] [-0.443937911857729, -0.544249679978258]
15 110.35 [-0.44634052464603596, -0.8308537780079929] [-0.443937911857729, -0.544249679978258]
15 115.354 [-0.44634719131270256, -0.8308571113413262] [-0.443937911857729, -0.544249679978258]
15 120.362 [-0.44634719131270256, -0.8308571113413262] [-0.443937911857729, -0.544249679978258]
15 125.366 [-0.44634719131270256, -0.8308571113413262] [-0.443937911857729, -0.544249679978258]
15 130.374 [-0.44634719131270256, -0.8308571113413262] [-0.443937911857729, -0.544249679978258]
15 135.377 [-0.44634719131270256, -0.8308571113413262] [-0.443937911857729, -0.544249679978258]
