ID TIME pos
6 0.099 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 5.106 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 10.112 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 15.119 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 20.125 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 25.134 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 30.141 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 35.146 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 40.155 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 45.16 [0, 0] [-0.3940681724311217, -0.46474020112787506]
6 50.17 [-0.3421099999999999, -0.4962599999999999] [-0.3940681724311217, -0.46474020112787506]
6 55.174 [-0.3421099999999999, -0.4962599999999999] [-0.3940681724311217, -0.46474020112787506]
6 60.179 [-0.3421099999999999, -0.4962599999999999] [-0.3940681724311217, -0.46474020112787506]
6 65.186 [-0.330905, -0.49222999999999995] [-0.3940681724311217, -0.46474020112787506]
6 70.193 [-0.33016333333333336, -0.4853466666666666] [-0.3940681724311217, -0.46474020112787506]
6 75.203 [-0.33016333333333336, -0.4853466666666666] [-0.3940681724311217, -0.46474020112787506]
6 80.208 [-0.346702, -0.45592000000000005] [-0.3940681724311217, -0.46474020112787506]
6 85.217 [-0.35927208662028737, -0.4812140085949599] [-0.3940681724311217, -0.46474020112787506]
6 90.223 [-0.3591606580488588, -0.48161400859495995] [-0.3940681724311217, -0.46474020112787506]
6 95.228 [-0.3591606580488588, -0.48161400859495995] [-0.3940681724311217, -0.46474020112787506]
6 100.234 [-0.3591606580488588, -0.48161400859495995] [-0.3940681724311217, -0.46474020112787506]
6 105.241 [-0.3593455757927515, -0.4794560075205899] [-0.3940681724311217, -0.46474020112787506]
6 110.245 [-0.3604014606342012, -0.47569080601647196] [-0.3940681724311217, -0.46474020112787506]
6 115.25 [-0.3610854606342012, -0.475794806016472] [-0.3940681724311217, -0.46474020112787506]
6 120.257 [-0.36108246063420124, -0.47577880601647193] [-0.3940681724311217, -0.46474020112787506]
6 125.263 [-0.3624564606342012, -0.47599080601647187] [-0.3940681724311217, -0.46474020112787506]
6 130.269 [-0.3624564606342012, -0.47599080601647187] [-0.3940681724311217, -0.46474020112787506]
