ID TIME pos
6 0.098 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 5.111 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 10.117 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 15.122 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 20.128 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 25.133 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 30.139 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 35.148 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 40.154 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 45.16 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 50.167 [0, 0] [-0.06394182225691399, 0.298642391502719]
6 55.174 [-0.21584000000000003, 0.64357] [-0.06394182225691399, 0.298642391502719]
6 60.179 [-0.21584000000000003, 0.64357] [-0.06394182225691399, 0.298642391502719]
6 65.185 [-0.19215499999999996, 0.6379349999999999] [-0.06394182225691399, 0.298642391502719]
6 70.195 [-0.18279, 0.6432933333333333] [-0.06394182225691399, 0.298642391502719]
6 75.2 [-0.18216, 0.6500666666666666] [-0.06394182225691399, 0.298642391502719]
6 80.207 [-0.18094250000000003, 0.64986] [-0.06394182225691399, 0.298642391502719]
6 85.212 [-0.18099874999999999, 0.6499837500000001] [-0.06394182225691399, 0.298642391502719]
6 90.221 [-0.17845899999999998, 0.6507989999999999] [-0.06394182225691399, 0.298642391502719]
6 95.227 [-0.17714636363636363, 0.6509254545454545] [-0.06394182225691399, 0.298642391502719]
6 100.232 [-0.1771972727272727, 0.6479527272727272] [-0.06394182225691399, 0.298642391502719]
6 105.242 [-0.17720818181818176, 0.6478145454545454] [-0.06394182225691399, 0.298642391502719]
6 110.34 [-0.17708636363636363, 0.6468945454545454] [-0.06394182225691399, 0.298642391502719]
6 115.354 [-0.17681499999999994, 0.6459491666666667] [-0.06394182225691399, 0.298642391502719]
6 120.358 [-0.1768008333333333, 0.6458208333333333] [-0.06394182225691399, 0.298642391502719]
6 125.362 [-0.17670833333333333, 0.6456333333333333] [-0.06394182225691399, 0.298642391502719]
6 130.369 [-0.1755083333333333, 0.6417274999999999] [-0.06394182225691399, 0.298642391502719]
6 135.373 [-0.17545583333333328, 0.6415283333333333] [-0.06394182225691399, 0.298642391502719]
6 140.38 [-0.17549416666666665, 0.6413099999999999] [-0.06394182225691399, 0.298642391502719]
6 145.387 [-0.1755075, 0.6408566666666666] [-0.06394182225691399, 0.298642391502719]
6 150.394 [-0.17132, 0.6400175000000001] [-0.06394182225691399, 0.298642391502719]
6 155.399 [-0.17131, 0.6396241666666665] [-0.06394182225691399, 0.298642391502719]
6 160.406 [-0.1713025, 0.6395875] [-0.06394182225691399, 0.298642391502719]
6 165.412 [-0.17021166666666665, 0.6362258333333333] [-0.06394182225691399, 0.298642391502719]
6 170.419 [-0.17021083333333334, 0.6362233333333333] [-0.06394182225691399, 0.298642391502719]
6 175.429 [-0.17029384615384616, 0.63645] [-0.06394182225691399, 0.298642391502719]
6 180.434 [-0.1701476923076923, 0.6361853846153848] [-0.06394182225691399, 0.298642391502719]
6 185.441 [-0.17009000000000002, 0.6365915384615385] [-0.06394182225691399, 0.298642391502719]
6 190.549 [-0.1694915384615385, 0.6365192307692309] [-0.06394182225691399, 0.298642391502719]
6 195.55 [-0.1693492307692308, 0.636273076923077] [-0.06394182225691399, 0.298642391502719]
6 200.557 [-0.16912461538461546, 0.6360653846153846] [-0.06394182225691399, 0.298642391502719]
6 205.565 [-0.16906384615384612, 0.6359792307692308] [-0.06394182225691399, 0.298642391502719]
6 210.57 [-0.16898076923076927, 0.6359738461538461] [-0.06394182225691399, 0.298642391502719]
6 215.578 [-0.16898000000000002, 0.6359730769230769] [-0.06394182225691399, 0.298642391502719]
6 220.586 [-0.1691107692307693, 0.6359615384615384] [-0.06394182225691399, 0.298642391502719]
6 225.59 [-0.16911461538461542, 0.6359607692307692] [-0.06394182225691399, 0.298642391502719]
6 230.596 [-0.1691153846153846, 0.6359230769230769] [-0.06394182225691399, 0.298642391502719]
6 235.604 [-0.16874461538461538, 0.6345700000000001] [-0.06394182225691399, 0.298642391502719]
6 240.61 [-0.16801615384615382, 0.6338138461538461] [-0.06394182225691399, 0.298642391502719]
6 245.615 [-0.16790692307692306, 0.6336584615384615] [-0.06394182225691399, 0.298642391502719]
6 250.62 [-0.16748000000000002, 0.6327953846153846] [-0.06394182225691399, 0.298642391502719]
6 255.627 [-0.14176233730217933, 0.6016872246425132] [-0.06394182225691399, 0.298642391502719]
6 260.634 [-0.1413701944450365, 0.6012093674996558] [-0.06394182225691399, 0.298642391502719]
6 265.64 [-0.1413837658736079, 0.6010586532139416] [-0.06394182225691399, 0.298642391502719]
6 270.649 [-0.1413837658736079, 0.6010579389282273] [-0.06394182225691399, 0.298642391502719]
6 275.655 [-0.1413837658736079, 0.6010579389282273] [-0.06394182225691399, 0.298642391502719]
6 280.662 [-0.14110662301646507, 0.6005450817853701] [-0.06394182225691399, 0.298642391502719]
6 285.667 [-0.1408644801593222, 0.6002365103567987] [-0.06394182225691399, 0.298642391502719]
6 290.675 [-0.14077519444503647, 0.6000600817853702] [-0.06394182225691399, 0.298642391502719]
6 295.68 [-0.14059590873075076, 0.5996165103567986] [-0.06394182225691399, 0.298642391502719]
6 300.689 [-0.14042519444503648, 0.5993636532139416] [-0.06394182225691399, 0.298642391502719]
6 305.692 [-0.14010590873075077, 0.5989422246425129] [-0.06394182225691399, 0.298642391502719]
6 310.699 [-0.14001019444503648, 0.5987743674996558] [-0.06394182225691399, 0.298642391502719]
6 315.707 [-0.14001019444503648, 0.5987743674996558] [-0.06394182225691399, 0.298642391502719]
6 320.712 [-0.14001019444503648, 0.5987743674996558] [-0.06394182225691399, 0.298642391502719]
6 325.719 [-0.14001019444503648, 0.5987743674996558] [-0.06394182225691399, 0.298642391502719]
6 330.724 [-0.13996305158789363, 0.5986807960710844] [-0.06394182225691399, 0.298642391502719]
6 335.731 [-0.13996305158789363, 0.5986807960710844] [-0.06394182225691399, 0.298642391502719]
6 340.737 [-0.13996305158789363, 0.5986807960710844] [-0.06394182225691399, 0.298642391502719]
6 345.743 [-0.13826376587360792, 0.5939400817853702] [-0.06394182225691399, 0.298642391502719]
6 350.749 [-0.13758162301646507, 0.5910093674996558] [-0.06394182225691399, 0.298642391502719]
6 355.755 [-0.1375266230164651, 0.5909136532139414] [-0.06394182225691399, 0.298642391502719]
6 360.764 [-0.13735662301646506, 0.5903872246425129] [-0.06394182225691399, 0.298642391502719]
