ID TIME #RESOURCES
0 30.644 1
0 33.745 2
0 35.046 3
0 36.446 4
0 42.752 5
0 43.553 6
0 44.956 7
0 55.469 8
0 56.37 9
0 57.467 10
0 58.272 11
0 59.271 12
0 65.776 13
0 67.182 14
0 68.282 15
0 68.881 16
0 74.09 17
0 76.491 18
0 77.994 19
0 79.192 20
0 79.393 21
0 80.092 22
0 88.706 23
0 90.809 24
0 95.209 25
0 105.825 26
0 114.332 27
0 116.232 28
0 118.636 29
0 119.138 30
0 123.543 31
0 125.944 32
0 126.147 33
0 131.051 34
0 134.054 35
0 141.963 36
0 141.965 37
0 147.47 38
0 150.272 39
0 151.575 40
0 165.79 41
0 166.693 42
0 166.994 43
0 170.196 44
0 181.504 45
0 184.007 46
0 187.109 47
0 189.115 48
0 191.015 49
0 192.442 50
0 198.123 51
0 203.529 52
0 204.852 53
0 210.242 54
0 214.244 55
0 216.143 56
0 223.851 57
0 226.78 58
0 227.856 59
0 237.066 60
0 238.167 61
0 238.468 62
0 243.876 63
0 247.883 64
0 251.482 65
0 254.301 66
0 256.889 67
0 265.801 68
0 280.334 69
0 286.421 70
0 290.125 71
0 290.825 72
0 291.83 73
0 293.628 74
0 293.927 75
0 296.331 76
0 301.136 77
0 303.959 78
0 306.242 79
0 307.547 80
0 309.145 81
0 309.345 82
0 314.352 83
0 315.855 84
0 316.354 85
0 325.861 86
0 325.862 87
0 328.482 88
0 328.766 89
0 330.168 90
0 337.179 91
0 340.879 92
0 343.885 93
0 344.282 94
0 344.381 95
0 345.484 96
0 356.995 97
0 360.1 98
0 361.0 99
0 367.618 100
0 369.809 101
0 374.815 102
0 378.421 103
0 378.517 104
0 379.019 105
0 381.422 106
0 383.723 107
0 387.73 108
0 398.64 109
0 405.048 110
0 405.449 111
0 413.157 112
0 413.559 113
0 414.06 114
0 414.156 115
0 417.061 116
0 421.566 117
0 421.765 118
0 422.166 119
0 430.375 120
0 433.279 121
0 436.282 122
0 445.291 123
0 446.493 124
0 452.799 125
0 458.403 126
0 459.805 127
0 460.308 128
0 460.807 129
0 470.522 130
0 470.637 131
0 476.726 132
0 481.93 133
0 484.736 134
0 493.041 135
0 494.945 136
0 495.665 137
0 496.947 138
0 498.247 139
0 499.951 140
0 511.161 141
0 514.667 142
0 517.968 143
0 519.671 144
0 521.974 145
0 522.292 146
0 532.184 147
0 532.885 148
0 534.087 149
0 534.986 150
0 536.087 151
0 536.188 152
0 537.29 153
0 538.092 154
0 538.994 155
0 547.018 156
0 555.811 157
0 557.412 158
0 557.514 159
0 557.909 160
0 559.516 161
0 562.813 162
0 564.716 163
0 565.919 164
0 575.829 165
0 576.829 166
0 577.128 167
0 580.433 168
0 582.337 169
0 586.94 170
0 588.04 171
0 591.653 172
0 591.947 173
0 594.848 174
0 599.054 175
