ID TIME pos
11 0.096 [0, 0] [-0.06394182225691399, 0.298642391502719]
11 5.11 [0, 0] [-0.06394182225691399, 0.298642391502719]
11 10.117 [0, 0] [-0.06394182225691399, 0.298642391502719]
11 15.121 [-0.1770400000000001, 0.6950799999999999] [-0.06394182225691399, 0.298642391502719]
11 20.13 [-0.1770400000000001, 0.6950799999999999] [-0.06394182225691399, 0.298642391502719]
11 25.132 [-0.1770400000000001, 0.6950799999999999] [-0.06394182225691399, 0.298642391502719]
11 30.138 [-0.1770400000000001, 0.6950799999999999] [-0.06394182225691399, 0.298642391502719]
11 35.151 [-0.1770400000000001, 0.6950799999999999] [-0.06394182225691399, 0.298642391502719]
11 40.154 [-0.172755, 0.6636899999999999] [-0.06394182225691399, 0.298642391502719]
11 45.159 [-0.172755, 0.6636899999999999] [-0.06394182225691399, 0.298642391502719]
11 50.169 [-0.18711666666666668, 0.6569833333333333] [-0.06394182225691399, 0.298642391502719]
11 55.173 [-0.18711666666666668, 0.6569833333333333] [-0.06394182225691399, 0.298642391502719]
11 60.179 [-0.18711666666666668, 0.6569833333333333] [-0.06394182225691399, 0.298642391502719]
11 65.185 [-0.18711666666666668, 0.6569833333333333] [-0.06394182225691399, 0.298642391502719]
11 70.196 [-0.18711666666666668, 0.6569833333333333] [-0.06394182225691399, 0.298642391502719]
11 75.199 [-0.18208714285714286, 0.6537842857142857] [-0.06394182225691399, 0.298642391502719]
11 80.211 [-0.18198285714285714, 0.6538871428571429] [-0.06394182225691399, 0.298642391502719]
11 85.215 [-0.18198428571428568, 0.6539042857142857] [-0.06394182225691399, 0.298642391502719]
11 90.22 [-0.17765499999999998, 0.653487] [-0.06394182225691399, 0.298642391502719]
11 95.226 [-0.177739, 0.6535949999999999] [-0.06394182225691399, 0.298642391502719]
11 100.231 [-0.177757, 0.651981] [-0.06394182225691399, 0.298642391502719]
11 105.243 [-0.17775999999999997, 0.651949] [-0.06394182225691399, 0.298642391502719]
11 110.338 [-0.177223, 0.650641] [-0.06394182225691399, 0.298642391502719]
11 115.353 [-0.17689999999999997, 0.6493590909090909] [-0.06394182225691399, 0.298642391502719]
11 120.357 [-0.1768881818181818, 0.6492227272727272] [-0.06394182225691399, 0.298642391502719]
11 125.364 [-0.17683727272727273, 0.6491118181818182] [-0.06394182225691399, 0.298642391502719]
11 130.368 [-0.17563272727272727, 0.644890909090909] [-0.06394182225691399, 0.298642391502719]
11 135.375 [-0.17558727272727273, 0.6447236363636365] [-0.06394182225691399, 0.298642391502719]
11 140.378 [-0.17558454545454547, 0.6443181818181818] [-0.06394182225691399, 0.298642391502719]
