ID TIME pos
11 5.324 [-0.2944833697192148, 0.4089485170622933] []
11 15.351 [-0.2944833697192148, 0.4089485170622933] []
11 20.352 [-0.2944833697192148, 0.4089485170622933] []
11 25.368 [-0.2944833697192148, 0.4089485170622933] []
11 30.391 [-0.2944833697192148, 0.4089485170622933] []
11 65.759 [-0.2944833697192148, 0.4089485170622933] [(-31433, 37421, 1676645033, 0, 3, 30000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -31219, 35356)]
11 70.804 [-0.2944833697192148, 0.4089485170622933] [(-29215, 40346, 1676645033, 0, 4, 40000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -28334, 39945)]
11 75.89 [-0.2944833697192148, 0.4089485170622933] [(-29732, 41476, 1676645033, 0, 6, 60000000000000000000, 50000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29307, 41462)]
11 80.984 [-0.2944833697192148, 0.4089485170622933] [(-30286, 41364, 1676645033, 0, 7, 70000000000000000000, 50000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29307, 41462)]
11 86.057 [-0.2944833697192148, 0.4089485170622933] [(-30125, 40570, 1676645033, 0, 8, 80000000000000000000, 60000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29256, 40388)]
11 91.072 [-0.2944833697192148, 0.4089485170622933] [(-30125, 40570, 1676645033, 0, 8, 80000000000000000000, 60000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29256, 40388)]
11 96.127 [-0.2944833697192148, 0.4089485170622933] [(-30430, 41335, 1676645033, 0, 9, 90000000000000000000, 70000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29773, 41398)]
11 101.142 [-0.2944833697192148, 0.4089485170622933] [(-29990, 40645, 1676645091, 1, 10, 100000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29305, 40528)]
11 106.23 [-0.2944833697192148, 0.4089485170622933] [(-29990, 40645, 1676645099, 1, 10, 100000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29305, 40528), (-26188, 30709, 1676645095, 0, 2, 20000000000000000000, 20000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -26188, 30709)]
11 114.773 [-0.2944833697192148, 0.4089485170622933] [(-29990, 40645, 1676645107, 1, 10, 100000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29305, 40528), (-25250, 31890, 1676645095, 0, 5, 51250000000000000000, 40000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -26295, 35832)]
11 155.384 [-0.2944833697192148, 0.4089485170622933] [(-29990, 40645, 1676645145, 1, 10, 100000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29305, 40528), (-28177, 37358, 1676645145, 1, 10, 105000000000000000000, 82500000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -29450, 40761), (-39250, 68269, 1676645145, 0, 1, 12656250000000000000, 12656250000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -39250, 68269)]
11 202.638 [-0.2944833697192148, 0.4089485170622933] [(-29990, 40645, 1676645195, 1, 10, 100000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29305, 40528), (-28177, 37358, 1676645195, 1, 10, 105000000000000000000, 82500000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -29450, 40761), (-36118, 52157, 1676645145, 0, 9, 98281250000000000000, 75468750000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35342, 47289), (1703, 20096, 1676645187, 0, 1, 11250000000000000000, 11250000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 1703, 20096)]
11 232.932 [-0.2944833697192148, 0.4089485170622933] [(-29990, 40645, 1676645223, 1, 10, 100000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, -29305, 40528), (-28177, 37358, 1676645223, 1, 10, 105000000000000000000, 82500000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -29450, 40761), (-36673, 52375, 1676645223, 1, 10, 109687500000000000000, 75468750000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, -35342, 47289), (2112, 20037, 1676645187, 0, 2, 24944196428571429000, 11250000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 1703, 20096)]
