ID TIME pos
6 1.197 [0, 0] [-0.48349351506034294, -0.4509051872567456] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
6 124.76 [-0.36169691884163135, -0.5376754286802379] [-0.48349351506034294, -0.4509051872567456] [[-0.36032, -0.5392699999999999], [-0.36056, -0.5374399999999999], [0, 0], [0, 0], [-0.36053, -0.5392999999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3617999999999999, -0.5372300000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
6 129.766 [-0.35954484701402933, -0.5392016593371777] [-0.48349351506034294, -0.4509051872567456] [[-0.3591, -0.5401400000000001], [-0.36056, -0.5374399999999999], [0, 0], [0, 0], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.35979000000000005, -0.5386599999999999], [0, 0], [0, 0], [0, 0], [0, 0]]
6 134.873 [-0.5013367719592038, -0.5560943311091565] [-0.48349351506034294, -0.4509051872567456] [[-0.3587800000000001, -0.5405199999999999], [-0.35894000000000004, -0.5385899999999999], [0, 0], [0, 0], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.35972000000000004, -0.53871], [0, 0], [0, 0], [0, 0], [-1.21316, -0.6383700000000001]]
6 140.076 [-0.37525329429258436, -0.5362152823995787] [-0.48349351506034294, -0.4509051872567456] [[-0.37453000000000003, -0.5370299999999999], [-0.35894000000000004, -0.5385899999999999], [-0.38101000000000007, -0.53514], [-0.37427999999999995, -0.53697], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.38168, -0.5338799999999999], [0, 0], [0, 0], [0, 0], [-0.38985000000000003, -0.5330600000000001]]
6 145.189 [-0.36977151755898147, -0.5359898981467665] [-0.48349351506034294, -0.4509051872567456] [[-0.3671500000000001, -0.5375700000000001], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36995, -0.53589], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.38067000000000006, -0.53897], [0, 0], [-0.36902999999999997, -0.5353300000000001], [0, 0], [0, 0], [0, 0], [-0.37400999999999995, -0.5345200000000001]]
6 150.491 [-0.3690254289067988, -0.5373059899388328] [-0.48349351506034294, -0.4509051872567456] [[-0.36711000000000005, -0.5382], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36827999999999994, -0.53755], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.38067000000000006, -0.53897], [0, 0], [-0.36724, -0.5375099999999999], [0, 0], [0, 0], [0, 0], [-0.3715900000000001, -0.5381499999999999]]
6 155.497 [-0.3688244992367171, -0.5377293562294017] [-0.48349351506034294, -0.4509051872567456] [[-0.36644999999999994, -0.5392399999999999], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.3682000000000001, -0.53769], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.38002, -0.54091], [0, 0], [-0.36714, -0.53765], [0, 0], [0, 0], [0, 0], [-0.3714299999999999, -0.53841]]
6 160.703 [-0.3668464071279655, -0.5375863770657628] [-0.48349351506034294, -0.4509051872567456] [[-0.36471999999999993, -0.53914], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.3671500000000001, -0.53938], [0, 0], [-0.3672899999999999, -0.5379100000000001], [0, 0], [0, 0], [0, 0], [-0.36963999999999997, -0.5383100000000001]]
6 166.014 [-0.36989517032601393, -0.5277540509429267] [-0.48349351506034294, -0.4509051872567456] [[-0.37034999999999996, -0.5259799999999999], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.37233000000000005, -0.5216099999999999], [0, 0], [-0.36998, -0.52783], [0, 0], [0, 0], [-0.3734200000000001, -0.5173000000000001], [-0.37433000000000005, -0.5206500000000001]]
6 171.217 [-0.3830789840470029, -0.5448907059459176] [-0.48349351506034294, -0.4509051872567456] [[-0.37444999999999995, -0.54213], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.40544, -0.55894], [0, 0], [-0.4091, -0.5594699999999999], [0, 0], [-0.4500200000000001, -0.5829899999999999], [-0.36918000000000006, -0.5297000000000001], [-0.3730899999999999, -0.53902]]
6 176.423 [-0.36853521331121225, -0.5382722086836216] [-0.48349351506034294, -0.4509051872567456] [[-0.37444999999999995, -0.54213], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [0, 0], [-0.3677999999999999, -0.53931], [0, 0], [-0.36918000000000006, -0.53844], [0, 0], [-0.3675900000000001, -0.5386899999999999], [-0.37024999999999997, -0.53959], [-0.3702700000000001, -0.5385200000000001]]
6 181.432 [-0.3674690930754514, -0.5375744532213076] [-0.48349351506034294, -0.4509051872567456] [[-0.37444999999999995, -0.54213], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [0, 0], [-0.3571200000000001, -0.52982], [-0.3675600000000001, -0.53911], [0, 0], [-0.369, -0.5385899999999999], [0, 0], [-0.3678999999999999, -0.5383], [-0.36982000000000004, -0.53989], [-0.36979000000000006, -0.53884]]
6 186.734 [-0.37420742101435833, -0.5412656304180911] [-0.48349351506034294, -0.4509051872567456] [[-0.37372000000000005, -0.54226], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [-0.4259299999999999, -0.5692200000000001], [-0.3571200000000001, -0.52982], [-0.37463, -0.54285], [0, 0], [-0.369, -0.5385899999999999], [0, 0], [-0.37061999999999995, -0.54013], [-0.37725999999999993, -0.5438799999999999], [-0.37687000000000004, -0.54261]]
6 192.144 [-0.37429023597918903, -0.5413643258440918] [-0.48349351506034294, -0.4509051872567456] [[-0.37372000000000005, -0.54226], [-0.35894000000000004, -0.5385899999999999], [-0.3798600000000001, -0.52878], [-0.36817999999999995, -0.53776], [-0.35846, -0.5407599999999999], [0, 0], [-0.4259299999999999, -0.5692200000000001], [-0.3571200000000001, -0.52982], [-0.3748499999999999, -0.54298], [0, 0], [-0.369, -0.5385899999999999], [0, 0], [-0.37084000000000006, -0.5407599999999999], [-0.37772000000000006, -0.5442499999999999], [-0.37687000000000004, -0.54261]]
