ID TIME cluster
8 1660310480.999 (-1629, 63677, 1660280858, 2, 9, 56296296296296296291, 56296296296296296291, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0) 1
8 1660310480.999 (58334, -51973, 1660280869, 2, 9, 53333333333333333328, 53333333333333333328, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0) 1
8 1660310480.999 (-1467, -59451, 1660280885, 2, 9, 53333333333333333328, 53333333333333333328, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 0) 1
8 1660310480.999 (-6206, 62240, 1660281168, 2, 9, 57777777777777777772, 57777777777777777772, 1, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0) 1
8 1660310481.0 (-8601, -54030, 1660281201, 2, 9, 51111111111111111106, 51111111111111111106, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0) 1
8 1660310481.0 (54403, -51060, 1660281383, 2, 9, 53333333333333333329, 53333333333333333329, 1, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0) 1
8 1660310481.0 (464, -55574, 1660281579, 2, 9, 59999999999999999994, 59999999999999999994, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 0) 1
8 1660310481.0 (56890, -47837, 1660281736, 2, 9, 53333333333333333328, 53333333333333333328, 1, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0) 1
8 1660310481.0 (-2283, 63163, 1660282033, 2, 9, 57777777777777777772, 57777777777777777772, 1, '0x27CbdbC500599A5da7a3E5a71A8ae141a7f5cA27', 0) 1
8 1660310481.0 (53393, -48836, 1660282048, 2, 9, 46666666666666666662, 46666666666666666662, 1, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0) 1
8 1660310481.0 (-5183, 59723, 1660282353, 2, 9, 59999999999999999994, 59999999999999999994, 1, '0xc8529dE5603FF9D6FE9A77d43c27D3e7085B4E43', 0) 1
8 1660310481.001 (56730, -52061, 1660282378, 2, 9, 57777777777777777772, 57777777777777777772, 1, '0x27CbdbC500599A5da7a3E5a71A8ae141a7f5cA27', 0) 1
