ID TIME pos
9 5.258 [0.40811379777054757, -0.31350952598956244] []
9 10.277 [0.40811379777054757, -0.31350952598956244] []
9 15.328 [0.40811379777054757, -0.31350952598956244] []
9 20.365 [0.40811379777054757, -0.31350952598956244] []
9 25.378 [0.40811379777054757, -0.31350952598956244] []
9 30.412 [0.40811379777054757, -0.31350952598956244] []
9 35.457 [0.40811379777054757, -0.31350952598956244] []
9 65.953 [0.40811379777054757, -0.31350952598956244] [(44945, -26290, 1676641263, 0, 4, 40000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44945, -26290)]
9 71.016 [0.40811379777054757, -0.31350952598956244] [(44945, -26290, 1676641263, 0, 4, 40000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44945, -26290)]
9 76.087 [0.40811379777054757, -0.31350952598956244] [(44945, -26290, 1676641263, 0, 4, 40000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44945, -26290)]
9 81.136 [0.40811379777054757, -0.31350952598956244] [(44945, -26290, 1676641263, 0, 4, 40000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44945, -26290)]
9 86.14 [0.40811379777054757, -0.31350952598956244] [(44945, -26290, 1676641263, 0, 4, 40000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44945, -26290)]
9 91.167 [0.40811379777054757, -0.31350952598956244] [(44450, -27829, 1676641263, 0, 5, 50000000000000000000, 50000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44450, -27829)]
9 96.17 [0.40811379777054757, -0.31350952598956244] [(44083, -29356, 1676641263, 0, 6, 60000000000000000000, 60000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44083, -29356)]
9 101.378 [0.40811379777054757, -0.31350952598956244] [(44807, -30365, 1676641263, 0, 7, 70000000000000000000, 70000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44807, -30365)]
9 106.408 [0.40811379777054757, -0.31350952598956244] [(44446, -29691, 1676641263, 0, 8, 80000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44446, -29691)]
9 111.492 [0.40811379777054757, -0.31350952598956244] [(44446, -29691, 1676641263, 0, 8, 80000000000000000000, 80000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44446, -29691)]
9 116.542 [0.40811379777054757, -0.31350952598956244] [(44700, -29783, 1676641334, 1, 10, 100000000000000000000, 100000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44700, -29783), (44131, -36065, 1676641332, 0, 2, 20000000000000000000, 20000000000000000000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, 44131, -36065)]
9 126.182 [0.40811379777054757, -0.31350952598956244] [(44700, -29783, 1676641338, 1, 10, 100000000000000000000, 100000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44700, -29783), (37895, -27210, 1676641332, 0, 3, 30000000000000000000, 30000000000000000000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, 37895, -27210)]
9 202.225 [0.40811379777054757, -0.31350952598956244] [(44700, -29783, 1676641416, 1, 10, 100000000000000000000, 100000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44700, -29783), (42628, -32480, 1676641416, 1, 10, 100000000000000000000, 100000000000000000000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, 42628, -32480), (35412, -37711, 1676641388, 0, 7, 70000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 38061, -36169)]
9 207.304 [0.40811379777054757, -0.31350952598956244] [(44700, -29783, 1676641420, 1, 10, 100000000000000000000, 100000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 44700, -29783), (42628, -32480, 1676641420, 1, 10, 100000000000000000000, 100000000000000000000, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, 42628, -32480), (32855, -38969, 1676641388, 0, 8, 80000000000000000000, 50000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 38061, -36169)]
