ID TIME pos
4 5.137 [-0.4474316129337797, -0.2616702833160615] []
4 10.162 [-0.4474316129337797, -0.2616702833160615] []
4 15.248 [-0.4474316129337797, -0.2616702833160615] []
4 20.352 [-0.4474316129337797, -0.2616702833160615] []
4 25.416 [-0.4474316129337797, -0.2616702833160615] []
4 30.503 [-0.4474316129337797, -0.2616702833160615] []
4 35.506 [-0.4474316129337797, -0.2616702833160615] []
4 40.589 [-0.4474316129337797, -0.2616702833160615] [(28729, -44245, 1676604149, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245)]
4 75.299 [-0.4474316129337797, -0.2616702833160615] [(-51154, -9721, 1676604157, 0, 6, 60000000000000000000, 50000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53513, -11315), (28729, -44245, 1676604193, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245)]
4 146.402 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604259, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28336, -44170, 1676604193, 0, 6, 57500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-32751, -36583, 1676604235, 0, 2, 21250000000000000000, 21250000000000000000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -32751, -36583)]
4 190.187 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604307, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28025, -44027, 1676604193, 2, 10, 102500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-37749, -32837, 1676604235, 0, 5, 52500000000000000000, 41250000000000000000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -39257, -31945)]
4 241.222 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604356, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28025, -44027, 1676604193, 2, 10, 102500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-38004, -31394, 1676604356, 1, 10, 103472222222222220000, 69861111111111110000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -39938, -29399), (-41926, -30804, 1676604349, 0, 2, 24761904761904761000, 12956349206349206000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -46319, -29172)]
4 247.848 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604366, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28025, -44027, 1676604193, 2, 10, 102500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-38004, -31394, 1676604366, 1, 10, 103472222222222220000, 69861111111111110000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -39938, -29399), (-44493, -29948, 1676604349, 0, 3, 36011904761904761000, 24206349206349206000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -48097, -28657)]
4 298.752 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604420, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28025, -44027, 1676604193, 2, 10, 102500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-38004, -31394, 1676604420, 1, 10, 103472222222222220000, 69861111111111110000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -39938, -29399), (-46068, -27954, 1676604420, 1, 9, 98978174603174600000, 72966269841269839000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -47509, -27239), (28435, -44035, 1676604376, 0, 2, 10000000000000000000, 5000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-46191, -28547, 1676604410, 0, 3, 28065476190476190000, 28065476190476190000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, -46191, -28547)]
4 314.933 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604426, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28025, -44027, 1676604193, 2, 10, 102500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-38004, -31394, 1676604426, 1, 10, 103472222222222220000, 69861111111111110000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -39938, -29399), (-46068, -27954, 1676604426, 1, 9, 98978174603174600000, 72966269841269839000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -47509, -27239), (28572, -44115, 1676604376, 0, 3, 15902777777777778000, 5000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-44648, -25052, 1676604410, 0, 4, 40466269841269840000, 40466269841269840000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, -44648, -25052)]
4 345.718 [-0.4474316129337797, -0.2616702833160615] [(-52019, -13553, 1676604464, 1, 10, 100000000000000000000, 80000000000000000000, 0, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -53368, -15601), (28025, -44027, 1676604193, 2, 10, 102500000000000000000, 10000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-38004, -31394, 1676604464, 1, 10, 103472222222222220000, 69861111111111110000, 0, '0xd4aEDD30d11907e10B6353e59685BB7Efc14F55D', 1, -39938, -29399), (-46068, -27954, 1676604464, 1, 9, 98978174603174600000, 72966269841269839000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -47509, -27239), (28758, -44547, 1676604376, 0, 9, 80031179138321998000, 5000000000000000000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 28729, -44245), (-44982, -25463, 1676604410, 0, 5, 45466269841269840000, 45466269841269840000, 1, '0xa79160bC038C07678C145f1B5220be15bAdB13d7', 1, -44982, -25463)]
