ID TIME pos
5 101.458 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 106.466 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 111.473 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 116.481 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 121.489 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 126.496 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 131.504 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 136.512 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 141.52 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 146.527 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 151.534 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 156.542 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 161.549 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 166.557 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 171.564 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 176.572 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 181.58 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.1190199999999999, -0.16277000000000008], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 186.587 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.07179000000000002, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 191.594 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 196.602 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.1001599999999998, -0.12002000000000002], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
