ID TIME pos
4 5.049 [0.28898, 0.3257699999999999] [0.18904350084004962, 0.16931570723919834]
4 35.446 [0.28746878337471615, 0.28706262835202623] [0.18904350084004962, 0.16931570723919834]
4 65.845 [0.2882457833747162, 0.2861896283520262] [0.18904350084004962, 0.16931570723919834]
