ID TIME pos
10 0.096 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 5.108 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 10.119 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 15.211 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 20.223 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 25.232 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 30.238 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 35.243 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 40.248 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 45.255 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 50.264 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 55.275 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 60.275 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 65.281 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 70.292 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 75.297 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 80.305 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 85.312 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 90.317 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 95.322 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 100.326 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 105.332 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 110.337 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 115.345 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 120.35 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 125.359 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 130.366 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 135.372 [0.5272412966560838, 0.39757883805662664] [0.4514688196983951, 0.4391248372732914]
10 140.378 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 145.388 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 150.392 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 155.398 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 160.406 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 165.416 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 170.517 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 175.523 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 180.527 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 185.535 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 190.542 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 195.548 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 200.554 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 205.556 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 210.567 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 215.677 [0.49231629665608373, 0.4636938380566268] [0.4514688196983951, 0.4391248372732914]
10 220.683 [0.5188505186624335, 0.48660353522265065] [0.4514688196983951, 0.4391248372732914]
10 225.689 [0.49665419777072256, 0.5117158920377511] [0.4514688196983951, 0.4391248372732914]
10 230.694 [0.5336405186624336, 0.4887775352226506] [0.4514688196983951, 0.4391248372732914]
10 235.699 [0.49665419777072256, 0.5117158920377511] [0.4514688196983951, 0.4391248372732914]
10 240.704 [0.5515841977707225, 0.4654092253710844] [0.4514688196983951, 0.4391248372732914]
10 245.715 [0.5794445186624336, 0.46581553522265057] [0.4514688196983951, 0.4391248372732914]
10 250.717 [0.5794445186624336, 0.46581553522265057] [0.4514688196983951, 0.4391248372732914]
10 255.724 [0.5794445186624336, 0.46581553522265057] [0.4514688196983951, 0.4391248372732914]
10 260.73 [0.586723227616024, 0.4646825251590361] [0.4514688196983951, 0.4391248372732914]
10 265.737 [0.5876689419017384, 0.46267966801617894] [0.4514688196983951, 0.4391248372732914]
10 270.75 [0.5870403704731669, 0.4648039537304647] [0.4514688196983951, 0.4391248372732914]
10 275.857 [0.5797105186624336, 0.46569553522265056] [0.4514688196983951, 0.4391248372732914]
10 280.954 [0.5845647325902409, 0.47509974179036146] [0.4514688196983951, 0.4391248372732914]
10 285.964 [0.5841191770346854, 0.47652196401258373] [0.4514688196983951, 0.4391248372732914]
10 290.972 [0.5851336214791298, 0.47606196401258366] [0.4514688196983951, 0.4391248372732914]
10 295.974 [0.5851336214791298, 0.47606196401258366] [0.4514688196983951, 0.4391248372732914]
10 300.982 [0.5851336214791298, 0.47606196401258366] [0.4514688196983951, 0.4391248372732914]
10 305.987 [0.5851336214791298, 0.47606196401258366] [0.4514688196983951, 0.4391248372732914]
10 310.994 [0.5851336214791298, 0.47606196401258366] [0.4514688196983951, 0.4391248372732914]
10 316.006 [0.5779925103680186, 0.4841286306792504] [0.4514688196983951, 0.4391248372732914]
10 321.009 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 326.014 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 331.022 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 336.031 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 341.131 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 346.138 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 351.144 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 356.154 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 361.158 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 366.166 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 371.174 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 376.184 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 381.185 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 386.191 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 391.198 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 396.202 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 401.211 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 406.218 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 411.223 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 416.231 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 421.241 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 426.25 [0.5745675133303098, 0.49351681087332183] [0.4514688196983951, 0.4391248372732914]
10 431.251 [0.5715356903011063, 0.5018225160102957] [0.4514688196983951, 0.4391248372732914]
10 436.259 [0.5730211448465607, 0.5028916069193866] [0.4514688196983951, 0.4391248372732914]
10 441.268 [0.5730493266647426, 0.5027688796466593] [0.4514688196983951, 0.4391248372732914]
10 446.272 [0.5730493266647426, 0.5027688796466593] [0.4514688196983951, 0.4391248372732914]
10 451.281 [0.5730493266647426, 0.5027688796466593] [0.4514688196983951, 0.4391248372732914]
10 456.284 [0.5730493266647426, 0.5027688796466593] [0.4514688196983951, 0.4391248372732914]
10 461.29 [0.5730493266647426, 0.5027688796466593] [0.4514688196983951, 0.4391248372732914]
10 466.295 [0.5728947812101971, 0.5042088796466594] [0.4514688196983951, 0.4391248372732914]
10 471.31 [0.5728947812101971, 0.5042088796466594] [0.4514688196983951, 0.4391248372732914]
10 476.41 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 481.42 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 486.429 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 491.527 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 496.532 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 501.538 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 506.55 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 511.555 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 516.563 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 521.566 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 526.574 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 531.582 [0.5703432764086283, 0.507469821239481] [0.4514688196983951, 0.4391248372732914]
10 536.589 [0.5717375062208112, 0.5075085117408835] [0.4514688196983951, 0.4391248372732914]
10 541.599 [0.5717375062208112, 0.5075085117408835] [0.4514688196983951, 0.4391248372732914]
10 546.6 [0.5733594302547821, 0.5046844366240966] [0.4514688196983951, 0.4391248372732914]
10 551.607 [0.5706775062208113, 0.5089311784075503] [0.4514688196983951, 0.4391248372732914]
10 556.613 [0.5740578917932436, 0.5054952058548656] [0.4514688196983951, 0.4391248372732914]
10 561.619 [0.5733617379470899, 0.5070975135471734] [0.4514688196983951, 0.4391248372732914]
10 566.626 [0.5739740456393976, 0.5057975135471733] [0.4514688196983951, 0.4391248372732914]
10 571.64 [0.5733617379470899, 0.5070975135471734] [0.4514688196983951, 0.4391248372732914]
10 576.644 [0.5733617379470899, 0.5070975135471734] [0.4514688196983951, 0.4391248372732914]
10 581.65 [0.5739740456393976, 0.5057975135471733] [0.4514688196983951, 0.4391248372732914]
10 586.655 [0.5739740456393976, 0.5057975135471733] [0.4514688196983951, 0.4391248372732914]
10 591.661 [0.5739740456393976, 0.5057975135471733] [0.4514688196983951, 0.4391248372732914]
10 596.667 [0.5739740456393976, 0.5057975135471733] [0.4514688196983951, 0.4391248372732914]
