ID TIME DIST RECRUIT_DIST SCOUT_DIST red green blue yellow TOTAL VALUE
0 0.518 0.047035567142059774 0.047035567142059774 0 0 0 0 0 0 0
0 0.782 0.14490440292433873 0.14490440292433873 0 0 0 0 0 0 0
0 0.807 0.29389638257110945 0.29389638257110945 0 0 0 0 0 0 0
0 0.899 0.49408732745404504 0.49408732745404504 0 0 0 0 0 0 0
0 0.993 0.7455075943709676 0.7455075943709676 0 0 0 0 0 0 0
0 1.11 1.0481722400724842 1.0481722400724842 0 0 0 0 0 0 0
0 1.187 1.4020899062643415 1.4020899062643415 0 0 0 0 0 0 0
0 1.282 1.8072658815857856 1.8072658815857856 0 0 0 0 0 0 0
0 1.378 2.258942796215305 2.258942796215305 0 0 0 0 0 0 0
0 1.477 2.7540189430493442 2.7540189430493442 0 0 0 0 0 0 0
0 1.579 3.291351883091699 3.291351883091699 0 0 0 0 0 0 0
0 1.684 3.871222747552794 3.871222747552794 0 0 0 0 0 0 0
0 1.78 4.4940321835853405 4.4940321835853405 0 0 0 0 0 0 0
0 1.879 5.137190923562155 5.137190923562155 0 0 0 0 0 0 0
0 1.979 5.798674469810354 5.798674469810354 0 0 0 0 0 0 0
0 2.081 6.478660359713715 6.478660359713715 0 0 0 0 0 0 0
0 2.207 7.162071872774386 7.162071872774386 0 0 0 0 0 0 0
0 2.279 7.852911010911497 7.852911010911497 0 0 0 0 0 0 0
0 2.379 8.550370901156802 8.550370901156802 0 0 0 0 0 0 0
0 2.488 9.254324655501323 9.254324655501323 0 0 0 0 0 0 0
0 2.587 9.965146975372027 9.965146975372027 0 0 0 0 0 0 0
0 2.685 10.684617287226066 10.684617287226066 0 0 0 0 0 0 0
0 2.803 11.416151168306541 11.416151168306541 0 0 0 0 0 0 0
0 2.888 12.155499097490496 12.155499097490496 0 0 0 0 0 0 0
0 2.988 12.907834427673743 12.907834427673743 0 0 0 0 0 0 0
0 3.088 13.674923130742098 13.674923130742098 0 0 0 0 0 0 0
0 3.187 14.45801311073749 14.45801311073749 0 0 0 0 0 0 0
0 3.289 15.255174509971924 15.255174509971924 0 0 0 0 0 0 0
0 3.404 16.064956736538015 16.064956736538015 0 0 0 0 0 0 0
0 3.487 16.889285019646746 16.889285019646746 0 0 0 0 0 0 0
0 3.588 17.72719869537188 17.72719869537188 0 0 0 0 0 0 0
0 3.689 18.580839888845446 18.580839888845446 0 0 0 0 0 0 0
