ID TIME pos
4 0.099 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 5.108 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 10.111 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 15.119 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 20.124 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 25.133 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 30.14 [0, 0] [-0.3627042145495745, -0.3886294839370129]
4 35.146 [-0.3747649999999999, -0.511455] [-0.3627042145495745, -0.3886294839370129]
4 40.152 [-0.3747649999999999, -0.51145] [-0.3627042145495745, -0.3886294839370129]
4 45.161 [-0.3747649999999999, -0.51145] [-0.3627042145495745, -0.3886294839370129]
4 50.167 [-0.3724599999999999, -0.50907] [-0.3627042145495745, -0.3886294839370129]
4 55.173 [-0.3621166666666666, -0.5078666666666667] [-0.3627042145495745, -0.3886294839370129]
4 60.177 [-0.3678137397886153, -0.482321272100239] [-0.3627042145495745, -0.3886294839370129]
4 65.184 [-0.36783373978861533, -0.48151327210023886] [-0.3627042145495745, -0.3886294839370129]
4 70.191 [-0.36794973978861534, -0.48155327210023896] [-0.3627042145495745, -0.3886294839370129]
4 75.198 [-0.36592644982384614, -0.4764393934168658] [-0.3627042145495745, -0.3886294839370129]
4 80.202 [-0.3621535873678846, -0.4769845450626493] [-0.3627042145495745, -0.3886294839370129]
4 85.209 [-0.3619476332158974, -0.4777251511667995] [-0.3627042145495745, -0.3886294839370129]
4 90.215 [-0.3668968698943077, -0.4710806360501195] [-0.3627042145495745, -0.3886294839370129]
4 95.221 [-0.3667978698943076, -0.4694106360501194] [-0.3627042145495745, -0.3886294839370129]
4 100.225 [-0.3668208698943077, -0.4692386360501195] [-0.3627042145495745, -0.3886294839370129]
4 105.234 [-0.3667868698943077, -0.46891863605011946] [-0.3627042145495745, -0.3886294839370129]
4 110.237 [-0.36587260899482515, -0.4644114873182904] [-0.3627042145495745, -0.3886294839370129]
4 115.246 [-0.36586260899482514, -0.4643751236819268] [-0.3627042145495745, -0.3886294839370129]
