ID TIME TPS RAM CPU
0 0.336 3 8.9 31.1
0 0.48 7 8.9 31.1
0 0.529 21 8.9 31.1
0 0.629 10 8.9 31.1
0 0.729 10 8.9 31.1
0 0.846 9 8.9 31.1
0 0.923 13 8.9 31.1
0 1.025 10 8.9 31.1
0 1.124 10 8.9 31.1
0 1.224 10 8.9 31.1
0 1.324 10 8.9 31.1
0 1.486 6 8.9 31.1
0 1.648 6 8.9 31.1
0 1.84 5 8.9 31.1
0 1.845 190 8.9 31.1
0 1.942 10 8.9 31.1
0 2.04 10 8.9 31.1
0 2.139 10 8.9 31.1
0 2.235 10 8.9 31.1
0 2.335 10 8.9 31.1
0 2.435 10 8.9 31.1
0 2.526 11 8.9 31.1
0 2.663 7 8.9 31.1
0 2.858 5 8.9 31.1
0 2.863 207 8.9 31.1
0 2.936 14 8.9 31.1
0 3.025 11 8.9 31.1
0 3.146 8 8.9 31.1
0 3.235 11 8.9 31.1
0 3.335 10 8.9 31.1
0 3.435 10 8.9 31.1
0 3.525 11 8.9 31.1
0 3.636 9 8.9 31.1
0 3.762 8 8.9 31.1
0 3.991 4 8.9 31.1
0 3.996 217 8.9 31.1
0 4.025 34 8.9 31.1
0 4.136 9 8.9 31.1
0 4.236 10 8.9 31.1
0 4.345 9 8.9 31.1
0 4.435 11 8.9 31.1
0 4.525 11 8.9 31.1
0 4.631 9 8.9 31.1
0 4.734 10 8.9 31.1
0 4.845 9 8.9 31.1
0 5.2 3 8.9 31.1
0 5.205 213 8.9 31.1
0 5.316 9 8.9 31.1
0 5.435 8 8.9 31.1
0 5.661 4 8.9 31.1
0 5.669 122 8.9 31.1
0 5.736 15 8.9 31.1
0 5.836 10 8.9 31.1
0 5.945 9 8.9 31.1
0 6.095 7 8.9 31.1
0 6.247 7 8.9 31.1
0 6.252 203 8.9 31.1
0 6.336 12 8.9 31.1
0 6.438 10 8.9 31.1
0 6.528 11 8.9 31.1
0 6.635 9 8.9 31.1
0 6.735 10 8.9 31.1
0 6.835 10 8.9 31.1
0 6.934 10 8.9 31.1
0 7.046 9 8.9 31.1
0 7.307 4 8.9 31.1
0 7.312 208 8.9 31.1
0 7.342 33 8.9 31.1
0 7.435 11 8.9 31.1
0 7.525 11 8.9 31.1
0 7.644 8 8.9 31.1
0 7.735 11 8.9 31.1
0 7.836 10 8.9 31.1
0 7.935 10 8.9 31.1
0 8.026 11 8.9 31.1
0 8.135 9 8.9 31.1
0 8.245 9 8.9 31.1
0 8.491 4 8.9 31.1
0 8.496 209 8.9 31.1
0 8.528 31 8.9 31.1
0 8.635 9 8.9 31.1
0 8.735 10 8.9 31.1
0 8.845 9 8.9 31.1
0 8.935 11 8.9 31.1
0 9.035 10 8.9 31.1
0 9.136 10 8.9 31.1
0 9.235 10 8.9 31.1
0 9.335 10 8.9 31.1
0 9.444 9 8.9 31.1
0 9.7 4 8.9 31.1
0 9.705 205 8.9 31.1
0 9.73 40 8.9 31.1
0 9.833 10 8.9 31.1
0 9.945 9 8.9 31.1
0 10.025 12 4.3 28.7
0 10.134 9 4.3 28.7
0 10.235 10 4.3 28.7
0 10.335 10 4.3 28.7
0 10.441 9 4.3 28.7
0 10.633 5 4.3 28.7
0 10.731 10 4.3 28.7
0 10.736 209 4.3 28.7
0 10.835 10 4.3 28.7
0 10.933 10 4.3 28.7
0 11.04 9 4.3 28.7
0 11.14 10 4.3 28.7
0 11.234 11 4.3 28.7
0 11.335 10 4.3 28.7
0 11.435 10 4.3 28.7
0 11.525 11 4.3 28.7
0 11.647 8 4.3 28.7
0 11.858 5 4.3 28.7
0 11.863 212 4.3 28.7
0 11.935 14 4.3 28.7
0 12.025 11 4.3 28.7
0 12.125 10 4.3 28.7
0 12.23 10 4.3 28.7
0 12.339 9 4.3 28.7
0 12.436 10 4.3 28.7
0 12.526 11 4.3 28.7
0 12.635 9 4.3 28.7
0 12.745 9 4.3 28.7
0 12.942 5 4.3 28.7
0 12.946 208 4.3 28.7
0 13.036 11 4.3 28.7
0 13.135 10 4.3 28.7
0 13.24 10 4.3 28.7
0 13.342 10 4.3 28.7
0 13.434 11 4.3 28.7
0 13.525 11 4.3 28.7
0 13.628 10 4.3 28.7
0 13.735 9 4.3 28.7
0 13.841 9 4.3 28.7
0 14.097 4 4.3 28.7
0 14.109 80 4.3 28.7
0 14.127 58 4.3 28.7
0 14.235 9 4.3 28.7
0 14.335 10 4.3 28.7
0 14.444 9 4.3 28.7
0 14.525 12 4.3 28.7
0 14.636 9 4.3 28.7
