ID TIME pos
5 5.05 [0.28898, 0.3257699999999999] [0.18904350084004962, 0.16931570723919834]
5 35.446 [0.28556857142857145, 0.30664857142857155] [0.18904350084004962, 0.16931570723919834]
5 65.845 [0.28802636363636364, 0.3037981818181819] [0.18904350084004962, 0.16931570723919834]
