ID TIME pos
7 1.207 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
7 6.215 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
7 11.323 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 16.331 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 21.339 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 26.346 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 31.353 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 36.359 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 41.367 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 46.374 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 51.381 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 56.389 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[-0.46819999999999995, 0.3517299999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3725200000000002, -0.38164]]
7 61.496 [0, 0] [-0.44896776248839465, 0.3290636906783389] [[-0.46819999999999995, 0.3517299999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42743, 0.41206999999999994], [0, 0], [0, 0], [0, 0], [0.3902700000000001, -0.3675600000000001], [0, 0], [0.3725200000000002, -0.38164]]
