ID TIME pos
4 0.099 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 5.106 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 10.112 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 15.12 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 20.125 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 25.132 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 30.139 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 35.145 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 40.151 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 45.158 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 50.167 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 55.172 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 60.177 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 65.185 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 70.191 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 75.197 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 80.205 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 85.212 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 90.218 [0, 0] [-0.19002951602297016, -0.3950251933572502]
4 95.226 [-0.10265000000000002, -0.4152600000000001] [-0.19002951602297016, -0.3950251933572502]
4 100.231 [-0.1107366666666667, -0.41133333333333333] [-0.19002951602297016, -0.3950251933572502]
4 105.236 [-0.11580400000000006, -0.41123600000000005] [-0.19002951602297016, -0.3950251933572502]
4 110.24 [-0.11982000000000001, -0.4174828571428572] [-0.19002951602297016, -0.3950251933572502]
4 115.247 [-0.12079875000000004, -0.42247375000000004] [-0.19002951602297016, -0.3950251933572502]
4 120.256 [-0.11763333333333335, -0.42308666666666667] [-0.19002951602297016, -0.3950251933572502]
4 125.263 [-0.11759000000000006, -0.42283888888888893] [-0.19002951602297016, -0.3950251933572502]
4 130.268 [-0.11951111111111115, -0.4231677777777778] [-0.19002951602297016, -0.3950251933572502]
4 135.275 [-0.11951111111111115, -0.4231677777777778] [-0.19002951602297016, -0.3950251933572502]
4 140.282 [-0.11968444444444448, -0.4231233333333334] [-0.19002951602297016, -0.3950251933572502]
4 145.288 [-0.11978400000000003, -0.42249] [-0.19002951602297016, -0.3950251933572502]
4 150.294 [-0.11732200000000001, -0.41933600000000004] [-0.19002951602297016, -0.3950251933572502]
4 155.303 [-0.11733200000000003, -0.41935599999999995] [-0.19002951602297016, -0.3950251933572502]
4 160.308 [-0.11743100000000002, -0.41932] [-0.19002951602297016, -0.3950251933572502]
4 165.314 [-0.11803545454545458, -0.41901000000000005] [-0.19002951602297016, -0.3950251933572502]
4 170.321 [-0.11797090909090913, -0.41884090909090915] [-0.19002951602297016, -0.3950251933572502]
4 175.327 [-0.12149818181818185, -0.41924363636363643] [-0.19002951602297016, -0.3950251933572502]
