ID TIME pos
1 0.101 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 5.107 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 10.112 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 15.119 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 20.125 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 25.132 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 30.138 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 35.145 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 40.151 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 45.158 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 50.165 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 55.171 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 60.178 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 65.185 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 70.192 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 75.198 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 80.204 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 85.211 [0, 0] [-0.3627042145495745, -0.3886294839370129]
1 90.218 [-0.3019400000000001, -0.39202000000000004] [-0.3627042145495745, -0.3886294839370129]
1 95.225 [-0.27496999999999994, -0.5359233333333334] [-0.3627042145495745, -0.3886294839370129]
1 100.232 [-0.28290448571636834, -0.47850444741129516] [-0.3627042145495745, -0.3886294839370129]
1 105.238 [-0.2917352734711729, -0.4773680977811102] [-0.3627042145495745, -0.3886294839370129]
1 110.242 [-0.28612670204260143, -0.47293381206682444] [-0.3627042145495745, -0.3886294839370129]
1 115.248 [-0.28608813061403005, -0.47276095492396725] [-0.3627042145495745, -0.3886294839370129]
1 120.253 [-0.28614813061403005, -0.4735766692096816] [-0.3627042145495745, -0.3886294839370129]
1 125.261 [-0.2813406285725646, -0.4664542440425246] [-0.3627042145495745, -0.3886294839370129]
1 130.268 [-0.2801922428581842, -0.4669730570389809] [-0.3627042145495745, -0.3886294839370129]
1 135.274 [-0.28066557619151755, -0.4662422237056476] [-0.3627042145495745, -0.3886294839370129]
1 140.279 [-0.2805897428581842, -0.4662613903723143] [-0.3627042145495745, -0.3886294839370129]
1 145.285 [-0.2810005318690931, -0.4664205141898285] [-0.3627042145495745, -0.3886294839370129]
1 150.292 [-0.2798513010998623, -0.4661097449590593] [-0.3627042145495745, -0.3886294839370129]
1 155.298 [-0.2798320703306315, -0.4668274372667515] [-0.3627042145495745, -0.3886294839370129]
1 160.305 [-0.2798120703306315, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 165.31 [-0.2798113010998623, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 170.318 [-0.2798113010998623, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 175.324 [-0.2798113010998623, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 180.33 [-0.2798113010998623, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 185.336 [-0.2798113010998623, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 190.342 [-0.2798113010998623, -0.4668166680359823] [-0.3627042145495745, -0.3886294839370129]
1 195.348 [-0.27864130109986224, -0.46719589880521323] [-0.3627042145495745, -0.3886294839370129]
1 200.355 [-0.2793966857152469, -0.46821051418982856] [-0.3627042145495745, -0.3886294839370129]
