ID TIME DIST RECRUIT_DIST SCOUT_DIST red green blue yellow TOTAL VALUE
0 0.015 0.047250003993394955 0.047250003993394955 0 0 0 0 0 0 0
0 0.11 0.14688608626328964 0.14688608626328964 0 0 0 0 0 0 0
0 0.209 0.2981068691414435 0.2981068691414435 0 0 0 0 0 0 0
0 0.309 0.5012458184803171 0.5012458184803171 0 0 0 0 0 0 0
0 0.409 0.7565759470085789 0.7565759470085789 0 0 0 0 0 0 0
0 0.523 1.0643202344568619 1.0643202344568619 0 0 0 0 0 0 0
0 0.603 1.4230536584510227 1.4230536584510227 0 0 0 0 0 0 0
0 0.705 1.8307033767339365 1.8307033767339365 0 0 0 0 0 0 0
0 0.803 2.2874717552471244 2.2874717552471244 0 0 0 0 0 0 0
0 0.909 2.7935224726211567 2.7935224726211567 0 0 0 0 0 0 0
0 1.029 3.3455701907647963 3.3455701907647963 0 0 0 0 0 0 0
0 1.105 3.9438763714792757 3.9438763714792757 0 0 0 0 0 0 0
0 1.244 4.588662464431497 4.588662464431497 0 0 0 0 0 0 0
0 1.306 5.266893783776722 5.266893783776722 0 0 0 0 0 0 0
0 1.419 5.977197400264878 5.977197400264878 0 0 0 0 0 0 0
0 1.507 6.722167258630118 6.722167258630118 0 0 0 0 0 0 0
0 1.634 7.479337059861227 7.479337059861227 0 0 0 0 0 0 0
0 1.717 8.246414274530343 8.246414274530343 0 0 0 0 0 0 0
0 1.816 9.023643429752127 9.023643429752127 0 0 0 0 0 0 0
0 1.92 9.811179585272457 9.811179585272457 0 0 0 0 0 0 0
0 2.019 10.60859756041358 10.60859756041358 0 0 0 0 0 0 0
0 2.12 11.418845244551973 11.418845244551973 0 0 0 0 0 0 0
0 2.234 12.245026697340773 12.245026697340773 0 0 0 0 0 0 0
0 2.313 13.086838869346598 13.086838869346598 0 0 0 0 0 0 0
0 2.413 13.948462111368471 13.948462111368471 0 0 0 0 0 0 0
0 2.518 14.829490388625493 14.829490388625493 0 0 0 0 0 0 0
0 2.618 15.726473620603517 15.726473620603517 0 0 0 0 0 0 0
0 2.734 16.641524672416022 16.641524672416022 0 0 0 0 0 0 0
0 2.821 17.574492579153517 17.574492579153517 0 0 0 0 0 0 0
0 2.92 18.530718209867477 18.530718209867477 0 0 0 0 0 0 0
0 3.021 19.511608169739 19.511608169739 0 0 0 0 0 0 0
0 3.12 20.51231240417958 20.51231240417958 0 0 0 0 0 0 0
0 3.222 21.531219657339346 21.531219657339346 0 0 0 0 0 0 0
0 3.399 22.569038398604537 22.569038398604537 0 0 0 0 0 0 0
0 3.418 23.615648794583787 23.615648794583787 0 0 0 0 0 0 0
0 3.521 24.673211766253235 24.673211766253235 0 0 0 0 0 0 0
0 3.62 25.74050269926941 25.74050269926941 0 0 0 0 0 0 0
0 3.722 26.8183731564686 26.8183731564686 0 0 0 0 0 0 0
0 3.824 27.909352636012365 27.909352636012365 0 0 0 0 0 0 0
0 3.933 29.019387199132293 29.019387199132293 0 0 0 0 0 0 0
0 4.021 30.15010860298659 30.15010860298659 0 0 0 0 0 0 0
0 4.111 31.301435524310836 31.301435524310836 0 0 0 0 0 0 0
0 4.225 32.47617096985386 32.47617096985386 0 0 0 0 0 0 0
0 4.325 33.6698118035017 33.6698118035017 0 0 0 0 0 0 0
0 4.422 34.88409837545042 34.88409837545042 0 0 0 0 0 0 0
0 4.529 36.11256797453189 36.11256797453189 0 0 0 0 0 0 0
0 4.621 37.35603676487209 37.35603676487209 0 0 0 0 0 0 0
0 4.727 38.61729806469134 38.61729806469134 0 0 0 0 0 0 0
