ID TIME ETH
11 0.092 21
11 5.225 21
11 10.324 21
11 15.338 21
11 20.385 21
11 25.47 21
11 30.488 21
11 35.603 21
11 40.66 21
11 45.875 21
11 50.937 21
11 56.041 21
11 61.122 21
11 66.225 21
11 71.243 21
11 76.29 21
11 81.378 21
11 86.621 21
11 91.722 21
11 96.746 21
11 101.834 21
11 106.855 21
11 112.018 21
11 117.102 21
11 122.124 21
11 127.187 14.333333333333333334
11 132.429 14.333333333333333334
11 137.454 14.333333333333333334
11 142.509 14.333333333333333334
11 147.595 21
11 152.66 21
11 157.705 21
11 162.718 21
11 167.799 21
11 172.815 21
11 177.9 21
11 183.018 21
11 188.072 21
11 193.177 21
11 198.317 21
11 203.383 21
11 208.413 21
11 213.508 21
11 218.571 21
11 223.593 21
11 228.624 21
11 233.698 21
11 238.812 21
11 243.977 21
11 249.074 21
11 254.203 21
11 259.245 21
11 264.275 21
11 269.314 21
11 274.36 21
11 279.407 21
11 284.538 21
11 289.596 21
11 294.737 21
11 299.803 21
11 304.908 21
11 309.931 21
11 314.992 21
11 320.114 21
11 325.176 21
11 330.293 21
11 335.432 21
11 340.492 21
11 345.616 21
11 350.672 21
11 355.709 21
11 360.723 21
11 365.844 21
11 370.909 21
11 376.023 21
11 381.055 21
11 386.109 21
11 391.164 21
11 396.267 21
11 401.284 21
11 406.373 21
11 411.517 21
11 416.601 21
11 421.685 21
11 426.819 21
11 431.866 21
11 436.88 21
11 441.989 21
11 447.075 21
11 452.205 21
11 457.278 21
11 462.393 21
11 467.499 21
11 472.579 21
11 477.674 21
11 482.689 21
11 487.8 21
11 492.842 21
11 497.91 21
11 502.919 21
11 507.987 21
11 513.059 21
11 518.082 21
11 523.093 21
11 528.11 21
11 533.181 21
11 538.213 21
11 543.269 21
11 548.347 21
11 553.394 21
11 558.443 21
11 563.526 21
11 568.586 21
11 573.614 21
11 578.694 21
11 583.838 21
11 588.913 21
11 594.028 21
11 599.109 21
11 604.222 21
11 609.272 21
11 614.432 21
11 619.533 21
11 624.625 21
11 629.795 21
11 634.826 21
11 639.92 21
11 645.007 21
11 650.083 21
11 655.208 21
11 660.237 21
11 665.47 21
11 670.545 21
11 675.557 21
11 680.677 21
11 685.744 21
11 690.809 21
11 695.938 21
11 700.958 21
11 706.009 21
11 711.175 21
11 716.221 21
11 721.294 21
11 726.427 21
11 731.53 21
11 736.6 21
11 741.726 21
11 746.811 21
11 751.822 21
11 756.863 21
11 761.9 21
11 766.921 21
11 771.975 21
11 777.094 21
11 782.158 21
11 787.243 21
11 792.274 21
11 797.368 21
11 802.473 21
11 807.572 21
11 812.671 21
11 817.785 21
11 822.881 21
11 827.981 21
11 833.056 21
11 838.083 21
11 843.17 21
11 848.279 21
11 853.354 21
11 858.486 21
11 863.542 21
11 868.568 21
11 873.668 14.333333333333333334
11 878.792 14.333333333333333334
11 883.875 14.333333333333333334
11 888.973 14.333333333333333334
11 894.104 14.333333333333333334
11 899.169 14.333333333333333334
11 904.21 14.333333333333333334
11 909.338 14.333333333333333334
11 914.365 14.333333333333333334
11 919.433 14.333333333333333334
11 924.465 14.333333333333333334
11 929.528 14.333333333333333334
11 934.621 14.333333333333333334
11 939.713 14.333333333333333334
11 944.797 14.333333333333333334
11 949.903 14.333333333333333334
11 955.006 14.333333333333333334
11 960.104 14.333333333333333334
11 965.201 14.333333333333333334
11 970.28 14.333333333333333334
11 975.309 14.333333333333333334
11 980.437 14.333333333333333334
11 985.473 21
11 990.56 21
11 995.609 21
11 1000.644 21
11 1005.717 21
11 1010.895 21
11 1015.947 14.333333333333333334
11 1020.986 14.333333333333333334
11 1026.141 14.333333333333333334
11 1031.31 14.333333333333333334
11 1036.357 14.333333333333333334
11 1041.439 14.333333333333333334
