ID TIME pos
3 0.1 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 210.37 [-0.5887560410005117, 0.20053594599883742] [-0.4151936453729273, 0.22974086911812752]
3 215.376 [-0.5851491809290464, 0.20190409271320622] [-0.4151936453729273, 0.22974086911812752]
3 220.383 [-0.5843398952147608, 0.20187552128463476] [-0.4151936453729273, 0.22974086911812752]
3 225.389 [-0.5820491809290465, 0.20161409271320618] [-0.4151936453729273, 0.22974086911812752]
3 230.397 [-0.5820491809290465, 0.20161409271320618] [-0.4151936453729273, 0.22974086911812752]
3 235.405 [-0.5795598952147607, 0.20152194985606336] [-0.4151936453729273, 0.22974086911812752]
3 240.412 [-0.5790534666433321, 0.20150266414177762] [-0.4151936453729273, 0.22974086911812752]
3 245.418 [-0.578862752357618, 0.2014840927132062] [-0.4151936453729273, 0.22974086911812752]
3 250.423 [-0.5788591809290465, 0.2014840927132062] [-0.4151936453729273, 0.22974086911812752]
3 255.431 [-0.5788591809290465, 0.2014840927132062] [-0.4151936453729273, 0.22974086911812752]
3 260.436 [-0.5788591809290465, 0.2014840927132062] [-0.4151936453729273, 0.22974086911812752]
3 265.442 [-0.5788591809290465, 0.2014840927132062] [-0.4151936453729273, 0.22974086911812752]
3 270.449 [-0.5787013237861894, 0.201646235570349] [-0.4151936453729273, 0.22974086911812752]
3 275.455 [-0.5786270380719037, 0.2016769498560633] [-0.4151936453729273, 0.22974086911812752]
3 280.462 [-0.5812319022004434, 0.20431381986565908] [-0.4151936453729273, 0.22974086911812752]
3 285.469 [-0.5814212355337767, 0.20410315319899242] [-0.4151936453729273, 0.22974086911812752]
3 290.476 [-0.5813219022004433, 0.20412981986565906] [-0.4151936453729273, 0.22974086911812752]
3 295.484 [-0.57642856886711, 0.20632848653232577] [-0.4151936453729273, 0.22974086911812752]
3 300.491 [-0.5754912355337767, 0.20670581986565914] [-0.4151936453729273, 0.22974086911812752]
3 305.494 [-0.5754912355337767, 0.20670581986565914] [-0.4151936453729273, 0.22974086911812752]
3 310.503 [-0.5754912355337767, 0.20670581986565914] [-0.4151936453729273, 0.22974086911812752]
3 315.511 [-0.5754912355337767, 0.20670581986565914] [-0.4151936453729273, 0.22974086911812752]
3 320.518 [-0.5752139022004434, 0.20808248653232578] [-0.4151936453729273, 0.22974086911812752]
3 325.525 [-0.5751452355337767, 0.20810581986565913] [-0.4151936453729273, 0.22974086911812752]
3 330.531 [-0.5751439022004434, 0.2081064865323258] [-0.4151936453729273, 0.22974086911812752]
3 335.538 [-0.5751385688671101, 0.20811448653232578] [-0.4151936453729273, 0.22974086911812752]
3 340.545 [-0.5751385688671101, 0.20811448653232578] [-0.4151936453729273, 0.22974086911812752]
3 345.552 [-0.5751385688671101, 0.20811448653232578] [-0.4151936453729273, 0.22974086911812752]
3 350.558 [-0.5751385688671101, 0.20811448653232578] [-0.4151936453729273, 0.22974086911812752]
3 355.565 [-0.57504656886711, 0.2081458198656591] [-0.4151936453729273, 0.22974086911812752]
3 360.572 [-0.57504656886711, 0.2081458198656591] [-0.4151936453729273, 0.22974086911812752]
3 365.579 [-0.57504656886711, 0.2081458198656591] [-0.4151936453729273, 0.22974086911812752]
3 370.585 [-0.5750459022004434, 0.2081464865323258] [-0.4151936453729273, 0.22974086911812752]
3 375.592 [-0.5750459022004434, 0.2081464865323258] [-0.4151936453729273, 0.22974086911812752]
3 380.599 [-0.5750299022004434, 0.20816515319899245] [-0.4151936453729273, 0.22974086911812752]
3 385.606 [-0.5746279022004434, 0.2085338198656591] [-0.4151936453729273, 0.22974086911812752]
3 390.613 [-0.5746279022004434, 0.2085338198656591] [-0.4151936453729273, 0.22974086911812752]
