ID TIME pos
9 5.164 [0.3019989530025341, -0.4101108368971562] []
9 10.213 [0.3019989530025341, -0.4101108368971562] []
9 15.227 [0.3019989530025341, -0.4101108368971562] []
9 20.324 [0.3019989530025341, -0.4101108368971562] []
9 25.424 [0.3019989530025341, -0.4101108368971562] []
9 30.425 [0.3019989530025341, -0.4101108368971562] []
9 35.492 [0.3019989530025341, -0.4101108368971562] [(26355, -36561, 1674829950, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 26355, -36561)]
9 79.751 [0.3019989530025341, -0.4101108368971562] [(24899, -40713, 1674829959, 0, 2, 20000000000000000000, 20000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 24899, -40713)]
9 105.554 [0.3019989530025341, -0.4101108368971562] [(25758, -41773, 1674829959, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 110.624 [0.3019989530025341, -0.4101108368971562] [(25758, -41773, 1674829959, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 115.725 [0.3019989530025341, -0.4101108368971562] [(25758, -41773, 1674829959, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 120.816 [0.3019989530025341, -0.4101108368971562] [(25758, -41773, 1674829959, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 125.835 [0.3019989530025341, -0.4101108368971562] [(25758, -41773, 1674829959, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 130.852 [0.3019989530025341, -0.4101108368971562] [(25758, -41773, 1674829959, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 135.895 [0.3019989530025341, -0.4101108368971562] [(25697, -41264, 1674829959, 0, 9, 90000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 140.902 [0.3019989530025341, -0.4101108368971562] [(25697, -41264, 1674829959, 0, 9, 90000000000000000000, 70000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 25677, -42278)]
9 145.927 [0.3019989530025341, -0.4101108368971562] [(26202, -41084, 1674829959, 0, 11, 110000000000000000000, 80000000000000000000, 1, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 26280, -41897)]
