ID TIME pos
13 1.213 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 121.99 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 126.998 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 132.005 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 137.012 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 142.12 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 147.128 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 152.135 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 157.143 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 162.149 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 167.157 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 172.165 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 177.173 [-0.3544535323565675, 0.9995986313618617] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 182.181 [-0.3544535323565675, 0.9995986313618617] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 187.188 [-0.3544535323565675, 0.9995986313618617] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 192.296 [-0.3544535323565675, 0.9995986313618617] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 197.304 [-0.3544535323565675, 0.9995986313618617] [-0.3781447599733927, 0.43012187328727475] [[-0.45246999999999993, 0.08525999999999989], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 202.312 [-0.3544535323565675, 0.9995986313618617] [-0.3781447599733927, 0.43012187328727475] [[-0.45513000000000003, 0.08227999999999991], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 207.319 [-0.4450005887260946, 0.17872310522697696] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44721999999999995, 0.08847000000000005], [0, 0], [0, 0], [-0.52067, 0.052669999999999995], [-0.4270799999999999, -0.30762]]
13 212.328 [-0.45055454611480533, 0.005364437127729838] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44641, 0.07430000000000003], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 217.335 [-0.4480783184858687, 0.004050170323704762] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.4654400000000001, 0.15695000000000014], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44641, 0.07425000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 222.343 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.4527300000000001, 0.08185999999999982], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 227.35 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.4463999999999999, 0.04447000000000001], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 232.358 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 237.365 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 242.373 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 247.48 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 252.486 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
