ID TIME ETH
7 0.243 21 21.0
7 5.347 21 21.0
7 10.467 21 21.0
7 15.487 21 21.0
7 20.732 21 21.0
7 25.869 21 21.0
7 30.894 21 21.0
7 35.997 21 21.0
7 41.195 21 21.0
7 46.358 21 21.0
7 51.591 16 21.0
7 56.762 16 21.0
7 61.807 16 21.0
7 66.963 16 21.0
7 72.203 16 21.0
7 77.38 16 21.0
7 82.537 16 21.0
7 87.723 16 21.0
7 92.914 16 21.0
7 98.099 16 21.0
7 103.257 16 21.0
7 108.383 16 16.0
7 113.639 16 16.0
7 118.684 16 16.0
7 123.801 16 16.0
7 128.888 16 16.0
7 134.045 16 16.0
7 139.202 16 16.0
7 144.286 12.25 16.0
7 149.415 12.25 16.0
7 154.546 12.25 16.0
7 159.677 12.25 16.0
7 164.757 12.25 16.0
7 169.935 12.25 16.0
7 175.032 12.25 16.0
7 180.148 12.25 16.0
7 185.486 12.25 16.0
7 190.621 12.25 16.0
7 195.813 12.25 16.0
7 200.985 12.25 16.0
7 206.139 12.25 16.0
7 211.2 12.25 16.0
7 216.437 12.25 16.0
7 221.656 12.25 16.0
7 226.853 12.25 16.0
7 232.066 12.25 16.0
7 237.166 8.5 16.0
7 242.319 8.5 16.0
7 247.462 8.5 16.0
7 252.613 8.5 16.0
7 257.735 12.840277777777777777 16.59027777777778
7 262.866 12.840277777777777777 16.59027777777778
7 268.014 12.840277777777777777 16.59027777777778
7 273.123 12.840277777777777777 16.59027777777778
7 278.225 12.840277777777777777 16.59027777777778
7 283.352 12.840277777777777777 16.59027777777778
7 288.483 12.840277777777777777 16.59027777777778
7 293.61 12.840277777777777777 16.59027777777778
7 298.721 12.840277777777777777 16.59027777777778
7 303.866 12.840277777777777777 16.59027777777778
7 308.942 12.840277777777777777 16.59027777777778
7 314.088 12.840277777777777777 16.59027777777778
7 319.26 12.840277777777777777 16.59027777777778
7 324.475 12.840277777777777777 16.59027777777778
7 329.556 8.942708333333333177 16.59027777777778
7 334.671 13.248263888888888732 17.145833333333336
7 339.803 13.248263888888888732 17.145833333333336
7 344.876 13.248263888888888732 17.145833333333336
7 350.043 13.248263888888888732 17.145833333333336
7 355.143 17.145833333333333332 17.145833333333332
7 360.317 17.145833333333333332 17.145833333333332
7 365.445 17.145833333333333332 17.145833333333332
7 370.786 17.145833333333333332 17.145833333333332
7 375.871 17.145833333333333332 17.145833333333332
7 381.134 17.145833333333333332 17.145833333333332
7 386.261 17.145833333333333332 17.145833333333332
7 391.432 17.145833333333333332 17.145833333333332
7 396.594 17.145833333333333332 17.145833333333332
7 401.7 17.145833333333333332 17.145833333333332
7 406.83 17.145833333333333332 17.145833333333332
7 411.911 17.145833333333333332 17.145833333333332
7 417.065 17.145833333333333332 17.145833333333332
7 422.148 17.145833333333333332 17.145833333333332
7 427.328 17.145833333333333332 17.145833333333332
7 432.454 17.145833333333333332 17.145833333333332
7 437.621 17.145833333333333332 17.145833333333332
7 442.92 17.145833333333333332 17.145833333333332
7 448.059 17.145833333333333332 17.145833333333332
7 453.175 17.145833333333333332 17.145833333333332
7 458.279 17.145833333333333332 17.145833333333332
7 463.407 17.145833333333333332 17.145833333333332
7 468.498 17.145833333333333332 17.145833333333332
7 473.628 17.145833333333333332 17.145833333333332
7 478.832 17.736111111111111109 17.73611111111111
7 483.95 17.736111111111111109 17.73611111111111
7 489.07 17.736111111111111109 17.73611111111111
7 494.22 17.736111111111111109 17.73611111111111
7 499.341 17.736111111111111109 17.73611111111111
7 504.465 17.736111111111111109 17.73611111111111
7 509.616 17.736111111111111109 17.73611111111111
7 514.723 17.736111111111111109 17.73611111111111
7 519.936 17.736111111111111109 17.73611111111111
7 525.015 17.736111111111111109 17.73611111111111
7 530.11 17.736111111111111109 17.73611111111111
7 535.25 13.552083333333333109 17.736111111111114
7 540.401 17.736111111111111109 17.73611111111111
7 545.523 17.736111111111111109 17.73611111111111
7 550.661 17.736111111111111109 17.73611111111111
7 555.785 17.736111111111111109 17.73611111111111
7 561.017 13.552083333333333109 17.736111111111114
7 566.14 13.552083333333333109 17.736111111111114
7 571.36 13.552083333333333109 17.736111111111114
7 576.497 13.552083333333333109 17.736111111111114
7 581.678 13.552083333333333109 17.736111111111114
7 586.787 13.552083333333333109 17.736111111111114
7 592.056 13.552083333333333109 17.736111111111114
7 597.243 13.552083333333333109 17.736111111111114
7 602.472 13.552083333333333109 17.736111111111114
7 607.547 13.552083333333333109 17.736111111111114
7 612.621 13.552083333333333109 17.736111111111114
7 617.687 13.552083333333333109 17.736111111111114
7 622.785 13.552083333333333109 17.736111111111114
7 627.88 13.552083333333333109 17.736111111111114
7 632.982 13.552083333333333109 17.736111111111114
7 638.136 13.552083333333333109 17.736111111111114
7 643.282 13.552083333333333109 17.736111111111114
7 648.547 13.552083333333333109 17.736111111111114
7 653.889 13.552083333333333109 17.736111111111114
7 659.267 9.368055555555554109 17.73611111111111
7 664.362 9.368055555555554109 17.73611111111111
7 669.512 9.368055555555554109 17.73611111111111
7 674.607 9.368055555555554109 17.73611111111111
7 679.684 9.368055555555554109 17.73611111111111
7 684.777 9.368055555555554109 17.73611111111111
7 689.888 9.368055555555554109 17.73611111111111
7 695.288 9.368055555555554109 17.73611111111111
7 700.435 9.368055555555554109 17.73611111111111
7 705.554 9.368055555555554109 17.73611111111111
7 710.741 9.368055555555554109 17.73611111111111
7 716.039 9.368055555555554109 17.73611111111111
7 721.163 9.368055555555554109 17.73611111111111
7 726.243 9.368055555555554109 17.73611111111111
7 731.384 9.368055555555554109 17.73611111111111
7 736.515 9.368055555555554109 17.73611111111111
7 741.644 9.368055555555554109 17.73611111111111
7 746.763 9.368055555555554109 17.73611111111111
7 752.036 9.368055555555554109 17.73611111111111
7 757.18 9.368055555555554109 17.73611111111111
7 762.298 9.368055555555554109 17.73611111111111
7 767.488 9.368055555555554109 17.73611111111111
7 772.601 9.368055555555554109 17.73611111111111
7 777.728 9.368055555555554109 17.73611111111111
7 782.818 9.368055555555554109 17.73611111111111
7 787.909 9.368055555555554109 17.73611111111111
7 793.024 9.368055555555554109 17.73611111111111
7 798.233 9.368055555555554109 17.73611111111111
7 803.322 9.368055555555554109 17.73611111111111
7 808.65 9.368055555555554109 17.73611111111111
7 813.768 9.368055555555554109 17.73611111111111
7 818.97 9.368055555555554109 17.73611111111111
7 824.084 9.368055555555554109 17.73611111111111
7 829.265 9.368055555555554109 17.73611111111111
7 834.424 9.368055555555554109 17.73611111111111
7 839.558 9.368055555555554109 17.73611111111111
7 844.676 9.368055555555554109 17.73611111111111
7 849.842 14.001543209876541997 18.185570987654323
7 854.93 14.001543209876541997 18.185570987654323
7 860.063 14.001543209876541997 18.185570987654323
7 865.152 14.001543209876541997 18.185570987654323
7 870.337 14.001543209876541997 18.185570987654323
7 875.504 14.001543209876541997 18.185570987654323
7 880.631 14.001543209876541997 18.185570987654323
7 885.759 14.001543209876541997 18.185570987654323
7 890.92 14.001543209876541997 18.185570987654323
7 896.106 14.001543209876541997 18.185570987654323
7 901.211 14.001543209876541997 18.185570987654323
7 906.321 14.001543209876541997 18.185570987654323
7 911.407 14.001543209876541997 18.185570987654323
7 916.593 14.001543209876541997 18.185570987654323
7 921.708 14.001543209876541997 18.185570987654323
7 926.792 18.498070987654320997 18.49807098765432
7 931.937 18.498070987654320997 18.49807098765432
7 937.007 18.498070987654320997 18.49807098765432
7 942.167 18.498070987654320997 18.49807098765432
7 947.308 18.498070987654320997 18.49807098765432
7 952.426 18.498070987654320997 18.49807098765432
7 957.631 14.123553240740740997 18.49807098765432
7 962.745 14.123553240740740997 18.49807098765432
7 967.841 14.123553240740740997 18.49807098765432
7 972.976 14.123553240740740997 18.49807098765432
7 978.062 14.123553240740740997 18.49807098765432
7 983.205 14.123553240740740997 18.49807098765432
7 988.277 14.123553240740740997 18.49807098765432
7 993.454 14.123553240740740997 18.49807098765432
7 998.611 14.123553240740740997 18.49807098765432
7 1003.733 14.123553240740740997 18.49807098765432
7 1008.847 14.123553240740740997 18.49807098765432
7 1014.098 14.123553240740740997 18.49807098765432
7 1019.268 14.123553240740740997 18.49807098765432
7 1024.615 14.123553240740740997 18.49807098765432
7 1029.747 14.123553240740740997 18.49807098765432
7 1034.93 14.123553240740740997 18.49807098765432
7 1040.091 14.123553240740740997 18.49807098765432
7 1045.284 9.749035493827160997 18.49807098765432
7 1050.582 9.749035493827160997 18.49807098765432
7 1055.677 9.749035493827160997 18.49807098765432
7 1060.813 9.749035493827160997 18.49807098765432
7 1066.067 9.749035493827160997 18.49807098765432
7 1071.175 9.749035493827160997 18.49807098765432
7 1076.259 9.749035493827160997 18.49807098765432
7 1081.359 9.749035493827160997 18.49807098765432
7 1086.471 9.749035493827160997 18.49807098765432
7 1091.599 9.749035493827160997 18.49807098765432
7 1096.757 9.749035493827160997 18.49807098765432
7 1101.936 9.749035493827160997 18.49807098765432
7 1107.132 5.374517746913580997 18.49807098765432
7 1112.342 5.374517746913580997 18.49807098765432
7 1117.483 5.374517746913580997 18.49807098765432
7 1122.681 5.374517746913580997 18.49807098765432
7 1127.802 5.374517746913580997 18.49807098765432
7 1132.97 5.374517746913580997 18.49807098765432
7 1138.368 5.374517746913580997 18.49807098765432
7 1143.472 5.374517746913580997 18.49807098765432
7 1148.669 5.374517746913580997 18.49807098765432
7 1153.966 5.374517746913580997 18.49807098765432
7 1159.138 5.374517746913580997 18.49807098765432
7 1164.231 5.374517746913580997 18.49807098765432
7 1169.395 5.374517746913580997 18.49807098765432
7 1174.515 5.374517746913580997 18.49807098765432
7 1179.583 5.374517746913580997 18.49807098765432
7 1184.756 5.374517746913580997 18.49807098765432
7 1189.832 10.061535493827160997 18.81057098765432
7 1195.05 5.687017746913580997 18.81057098765432
7 1200.163 5.687017746913580997 18.81057098765432
