ID TIME pos
6 0.098 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 5.108 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 10.111 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 15.119 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 20.126 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 25.134 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 30.137 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 35.144 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 40.152 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 45.158 [0, 0] [0.041051104325166905, -0.3505047588855215]
6 50.163 [0.018670000000000186, -0.27577000000000007] [0.041051104325166905, -0.3505047588855215]
6 55.169 [0.018670000000000186, -0.27577000000000007] [0.041051104325166905, -0.3505047588855215]
6 60.171 [0.018670000000000186, -0.27577000000000007] [0.041051104325166905, -0.3505047588855215]
6 65.182 [0.04025666666666675, -0.2924133333333334] [0.041051104325166905, -0.3505047588855215]
6 70.192 [0.04026000000000011, -0.2924133333333334] [0.041051104325166905, -0.3505047588855215]
6 75.195 [0.04026000000000011, -0.2924133333333334] [0.041051104325166905, -0.3505047588855215]
6 80.203 [0.044918000000000104, -0.29588400000000004] [0.041051104325166905, -0.3505047588855215]
6 85.209 [0.0501157142857143, -0.2953385714285715] [0.041051104325166905, -0.3505047588855215]
6 90.213 [0.049072857142857175, -0.29468428571428573] [0.041051104325166905, -0.3505047588855215]
6 95.219 [0.03602467113695064, -0.2745968521847484] [0.041051104325166905, -0.3505047588855215]
6 100.226 [0.03520167113695057, -0.2739068521847484] [0.041051104325166905, -0.3505047588855215]
6 105.233 [0.03382697376086417, -0.276104411077044] [0.041051104325166905, -0.3505047588855215]
6 110.234 [0.03632389261412549, -0.2771898768206236] [0.041051104325166905, -0.3505047588855215]
6 115.242 [0.03632389261412549, -0.27689404348729024] [0.041051104325166905, -0.3505047588855215]
6 120.247 [0.03632389261412549, -0.27689321015395696] [0.041051104325166905, -0.3505047588855215]
6 125.256 [0.03634305928079217, -0.27664237682062365] [0.041051104325166905, -0.3505047588855215]
6 130.263 [0.03634222594745883, -0.27664154348729036] [0.041051104325166905, -0.3505047588855215]
6 135.267 [0.03767051625919276, -0.2773083478344219] [0.041051104325166905, -0.3505047588855215]
6 140.269 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 145.279 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 150.285 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 155.293 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 160.301 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 165.309 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 170.315 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 175.323 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 180.326 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 185.331 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 190.338 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
6 195.346 [0.03741974702842353, -0.27764296321903725] [0.041051104325166905, -0.3505047588855215]
