ID TIME pos
13 0.089 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 5.105 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 10.122 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 15.219 [0, 0] [0.4514688196983951, 0.4391248372732914]
13 20.229 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 25.33 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 30.337 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 35.343 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 40.353 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 45.361 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 50.369 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 55.375 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 60.384 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 65.39 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 70.391 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 75.405 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 80.412 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 85.499 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 90.516 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 95.522 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 100.522 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 105.536 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 110.537 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 115.544 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 120.659 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 125.756 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 130.762 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 135.77 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 140.779 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
13 145.886 [0.5209551230497309, 0.2663423509844851] [0.4514688196983951, 0.4391248372732914]
