ID TIME VOTE
8 134.018 2176724
8 229.976 2672634
8 234.013 2612500
8 239.064 2609223
8 272.024 2616525
8 376.995 2760968
8 422.011 2651006
8 487.08 2497089
8 578.074 2613636
8 584.059 2649363
8 798.115 2705503
8 805.024 2730823
8 876.03 2743101
8 883.057 2721642
8 952.088 Value Error
8 990.085 2570011
8 1010.095 2572982
8 1021.069 2548076
8 1252.101 2626803
8 1332.149 2571240
8 1376.138 2539112
8 1443.178 2565392
8 1517.142 2486579
8 1522.145 2485670
8 1570.18 2525046
8 1614.114 2526258
8 1681.151 2520000
8 1742.23 2515100
8 1776.165 2489319
8 1840.219 2433417
8 1845.129 2438291
8 1910.199 2402260
8 1924.178 2396054
8 1939.127 2393793
8 1995.152 2419402
8 2028.198 2393248
8 2048.259 2386590
8 2087.211 2389293
8 2229.245 2459984
8 2234.195 2456806
8 2253.2 2452022
8 2268.211 2462628
8 2411.201 2425970
8 2415.243 2420682
8 2453.308 2426803
8 2460.241 2421615
8 2498.246 2425696
8 2528.299 2466466
8 2630.258 2461624
8 2635.275 2458925
8 2652.21 2455307
8 2696.212 2460920
8 2892.29 2480753
8 2916.303 2472847
8 2928.283 2470458
8 2992.269 2483346
8 2998.335 2482886
8 3189.363 2532169
8 3194.315 2533492
8 3226.321 2538573
8 3277.395 2547355
8 3591.375 2515913
8 3632.391 2523009
8 3647.353 2534180
8 3687.353 2546509
8 3867.392 2558298
8 3891.345 2559031
8 3936.385 2545711
8 3941.39 2543442
8 3995.47 2528188
8 4017.453 2525127
8 4027.477 2527241
8 4078.529 2528001
8 4200.371 2500696
8 4205.364 2508693
8 4268.48 2503083
8 4273.455 2504446
8 4437.504 2496043
8 4513.449 2501296
8 4519.551 2497411
8 4585.482 2478332
8 4624.485 2481055
8 4734.516 2475620
8 4740.442 2472872
8 4829.56 2473384
8 4883.471 2467089
8 4932.622 2472768
8 4984.625 2471600
8 5127.548 2477810
8 5183.554 2511248
8 5192.487 2518248
8 5245.602 2549161
8 5372.657 2578981
8 5378.552 2577302
8 5406.546 2581463
8 5411.599 2579792
8 5416.509 2581843
8 5542.704 2586061
8 5548.7 2582798
8 5652.591 2566897
8 5740.554 2572024
8 5802.568 2581083
8 5864.562 2599920
8 5869.613 2599581
8 6120.575 2613462
8 6123.677 2611212
8 6165.689 2612685
8 6205.659 2609949
8 6241.69 2605567
8 6289.64 2602784
8 6387.657 2596295
8 6401.66 2597719
8 6406.617 2599044
8 6589.706 2592609
8 6657.708 2589261
8 6728.68 2584422
8 6768.694 2572362
8 6831.735 2586847
8 6868.77 2592226
8 6874.755 2592799
8 7002.709 2602733
8 7006.726 2603947
8 7090.756 2612698
8 7161.728 2628083
8 7166.707 2626957
8 7199.717 2614671
8 7250.796 2620754
8 7326.741 2632830
8 7363.751 2629953
8 7396.819 2627734
8 7413.799 2628286
8 7470.782 2627768
8 7558.791 2627277
8 7605.805 2626894
8 7611.724 2627388
8 7724.856 Value Error
8 7783.824 2620477
8 7788.769 2625522
8 7828.851 2631320
8 7838.786 2632274
8 7898.856 2632229
8 7904.751 2630455
8 8013.885 2631520
8 8018.887 2631404
8 8051.88 2627149
8 8111.845 2624799
8 8122.905 2625154
8 8167.844 2623776
8 8216.906 2621740
8 8247.891 2611019
8 8253.916 2611640
8 8270.911 2606596
8 8309.898 2595927
8 8380.889 2615433
8 8471.853 2619613
8 8476.834 2617967
8 8517.835 2618071
8 8547.929 2625441
8 8636.842 2625325
8 8642.946 2623169
8 8713.927 2617802
8 8723.963 2618676
8 8863.891 2619015
8 8867.999 2617442
8 8939.083 2614004
8 8972.899 2613696
8 8977.967 2612947
8 9042.048 2625269
8 9139.954 2620954
8 9145.958 2623305
8 9241.153 2609348
8 9305.01 2603447
8 9365.941 2610432
8 9458.088 2614478
8 9479.082 2614222
8 9483.051 2615867
8 9562.087 2598558
8 9586.07 2607213
8 9661.034 2594566
8 9678.022 2593347
8 9712.95 2599539
8 9716.08 2598594
8 9819.0 2591671
8 9848.972 2600370
8 9865.097 2598103
8 9974.104 2610554
