ID TIME ETH
1 0.134 21 21.0
1 5.196 21 21.0
1 10.25 21 21.0
1 15.303 21 21.0
1 20.408 21 21.0
1 25.535 21 21.0
1 30.622 21 21.0
1 35.72 21 21.0
1 40.855 21 21.0
1 45.981 21 21.0
1 51.072 21 21.0
1 56.191 21 21.0
1 61.265 21 21.0
1 66.361 21 21.0
1 71.433 21 21.0
1 76.522 21 21.0
1 81.609 21 21.0
1 86.821 21 21.0
1 92.052 21 21.0
1 97.205 21 21.0
1 102.441 21 21.0
1 107.582 21 21.0
1 112.722 16 21.0
1 117.961 16 21.0
1 123.465 16 21.0
1 128.55 16 21.0
1 133.723 16 21.0
1 138.821 16 21.0
1 143.914 16 21.0
1 149.01 16 21.0
1 154.098 16 21.0
1 159.376 16 21.0
1 164.507 16 21.0
1 169.602 16 21.0
1 174.686 16 21.0
1 179.879 16 21.0
1 184.969 21.555555555555555555 21.555555555555557
1 190.357 21.555555555555555555 21.555555555555557
1 195.432 21.555555555555555555 21.555555555555557
1 200.861 21.555555555555555555 21.555555555555557
1 205.997 21.555555555555555555 21.555555555555557
1 211.656 21.555555555555555555 21.555555555555557
1 216.761 21.555555555555555555 21.555555555555557
1 221.893 21.555555555555555555 21.555555555555557
1 226.987 21.555555555555555555 21.555555555555557
1 232.143 16.416666666666666555 21.555555555555557
1 237.227 16.416666666666666555 21.555555555555557
1 242.354 16.416666666666666555 21.555555555555557
1 247.492 16.416666666666666555 21.555555555555557
1 252.605 16.416666666666666555 21.555555555555557
1 257.798 16.416666666666666555 21.555555555555557
1 262.974 16.416666666666666555 21.555555555555557
1 268.158 22.126543209876543221 22.126543209876544
1 273.307 22.126543209876543221 22.126543209876544
1 278.453 22.126543209876543221 22.126543209876544
1 283.599 22.126543209876543221 22.126543209876544
1 288.725 22.126543209876543221 22.126543209876544
1 293.892 22.126543209876543221 22.126543209876544
1 299.256 22.126543209876543221 22.126543209876544
1 304.34 22.126543209876543221 22.126543209876544
1 309.686 22.126543209876543221 22.126543209876544
1 314.8 22.126543209876543221 22.126543209876544
1 320.033 16.844907407407407221 22.126543209876544
1 325.123 16.844907407407407221 22.126543209876544
1 330.418 16.844907407407407221 22.126543209876544
1 335.552 16.844907407407407221 22.126543209876544
1 340.754 16.844907407407407221 22.126543209876544
1 345.91 16.844907407407407221 22.126543209876544
1 351.096 16.844907407407407221 22.126543209876544
1 356.234 16.844907407407407221 22.126543209876544
1 361.36 16.844907407407407221 22.126543209876544
1 366.541 16.844907407407407221 22.126543209876544
1 371.849 16.844907407407407221 22.126543209876544
1 376.923 16.844907407407407221 22.126543209876544
1 382.132 16.844907407407407221 22.126543209876544
1 387.261 16.844907407407407221 22.126543209876544
1 392.388 16.844907407407407221 22.126543209876544
1 397.558 16.844907407407407221 22.126543209876544
1 402.696 16.844907407407407221 22.126543209876544
1 407.916 22.682098765432098776 22.682098765432098
1 413.131 17.400462962962962776 22.682098765432098
1 418.317 17.400462962962962776 22.682098765432098
1 423.459 17.400462962962962776 22.682098765432098
1 428.571 17.400462962962962776 22.682098765432098
1 433.703 17.400462962962962776 22.682098765432098
1 438.846 17.400462962962962776 22.682098765432098
1 444.043 17.400462962962962776 22.682098765432098
1 449.186 17.400462962962962776 22.682098765432098
1 454.306 17.400462962962962776 22.682098765432098
1 459.413 17.400462962962962776 22.682098765432098
1 464.484 17.400462962962962776 22.682098765432098
1 469.768 11.979938271604938276 22.682098765432098
1 474.926 11.979938271604938276 22.682098765432098
1 480.038 11.979938271604938276 22.682098765432098
1 485.132 11.979938271604938276 22.682098765432098
1 490.187 17.832561728395061587 23.114197530864196
1 495.235 17.832561728395061587 23.114197530864196
1 500.375 17.832561728395061587 23.114197530864196
