ID TIME pos
6 5.051 [0.28898, 0.3257699999999999] [0.18904350084004962, 0.16931570723919834]
6 35.446 [0.27550446356088937, 0.29354597429230295] [0.18904350084004962, 0.16931570723919834]
6 65.845 [0.279219027214025, 0.292522424449569] [0.18904350084004962, 0.16931570723919834]
