ID TIME BLOCK BALANCE #RESOURCES
4 1065.037 267 27.00 8
4 1067.56 268 27.00 8
4 1068.581 269 27.00 8
4 1071.122 270 27.00 8
4 1073.664 271 27.00 8
4 1075.695 272 27.00 8
4 1077.239 273 27.00 8
4 1079.259 274 27.00 8
4 1082.787 275 27.00 9
4 1085.312 276 27.00 9
4 1086.835 277 27.00 9
4 1088.363 278 27.00 9
4 1091.389 279 27.00 9
4 1092.432 280 27.00 9
4 1093.953 281 27.00 9
4 1097.016 282 27.00 9
4 1099.081 283 27.00 9
4 1101.106 284 27.00 9
4 1103.129 285 27.00 9
4 1104.652 286 27.00 9
4 1107.187 287 27.00 9
4 1108.208 288 27.00 9
4 1110.24 289 27.00 9
4 1113.776 290 27.00 9
4 1115.298 291 27.00 9
4 1116.819 292 27.00 9
4 1118.843 293 27.00 9
4 1120.367 294 27.00 9
4 1122.395 295 27.00 9
4 1124.944 296 27.00 9
4 1126.973 297 27.00 9
4 1128.998 298 27.00 9
4 1130.02 299 27.00 9
4 1132.583 300 27.00 9
4 1134.113 301 27.00 9
4 1136.653 302 27.00 9
4 1138.217 303 27.00 9
4 1140.271 304 27.00 9
4 1142.298 305 27.00 9
4 1144.322 306 27.00 9
4 1146.346 307 27.00 9
4 1148.89 308 27.00 9
4 1150.419 309 27.00 9
4 1151.944 310 27.00 9
4 1154.474 311 27.00 10
4 1155.997 312 27.00 10
4 1158.026 313 27.00 10
4 1161.057 314 27.00 10
4 1163.088 315 27.00 10
4 1165.111 316 27.00 10
4 1167.642 317 27.00 10
4 1204.797 318 27.00 10
4 1205.324 319 27.00 11
4 1206.345 320 27.00 11
4 1208.375 321 27.00 11
4 1210.408 322 27.00 11
4 1211.945 323 27.00 11
