ID TIME pos
4 0.099 [0, 0] [0.3019231251934492, 0.32744640200502934]
4 5.105 [0, 0] [0.3019231251934492, 0.32744640200502934]
4 10.114 [0, 0] [0.3019231251934492, 0.32744640200502934]
4 15.12 [0, 0] [0.3019231251934492, 0.32744640200502934]
4 20.127 [0, 0] [0.3019231251934492, 0.32744640200502934]
4 25.133 [0.4131100000000001, 0.3366600000000002] [0.3019231251934492, 0.32744640200502934]
4 30.141 [0.4131100000000001, 0.3366600000000002] [0.3019231251934492, 0.32744640200502934]
4 35.147 [0.34116000000000013, 0.4716] [0.3019231251934492, 0.32744640200502934]
4 40.152 [0.34116000000000013, 0.4716] [0.3019231251934492, 0.32744640200502934]
4 45.159 [0.27759, 0.5458599999999999] [0.3019231251934492, 0.32744640200502934]
4 50.165 [0.3016253241532288, 0.43760409455494315] [0.3019231251934492, 0.32744640200502934]
4 55.173 [0.29752699081989537, 0.4210407612216098] [0.3019231251934492, 0.32744640200502934]
4 60.18 [0.29844699081989545, 0.4147724278882765] [0.3019231251934492, 0.32744640200502934]
4 65.185 [0.29845032415322875, 0.4147624278882766] [0.3019231251934492, 0.32744640200502934]
4 70.192 [0.29845032415322875, 0.4147624278882766] [0.3019231251934492, 0.32744640200502934]
4 75.2 [0.2936931349884818, 0.4185892239042371] [0.3019231251934492, 0.32744640200502934]
4 80.205 [0.29586524311492157, 0.4133005709162074] [0.3019231251934492, 0.32744640200502934]
4 85.211 [0.30000649311492156, 0.4079380709162074] [0.3019231251934492, 0.32744640200502934]
4 90.218 [0.30002649311492163, 0.4078180709162074] [0.3019231251934492, 0.32744640200502934]
4 95.226 [0.30124688276881917, 0.4083338408144066] [0.3019231251934492, 0.32744640200502934]
4 100.233 [0.3045221944919373, 0.399979456732966] [0.3019231251934492, 0.32744640200502934]
4 105.238 [0.3048961944919372, 0.39847445673296594] [0.3019231251934492, 0.32744640200502934]
4 110.239 [0.3056501620766144, 0.3981103806108049] [0.3019231251934492, 0.32744640200502934]
4 115.247 [0.302671828743281, 0.38638954727747166] [0.3019231251934492, 0.32744640200502934]
4 120.25 [0.3028432265322595, 0.3852326590253584] [0.3019231251934492, 0.32744640200502934]
4 125.26 [0.302761688070721, 0.3845795821022815] [0.3019231251934492, 0.32744640200502934]
4 130.269 [0.3027347649937979, 0.38437112056381995] [0.3019231251934492, 0.32744640200502934]
4 135.276 [0.30290938037841336, 0.38297881287151225] [0.3019231251934492, 0.32744640200502934]
4 140.283 [0.30290168807072104, 0.38315342825612764] [0.3019231251934492, 0.32744640200502934]
4 145.284 [0.3028432265322595, 0.3835465051792045] [0.3019231251934492, 0.32744640200502934]
4 150.295 [0.3026494246370981, 0.3846810405235471] [0.3019231251934492, 0.32744640200502934]
4 155.301 [0.30342942463709804, 0.3814710405235471] [0.3019231251934492, 0.32744640200502934]
4 160.306 [0.30380871035138374, 0.38051818338068993] [0.3019231251934492, 0.32744640200502934]
4 165.315 [0.30384371035138386, 0.37975532623783276] [0.3019231251934492, 0.32744640200502934]
4 170.319 [0.30375299606566947, 0.3788424690949756] [0.3019231251934492, 0.32744640200502934]
4 175.326 [0.3037579960656695, 0.3787967548092613] [0.3019231251934492, 0.32744640200502934]
4 180.333 [0.30376371035138383, 0.3786596119521185] [0.3019231251934492, 0.32744640200502934]
4 185.339 [0.30372299606566955, 0.3780424690949756] [0.3019231251934492, 0.32744640200502934]
4 190.346 [0.30372299606566955, 0.3780424690949756] [0.3019231251934492, 0.32744640200502934]
4 195.351 [0.3040208532085266, 0.3766617548092613] [0.3019231251934492, 0.32744640200502934]
4 200.358 [0.3040208532085266, 0.3766617548092613] [0.3019231251934492, 0.32744640200502934]
4 205.364 [0.3040208532085266, 0.3766617548092613] [0.3019231251934492, 0.32744640200502934]
4 210.369 [0.30417442463709804, 0.37652246909497566] [0.3019231251934492, 0.32744640200502934]
4 215.376 [0.30417442463709804, 0.37652246909497566] [0.3019231251934492, 0.32744640200502934]
4 220.383 [0.3041758532085267, 0.37651532623783274] [0.3019231251934492, 0.32744640200502934]
4 225.391 [0.3039887103513838, 0.37585175480926136] [0.3019231251934492, 0.32744640200502934]
4 230.395 [0.30395156749424096, 0.3754788976664042] [0.3019231251934492, 0.32744640200502934]
4 235.403 [0.3030472817799552, 0.37387675480926136] [0.3019231251934492, 0.32744640200502934]
4 240.409 [0.30304228177995524, 0.37386675480926135] [0.3019231251934492, 0.32744640200502934]
4 245.416 [0.30304228177995524, 0.37386675480926135] [0.3019231251934492, 0.32744640200502934]
4 250.422 [0.30299013892281235, 0.37340461195211855] [0.3019231251934492, 0.32744640200502934]
4 255.43 [0.3028765674942409, 0.3737860405235471] [0.3019231251934492, 0.32744640200502934]
4 260.437 [0.3033608532085266, 0.3720288976664042] [0.3019231251934492, 0.32744640200502934]
4 265.443 [0.3063822817799552, 0.37096604052354704] [0.3019231251934492, 0.32744640200502934]
4 270.449 [0.30642156749424093, 0.3709560405235471] [0.3019231251934492, 0.32744640200502934]
4 275.456 [0.30642156749424093, 0.3709560405235471] [0.3019231251934492, 0.32744640200502934]
4 280.462 [0.30642156749424093, 0.3709560405235471] [0.3019231251934492, 0.32744640200502934]
4 285.469 [0.30642156749424093, 0.3709560405235471] [0.3019231251934492, 0.32744640200502934]
4 290.475 [0.30642156749424093, 0.3709560405235471] [0.3019231251934492, 0.32744640200502934]
4 295.482 [0.30611442463709804, 0.3692131833806899] [0.3019231251934492, 0.32744640200502934]
4 300.492 [0.30611442463709804, 0.3692131833806899] [0.3019231251934492, 0.32744640200502934]
4 305.499 [0.3059808532085267, 0.36918746909497574] [0.3019231251934492, 0.32744640200502934]
4 310.502 [0.30598228177995523, 0.36918746909497574] [0.3019231251934492, 0.32744640200502934]
4 315.508 [0.30598228177995523, 0.36918746909497574] [0.3019231251934492, 0.32744640200502934]
4 320.515 [0.3062465674942409, 0.36883175480926145] [0.3019231251934492, 0.32744640200502934]
4 325.522 [0.3062479960656695, 0.3688288976664043] [0.3019231251934492, 0.32744640200502934]
4 330.529 [0.3062479960656695, 0.3688288976664043] [0.3019231251934492, 0.32744640200502934]
4 335.535 [0.30660013892281235, 0.3688638976664042] [0.3019231251934492, 0.32744640200502934]
4 340.544 [0.30660013892281235, 0.3688638976664042] [0.3019231251934492, 0.32744640200502934]
4 345.548 [0.30660013892281235, 0.3688638976664042] [0.3019231251934492, 0.32744640200502934]
