ID TIME MB
3 0.054 137000
3 10.129 139144
3 20.165 139144
3 30.2 139144
3 40.244 139144
3 50.289 139144
3 60.327 139144
3 70.452 145424
3 80.554 155481
3 90.677 161770
3 100.72 162817
3 110.752 162817
3 120.851 168052
3 130.889 168052
3 140.922 168052
3 151.021 173287
3 161.133 178522
3 171.193 180616
3 181.254 185851
3 191.34 191086
3 201.434 194234
3 211.522 198422
3 221.57 199469
3 231.691 204458
3 241.729 204458
3 251.762 204458
3 261.849 213881
3 271.893 213881
3 281.936 213881
3 291.973 213881
3 302.014 213881
3 312.145 232769
3 322.206 233816
3 332.243 233816
3 342.282 233816
3 352.319 233816
3 362.404 244561
3 372.505 249796
3 382.542 249796
3 392.579 249796
3 402.622 249796
3 412.66 249796
3 422.782 261555
3 432.924 265747
3 443.098 272035
3 453.175 274131
3 463.219 274131
3 473.257 274131
3 483.396 281467
3 493.462 282515
3 503.498 282515
3 513.539 282515
3 523.573 282515
3 533.719 287755
3 543.835 293640
3 554.098 301836
3 564.133 301836
3 574.171 301836
3 584.21 301836
3 594.251 301836
3 604.409 311277
3 614.563 316522
3 624.622 316522
3 634.662 316522
3 644.847 325970
3 654.952 328068
3 664.985 328068
3 675.022 328068
3 685.064 328068
3 695.098 328068
3 705.218 336048
3 715.258 336048
3 725.319 336048
3 735.37 336048
3 745.489 339832
3 755.728 345768
3 765.868 348915
3 775.931 348915
3 785.974 348915
3 796.149 352062
3 806.327 357314
3 816.364 357314
3 826.399 357314
3 836.436 357314
3 846.596 363198
3 856.775 368443
3 866.805 368443
3 876.837 368443
3 886.867 368443
3 896.903 368443
3 907.101 395583
3 917.18 396633
3 927.275 406083
3 937.347 408183
3 947.381 408183
3 957.416 408183
3 967.491 414483
3 977.573 418683
3 987.606 418683
3 997.642 418683
3 1007.675 418683
3 1017.705 418683
3 1027.927 448733
3 1037.98 449784
3 1048.069 450835
3 1058.156 453995
3 1068.312 459250
3 1078.52 467653
3 1088.642 472465
3 1098.785 477720
3 1108.937 484026
3 1119.068 488237
3 1129.137 489288
3 1139.379 499798
3 1149.559 505053
3 1159.711 512405
3 1169.792 514507
3 1179.828 514507
3 1189.861 514507
3 1199.893 514507
3 1210.034 523523
3 1220.145 525625
