ID TIME pos
14 0.093 [0, 0] [-0.2504154552744804, 0.2554483443332354]
14 5.105 [0, 0] [-0.2504154552744804, 0.2554483443332354]
14 10.115 [0, 0] [-0.2504154552744804, 0.2554483443332354]
14 15.118 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 20.123 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 25.13 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 30.141 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 35.144 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 40.153 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 45.16 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 50.168 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 55.178 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 60.179 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 65.19 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 70.193 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 75.203 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 80.209 [0.005189999999999806, 0.3898999999999999] [-0.2504154552744804, 0.2554483443332354]
14 85.219 [0.0511299999999999, 0.4206399999999999] [-0.2504154552744804, 0.2554483443332354]
14 90.22 [0.0511299999999999, 0.4206399999999999] [-0.2504154552744804, 0.2554483443332354]
14 95.225 [0.0511299999999999, 0.4206399999999999] [-0.2504154552744804, 0.2554483443332354]
14 100.241 [-0.04351912388203744, 0.42914927884474446] [-0.2504154552744804, 0.2554483443332354]
