ID TIME ETH
11 0.201 21
11 5.209 21
11 10.273 21
11 15.324 21
11 20.422 21
11 25.531 21
11 30.571 21
11 35.622 21
11 40.732 21
11 45.816 21
11 50.837 21
11 55.9 21
11 60.946 21
11 65.998 21
11 71.112 21
11 76.191 21
11 81.278 21
11 86.423 21
11 91.491 21
11 96.528 21
11 101.602 21
11 106.66 21
11 111.724 21
11 116.791 21
11 121.886 21
11 126.995 21
11 132.16 21
11 137.205 21
11 142.239 21
11 147.322 21
11 152.41 21
11 157.483 21
11 162.508 21
11 167.68 21
11 172.771 21
11 177.814 21
11 182.903 21
11 187.937 21
11 193.004 21
11 198.149 21
11 203.217 21
11 208.298 21
11 213.412 21
11 218.474 21
11 223.51 21
11 228.608 21
11 233.711 21
11 238.812 21
11 243.829 21
11 248.911 21
11 253.976 21
11 258.995 21
11 264.09 21
11 269.159 21
11 274.182 21
11 279.275 21
11 284.406 21
11 289.481 21
