ID TIME pos
1 0.101 [0, 0] [0.05469106741684591, -0.40379182311109]
1 5.107 [0, 0] [0.05469106741684591, -0.40379182311109]
1 10.113 [0.13404000000000016, -0.35860000000000003] [0.05469106741684591, -0.40379182311109]
1 15.12 [0.13404000000000016, -0.35860000000000003] [0.05469106741684591, -0.40379182311109]
1 20.126 [0.09189529324723765, -0.3992003493682936] [0.05469106741684591, -0.40379182311109]
1 25.132 [0.09189529324723765, -0.3992003493682936] [0.05469106741684591, -0.40379182311109]
1 30.139 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 35.145 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 40.151 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 45.158 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 50.165 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 55.172 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 60.178 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 65.185 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 70.191 [0.09906686216482512, -0.3593735662455291] [0.05469106741684591, -0.40379182311109]
1 75.198 [0.10630811729889507, -0.35281413974731746] [0.05469106741684591, -0.40379182311109]
1 80.205 [0.10902436949921077, -0.3508572426766553] [0.05469106741684591, -0.40379182311109]
1 85.21 [0.10787132331180943, -0.3404963373420734] [0.05469106741684591, -0.40379182311109]
1 90.217 [0.11015257331180939, -0.3355988373420734] [0.05469106741684591, -0.40379182311109]
1 95.224 [0.11017757331180938, -0.33561008734207337] [0.05469106741684591, -0.40379182311109]
1 100.23 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 105.237 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 110.242 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 115.248 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 120.255 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 125.26 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 130.268 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 135.275 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 140.281 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 145.288 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 150.294 [0.11016757331180943, -0.33541258734207335] [0.05469106741684591, -0.40379182311109]
1 155.3 [0.11141562072160838, -0.3358611887485097] [0.05469106741684591, -0.40379182311109]
