ID TIME pos
10 0.096 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 5.105 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 10.111 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 15.112 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 20.118 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 25.129 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 30.138 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 35.142 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 40.151 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 45.159 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 50.163 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 55.17 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 60.176 [0, 0] [0.4514688196983951, 0.4391248372732914]
10 65.185 [0.48229999999999995, 0.4902199999999999] [0.4514688196983951, 0.4391248372732914]
10 70.186 [0.28233631093418265, 0.44301922615503875] [0.4514688196983951, 0.4391248372732914]
10 75.192 [0.31397420728945513, 0.41419948410335916] [0.4514688196983951, 0.4391248372732914]
10 80.203 [0.33997565546709135, 0.48012711307751943] [0.4514688196983951, 0.4391248372732914]
10 85.307 [0.3370145243736731, 0.4861996904620155] [0.4514688196983951, 0.4391248372732914]
10 90.316 [0.35019052437367315, 0.5091916904620156] [0.4514688196983951, 0.4391248372732914]
10 95.317 [0.36161852437367303, 0.5213496904620155] [0.4514688196983951, 0.4391248372732914]
10 100.326 [0.40731652437367305, 0.5139536904620157] [0.4514688196983951, 0.4391248372732914]
10 105.333 [0.4119937703113943, 0.5435680753850131] [0.4514688196983951, 0.4391248372732914]
10 110.336 [0.38040052437367317, 0.5866296904620155] [0.4514688196983951, 0.4391248372732914]
10 115.34 [0.4219465243736731, 0.5491816904620156] [0.4514688196983951, 0.4391248372732914]
10 120.346 [0.4219465243736731, 0.5491816904620156] [0.4514688196983951, 0.4391248372732914]
10 125.356 [0.4219465243736731, 0.5491816904620156] [0.4514688196983951, 0.4391248372732914]
10 130.363 [0.4219465243736731, 0.5491816904620156] [0.4514688196983951, 0.4391248372732914]
10 135.372 [0.4240425243736731, 0.5507636904620156] [0.4514688196983951, 0.4391248372732914]
10 140.374 [0.4240425243736731, 0.5507636904620156] [0.4514688196983951, 0.4391248372732914]
