ID TIME pos
6 1.209 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
6 6.314 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 11.32 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 16.328 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 21.335 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 26.342 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 31.349 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 36.357 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 41.364 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 46.372 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 51.38 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 56.387 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 61.395 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 66.402 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 71.41 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 76.418 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 81.425 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 86.433 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 91.44 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 96.448 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 101.456 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 106.463 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 111.471 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 116.478 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 121.485 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 126.493 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 131.501 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 136.508 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 141.516 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 146.523 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 151.53 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 156.537 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 161.545 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 166.553 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 171.56 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 176.568 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 181.576 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 186.583 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 191.59 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 196.598 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 201.606 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 206.614 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 211.622 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
6 216.63 [0.4825617059746894, 0.2436417684331911] [0.3418818710096832, 0.38854470710036065] [[0, 0], [0.31257, 0.3670800000000001], [0, 0], [0, 0], [0.19229999999999992, 0.3273100000000002], [0, 0], [0, 0], [0, 0], [0.028059999999999974, 0.262], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44466000000000006, 0.41850999999999994]]
