ID TIME pos
7 0.011 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 5.041 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 10.041 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 15.145 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 20.24 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 25.241 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 30.241 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 35.342 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 40.449 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 45.542 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 50.543 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 55.643 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 60.741 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 65.839 [0, 0] [0.46328539902163157, 0.18742737993338576]
7 70.843 [0, 0] [0.46328539902163157, 0.18742737993338576]
