ID TIME pos
4 0.099 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 5.107 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 10.114 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 15.12 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 20.126 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 25.131 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 30.139 [0, 0] [-0.2504154552744804, 0.2554483443332354]
4 35.146 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 40.152 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 45.159 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 50.166 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 55.172 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 60.179 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 65.186 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 70.193 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 75.2 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 80.208 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 85.215 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 90.221 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 95.227 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 100.235 [0.09706999999999999, 0.4513799999999999] [-0.2504154552744804, 0.2554483443332354]
4 105.242 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 110.242 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 115.248 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 120.257 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 125.265 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 130.272 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 135.276 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 140.282 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 145.29 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 150.296 [0.041995000000000005, 0.4279949999999999] [-0.2504154552744804, 0.2554483443332354]
4 155.304 [0.009681666666666625, 0.42389833333333327] [-0.2504154552744804, 0.2554483443332354]
4 160.31 [0.009799999999999994, 0.42391666666666655] [-0.2504154552744804, 0.2554483443332354]
4 165.319 [0.010852222222222263, 0.42365777777777774] [-0.2504154552744804, 0.2554483443332354]
4 170.32 [0.010174444444444462, 0.42322777777777776] [-0.2504154552744804, 0.2554483443332354]
4 175.325 [0.009562222222222225, 0.4230688888888888] [-0.2504154552744804, 0.2554483443332354]
4 180.334 [0.009344444444444452, 0.42298111111111103] [-0.2504154552744804, 0.2554483443332354]
4 185.34 [0.009344444444444452, 0.42298111111111103] [-0.2504154552744804, 0.2554483443332354]
4 190.35 [0.009344444444444452, 0.42298111111111103] [-0.2504154552744804, 0.2554483443332354]
4 195.355 [0.009344444444444452, 0.42298111111111103] [-0.2504154552744804, 0.2554483443332354]
4 200.363 [0.009344444444444452, 0.42298111111111103] [-0.2504154552744804, 0.2554483443332354]
4 205.369 [0.006524444444444432, 0.42135222222222213] [-0.2504154552744804, 0.2554483443332354]
4 210.376 [-0.008757000000000015, 0.41538499999999995] [-0.2504154552744804, 0.2554483443332354]
4 215.385 [-0.010102999999999973, 0.4147309999999999] [-0.2504154552744804, 0.2554483443332354]
4 220.391 [-0.030131447049580092, 0.4085182500619151] [-0.2504154552744804, 0.2554483443332354]
4 225.396 [-0.03026326523139827, 0.4084555227891878] [-0.2504154552744804, 0.2554483443332354]
4 230.403 [-0.0300714470495801, 0.40852188642555143] [-0.2504154552744804, 0.2554483443332354]
4 235.409 [-0.0300714470495801, 0.40852188642555143] [-0.2504154552744804, 0.2554483443332354]
4 240.415 [-0.0300714470495801, 0.40852188642555143] [-0.2504154552744804, 0.2554483443332354]
4 245.422 [-0.0300714470495801, 0.40852188642555143] [-0.2504154552744804, 0.2554483443332354]
4 250.429 [-0.0300714470495801, 0.40852188642555143] [-0.2504154552744804, 0.2554483443332354]
4 255.436 [-0.03018599250412556, 0.40832552278918777] [-0.2504154552744804, 0.2554483443332354]
4 260.441 [-0.034285083413216455, 0.40555188642555146] [-0.2504154552744804, 0.2554483443332354]
4 265.448 [-0.03586690159503467, 0.40450279551646057] [-0.2504154552744804, 0.2554483443332354]
4 270.454 [-0.03580326523139829, 0.4044682500619151] [-0.2504154552744804, 0.2554483443332354]
4 275.459 [-0.03580326523139829, 0.4044682500619151] [-0.2504154552744804, 0.2554483443332354]
4 280.466 [-0.03580326523139829, 0.4044682500619151] [-0.2504154552744804, 0.2554483443332354]
4 285.472 [-0.03421882646211508, 0.4048200625567555] [-0.2504154552744804, 0.2554483443332354]
4 290.48 [-0.03350276288810623, 0.404322365437005] [-0.2504154552744804, 0.2554483443332354]
4 295.486 [-0.03465583981118314, 0.403335442360082] [-0.2504154552744804, 0.2554483443332354]
4 300.491 [-0.03566045519579853, 0.40264621159085123] [-0.2504154552744804, 0.2554483443332354]
4 305.498 [-0.03636122442656776, 0.4021477500523897] [-0.2504154552744804, 0.2554483443332354]
4 310.505 [-0.03618613696752721, 0.40213148219150474] [-0.2504154552744804, 0.2554483443332354]
4 315.513 [-0.03637327982467004, 0.4020086250486475] [-0.2504154552744804, 0.2554483443332354]
4 320.517 [-0.036508994110384344, 0.4019243393343618] [-0.2504154552744804, 0.2554483443332354]
4 325.523 [-0.036508994110384344, 0.4019243393343618] [-0.2504154552744804, 0.2554483443332354]
4 330.529 [-0.036508994110384344, 0.4019243393343618] [-0.2504154552744804, 0.2554483443332354]
4 335.536 [-0.036508994110384344, 0.4019243393343618] [-0.2504154552744804, 0.2554483443332354]
4 340.543 [-0.03620906116969206, 0.402680716712071] [-0.2504154552744804, 0.2554483443332354]
4 345.55 [-0.03773639450302539, 0.4023073833787378] [-0.2504154552744804, 0.2554483443332354]
4 350.559 [-0.0375423945030254, 0.4020760500454044] [-0.2504154552744804, 0.2554483443332354]
4 355.565 [-0.04113172783635874, 0.4014000500454043] [-0.2504154552744804, 0.2554483443332354]
4 360.572 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 365.578 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 370.585 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 375.591 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 380.597 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 385.604 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 390.609 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 395.615 [-0.04113172783635874, 0.40139938337873765] [-0.2504154552744804, 0.2554483443332354]
4 400.623 [-0.04157106116969208, 0.4005840500454043] [-0.2504154552744804, 0.2554483443332354]
4 405.629 [-0.041595727836358745, 0.40057738337873766] [-0.2504154552744804, 0.2554483443332354]
4 410.636 [-0.041595727836358745, 0.40057738337873766] [-0.2504154552744804, 0.2554483443332354]
